Nation,s0,f0,s1,f1,s2,f2,s4,f4,s5,f5,s6,f6,s7,f7,s8,f8,s9,f9,s10,f10,s11,f11,s12,f12,s13,f13,s14,f14,s15,f15,s16,f16,s17,f17,s18,f18,s19,f19,s20,f20,s21,f21,s22,f22,s23,f23,s24,f24,s25,f25,s26,f26,s27,f27,s28,f28,s29,f29,s30,f30,s31,f31,s32,f32,s33,f33,s34,f34,s35,f35,s36,f36,s37,f37,s38,f38,s39,f39,s40,f40,s41,f41,s42,f42,s43,f43,s44,f44,s45,f45,s46,f46,s47,f47,s48,f48,s49,f49,s50,f50,s51,f51,s52,f52,s53,f53,s54,f54,s55,f55,s56,f56,s57,f57,s58,f58,s59,f59,s60,f60,s61,f61,s62,f62,s63,f63,s64,f64,s67,f67,s68,f68,s69,f69,s70,f70,s71,f71,s72,f72,s73,f73,s74,f74,s75,f75,s77,f77,s78,f78,s79,f79,s85,f85,s87,f87,s88,f88
Cosmo Kramerica,47.39,47.39,100,100,62.93,62.93,1.38,1.38,22.92,22.92,15.98,15.98,151.19,151.19,57.45,57.45,60.75,60.75,15179.6,15179.65,2612.58,2612.59,78.62,78.62,931.34,931.34,-3.75,-3.75,-5.59,-5.59,20985.34,20985.41,-10.89,-10.89,15.12,15.12,-8.25,-8.25,24251.07,24251.15,5975.08,5975.1,-4.24,-4.24,-8.77,-8.77,4523.64,4523.66,-8.53,-8.53,36243.56,36243.67,19.67,19.67,-15.81,-15.81,5140.5,5140.52,7030.39,7030.41,4838.12,4838.13,239.44,239.44,72.28,72.28,0.49,0.49,44.4,44.4,57.13,57.34,1.22,1.21,49.36,49.36,6.28,6.28,31.88,31.88,111,111,76.59,76.55,121.87,121.87,90.11,90.11,10.72,10.18,7786.35,7786.37,5.63,5.63,31.67,31.67,46.81,46.81,15.92,15.92,4.58,4.58,93.01,93.01,798.68,783.52,-8,-8,74,74,56.67,56.67,-17.61,-17.61,1103.4,1103.73,1.24,1.24,9.5,10.09,9.38,9.38,16.68,16.68,1081.01,1081.01,1.18,1.18,44.28,44.82,87.75,87.75,-115.18,-115.18,115.86,115.86,61.6,61.6,103807.88,103808.22,87453.41,87453.69,120989,120989,4308.95,4308.96,2.06,2.06,-16.43,-16.43,4430000000000,4461300000000,55225.79,55225.97,21.04,21,35.13,35.13
State Peace and Development Council,66.1,66.1,59.11,59.11,70,70,1.41,1.41,21.71,21.71,46.76,46.76,5808.22,5808.23,41.86,41.86,132.75,132.75,-9.06,-9.06,-5.8,-5.8,-5.42,-5.42,-8.9,-8.9,-13.59,-13.59,-6.69,-6.69,-14.42,-14.42,-16.7,-16.7,86.05,86.05,-10.1,-10.1,-13.86,-13.86,-9.33,-9.33,-6.48,-6.48,-15.56,-15.56,-3.28,-3.28,-14.2,-14.2,0,0,20.15,20.15,4087.27,4087.27,11293.76,11293.77,2473.87,2473.87,1505.84,1505.84,1052.22,1052.22,70.95,70.95,18.02,18.02,31.72,31.72,51.48,51.83,1.35,1.34,52.64,52.64,7.39,7.39,52.44,52.44,253,253,75.71,75.68,108.39,108.39,90.68,90.68,13.53,14.39,2581.43,2581.43,111.28,111.25,33.33,33.33,82.45,82.45,-46.4,-46.4,0.74,0.74,94,94,566.6,546.62,-8,-8,77,77,48.98,48.98,537.8,537.8,1222.55,1221.82,0.22,0.22,186.33,187.67,9.04,9.04,13.26,13.26,1645.95,1645.95,0.87,0.87,41.47,40.61,65.72,65.72,-65.65,-65.65,53.29,53.29,108.45,108.45,43755.27,43755.3,36499.01,36499.03,51445,51445,8389.65,8389.66,2.08,2.09,860.48,860.48,287400000000,288200000000,7700.93,7700.93,12.84,12.79,72.6,72.6
Ugg Lands,67.93,67.93,56.19,56.19,67.67,67.67,1.32,1.32,21.02,21.02,44.28,44.28,10797.77,10797.77,39.1,39.1,137.25,137.25,-23.37,-23.37,-13.15,-13.15,-15.43,-15.43,-12.39,-12.39,-18.87,-18.87,-9.92,-9.92,-17.09,-17.09,-22.01,-22.01,-19.54,-19.54,-18.33,-18.33,-21.82,-21.82,-17.26,-17.26,-16.91,-16.91,-21.47,-21.47,-8.74,-8.74,-24.66,-24.66,0,0,28.2,28.2,5698.82,5698.82,10647.8,10647.8,6523.65,6523.65,1724.64,1724.64,74.94,74.94,75.97,75.97,15.9,15.9,29.79,29.79,81.98,82.18,0.91,0.91,53.51,53.51,8.7,8.7,51.96,51.96,404,404,87.51,87.48,119.55,119.55,91.05,91.05,15.46,16.06,6673.62,6673.62,100.45,100.34,27.14,27.14,78.09,78.09,-129.32,-129.32,3.9,3.9,93.1,93.1,622.27,607.56,-2,-2,108,108,43.96,43.96,824.83,824.83,1442.13,1441.71,0.18,0.18,160.83,162.07,8.3,8.3,17.42,17.42,2976.36,2976.36,0.59,0.6,39.54,38.94,69.27,69.27,-149.12,-149.12,95.94,95.94,107.17,107.17,59612.67,59612.68,51562.63,51562.64,67874,67874,9822.97,9822.97,1.83,1.83,1574.67,1574.67,676900000000,677800000000,13055.18,13055.18,17.5,17.45,134.28,134.28
Nikolia,61.56,61.56,97.5,97.5,79.33,79.33,1.5,1.5,19.97,19.97,38.75,38.75,10868.77,10868.78,46.83,46.83,157.5,157.5,-18.6,-18.6,-11.87,-11.87,-12.85,-12.85,-12.63,-12.63,-18.31,-18.31,-10.32,-10.32,-17.49,-17.49,-23.01,-23.01,-14.07,-14.07,-21.59,-21.59,-21.35,-21.35,-16.61,-16.61,-15.68,-15.68,-19.42,-19.42,4898.19,4898.2,-8.14,-8.14,0,0,27.04,27.04,4700.01,4700.01,13610.45,13610.45,6168.76,6168.77,6560.43,6560.43,1698.53,1698.53,66.5,66.5,15.09,15.09,42.89,42.89,67.49,67.67,1.06,1.05,56.34,56.34,12.19,12.19,54.76,54.76,382,382,74.49,74.47,118.13,118.12,91.71,91.71,14.87,15.37,7343.77,7343.77,97.52,97.48,39,39,89.52,89.52,-127.3,-127.3,3.58,3.58,93.15,93.15,457.27,446.76,8,8,105,105,47.46,47.46,2350.01,2350.01,1329.24,1328.89,0.19,0.19,46.23,46.56,7.65,7.65,10.52,10.52,2460.81,2460.81,0.71,0.71,40.13,39.63,89.52,89.52,-123.43,-123.43,68.17,68.17,105.16,105.16,78505.84,78505.87,63273.37,63273.39,95146,95146,10575.02,10575.03,2.12,2.12,1860.42,1860.42,924100000000,925500000000,8243.11,8243.12,13.78,13.76,131.94,131.94
Caffeinneburg,57.56,59.56,70.67,70.67,36.38,36.38,1.31,1.31,20.84,20.84,40.78,40.78,8213.56,8213.56,49.83,48.33,192.75,192.75,-29.29,-29.29,-22.05,-22.05,-20.45,-20.45,-22.15,-22.15,-22.34,-22.34,-15.21,-15.21,-27.28,-27.28,-26.8,-26.8,-26.55,-26.55,-26.98,-26.98,-20.45,-20.45,-20.22,-20.22,-23.19,-23.19,-31.5,-31.5,-23.59,-23.59,-34.75,-34.74,0,0,21.26,21.26,1331.93,1331.93,9656.48,9656.48,5771.69,5771.69,-12.25,-12.25,3.19,3.19,76.09,76.09,0.82,0.82,23.85,23.85,71.88,72.06,1,1,61.07,61.07,10.55,10.55,32.53,32.53,521,521,87.03,87.02,109.19,109.19,91.16,91.16,13.89,14.39,20200.91,20200.92,5.51,5.51,27,27,26.75,26.75,51.04,51.04,5.19,5.19,92.94,92.94,964.36,949.08,4,4,109,109,54.35,54.35,-18.44,-18.44,1512.12,1511.83,7.91,7.91,101.65,102.14,5.69,5.69,90.7,90.7,3567.73,3567.73,0.54,0.54,41.11,40.61,71.72,71.72,-29.05,-29.05,-179.03,-179.03,79.01,79.01,50169.3,50169.31,43430.14,43430.15,57080,57080,4994.73,4994.73,1.84,1.84,-15.81,-15.81,864900000000,866000000000,36774.1,36774.11,16.8,16.78,139.59,139.59
The Zohan,10,10,72.89,72.89,3,3,5.53,5.53,31.61,31.75,38.75,38.75,780.8,779.93,90,90,22.5,22.5,3123.21,3119.72,1606.22,1604.43,4461.73,4456.74,4729.43,4724.14,3926.32,3921.93,3569.38,3565.39,1740.08,1738.13,-7.75,-7.75,-7.75,-7.75,2677.04,2674.04,-3.16,-3.16,-7.07,-7.07,-5.48,-5.48,-8.37,-8.37,1740.08,1738.13,3561.3,3691.02,9325.02,9314.58,11.22,11.22,111.54,111.42,1226.98,1225.6,2565.5,2562.62,1561.61,1559.86,130.47,130.47,18.07,18.07,8.23,8.23,22.32,22.32,4.35,10.05,32.72,30.85,52.16,52.16,1,1,50,50,102,102,58.35,58.06,58.48,56.94,70.76,70.59,33.05,29.72,1896.24,1894.11,101.34,92.21,60.33,60.33,26.8,26.73,74.25,74.31,27.84,27.84,91.24,91.24,2707.19,2065.12,0,0,64,64,69.91,69.91,1115.43,1114.18,368.53,381.02,0.22,0.24,19.19,36.88,11.88,11.88,17.11,17.11,578.68,578.68,3.22,3.09,21.95,25.28,58.77,58.71,-40,-40,81.24,81.24,98.83,98.83,51435.68,51511.83,20386.61,20416.79,112821,112988,2007.78,2005.53,7.97,8.48,-4.47,-4.47,50600000000,58800000000,37650.91,37758.17,7.69,7.28,15.53,15.53
Phazania,70.61,71.61,67.43,67.43,74,74,1.6,1.6,20.08,20.08,38.75,38.75,15175.47,15175.48,35.08,33.58,186.25,186.25,-23.11,-23.11,-18.42,-18.42,-16.18,-16.18,-13.51,-13.51,-19.35,-19.35,-12.39,-12.39,-20.59,-20.59,-24.09,-24.09,-24.47,-24.47,-23.54,-23.54,-21.31,-21.31,-19.55,-19.55,-20.83,-20.83,-19.82,-19.82,8041.93,8041.93,799.43,799.43,0,0,28.3,28.3,9151.04,9151.04,9151.04,9151.04,5490.62,5490.62,-5.48,-5.48,224.79,224.79,62.59,62.59,24.76,24.76,43.01,43.01,92.1,92.25,0.83,0.83,62.29,62.29,12.78,12.78,67.47,67.47,583,583,85.89,85.86,120.26,120.26,91.63,91.63,14.44,14.94,3736.67,3736.67,107.61,107.58,44.14,44.14,91.27,91.27,-173.51,-173.51,0.8,0.8,93.83,93.83,396.77,386.99,-9,-9,122,122,43.98,43.98,-9.49,-9.49,1522.5,1522.16,0.18,0.18,16.53,16.92,7.33,7.33,16.73,16.73,3662.56,3662.56,0.54,0.54,40.56,40.06,72.62,72.62,-148.39,-148.39,94.5,94.5,125.43,125.43,69924.56,69924.56,54567.99,54568,87182,87182,11515.06,11515.06,1.85,1.85,-7.07,-7.07,655100000000,655800000000,6083.44,6083.44,1.01,1.01,153.26,153.26
The Military of South Asians 23,62.67,67.78,48.44,48.44,57.33,57.33,2.91,2.91,32.19,32.3,42,42,464.32,463.96,46,39.33,121.5,137.25,3937.42,3934.38,-5.22,-5.22,3937.42,3934.38,2005.85,2004.31,3491.67,3488.98,-4.65,-4.65,-7.35,-7.35,4921.77,4917.98,2451.6,2449.71,-4.9,-4.9,1708.69,1707.37,594.33,593.87,1708.69,1707.37,965.78,965.04,-3.13,-3.13,4386.64,4461.2,7874.83,7868.76,10.1,10.1,835.77,835.13,835.77,835.13,1392.95,1391.88,557.18,556.75,119.98,119.98,34.4,34.4,12,12,46.46,46.46,25.33,26.62,16.72,14.49,50,50,1,1,50,50,104,104,59.06,58.87,74.74,73.62,70.08,69.96,4.1,6.33,1392.95,1391.88,84.79,78.63,43.33,43.33,22.39,22.35,78.29,78.33,3.24,3.24,93.2,93.2,632.25,578.23,0,0,64,64,66.5,66.51,742.91,742.34,598.63,575.74,0.31,0.34,139.86,165.11,12.45,12.45,17.16,17.16,573.22,573.22,2.07,2.12,50.9,48.67,52.3,52.26,42.43,42.43,59.16,59.16,100.2,100.2,41662.09,41707.9,23560.15,23586.06,68481,68557,1114.36,1113.5,6.49,6.93,92.86,92.79,2452500000000,2571100000000,32329.78,32365.33,7.34,7.04,11.49,11.49
Dynomo Mk34,62.67,67.78,48.44,48.44,57.33,57.33,2.91,2.91,32.21,32.32,42,42,461.72,461.8,46,39.33,121.5,137.25,-8,-8,1595.72,1595.98,-2,-2,-8.12,-8.12,-6,-6,5694.36,5695.28,2068.53,2068.86,3509.11,3509.67,3915.42,3916.06,3546.05,3546.62,4654.18,4654.93,4654.18,4654.93,-6.63,-6.63,-4.9,-4.9,768.31,768.43,-2.8,-2.8,2068.53,2068.86,10.1,10.1,831.1,831.24,831.1,831.24,1385.17,1385.4,554.07,554.16,119.98,119.98,34.4,34.4,12,12,46.46,46.46,25.25,26.54,16.85,14.64,50,50,1,1,50,50,104,104,59.06,58.87,74.74,73.62,70.06,69.94,4.1,6.33,1385.17,1385.4,65.19,59.8,43.33,43.33,22.14,22.14,78.54,78.54,3.24,3.24,93.2,93.2,632.25,578.23,0,0,64,64,66.52,66.52,738.76,738.88,594.41,571.6,0.31,0.35,139.86,165.11,10.04,10.04,17.16,17.16,561.49,561.49,2.08,2.14,50.9,48.67,52.29,52.25,47.96,47.96,-50,-50,100.2,100.2,41893.57,41900.32,23691.06,23694.87,68862,68873,1108.14,1108.32,6.49,6.93,92.34,92.36,1949000000000,2041000000000,32635.09,32640.35,7.34,7.04,15.62,15.62
Manila Bearcats,65.33,69.78,27.5,27.5,30.67,30.67,1.84,1.84,32.97,33.1,42,42,375.9,376.07,43,36.33,128.25,144,3187.67,3189.07,1659.99,1660.72,1684.05,1684.79,252.61,252.72,1623.91,1624.62,3338.33,3339.8,2285.5,2286.5,225.54,225.64,-9.7,-9.7,2586.22,2587.36,3187.67,3189.07,-9.7,-9.7,-6.63,-6.63,180.43,180.51,234.56,234.67,-5.33,-5.13,7157.22,7160.37,10.2,10.2,676.63,676.93,676.63,676.93,1278.08,1278.64,451.09,451.28,119.98,119.98,54.37,54.37,12,12,29.87,29.87,21.58,22.99,21.67,19.99,50,50,1,1,50,50,104,104,60.51,60.33,77.67,76.8,69.25,69.13,17.05,19.27,1127.71,1128.21,69.63,64.04,27.5,27.5,27.15,27.15,70.77,70.77,10.71,10.71,92.4,92.4,933.44,867.55,0,0,64,64,56.36,56.36,601.45,601.71,537.87,516.44,0.31,0.34,150.81,176.99,9.78,9.78,17.16,17.16,557.15,557.15,2.23,2.3,37.95,35.73,48.47,48.43,39.75,39.75,34.93,34.93,100.2,100.2,29949.38,29962.54,21679.77,21689.3,39873,39890,902.17,902.57,3.65,3.77,75.18,75.21,4999700000000,5182900000000,21833.1,21842.69,7.21,6.91,9.61,9.61
