Nation,s0,f0,s1,f1,s2,f2,s4,f4,s5,f5,s6,f6,s7,f7,s8,f8,s9,f9,s10,f10,s11,f11,s12,f12,s13,f13,s14,f14,s15,f15,s16,f16,s17,f17,s18,f18,s19,f19,s20,f20,s21,f21,s22,f22,s23,f23,s24,f24,s25,f25,s26,f26,s27,f27,s28,f28,s29,f29,s30,f30,s31,f31,s32,f32,s33,f33,s34,f34,s35,f35,s36,f36,s37,f37,s38,f38,s39,f39,s40,f40,s41,f41,s42,f42,s43,f43,s44,f44,s45,f45,s46,f46,s47,f47,s48,f48,s49,f49,s50,f50,s51,f51,s52,f52,s53,f53,s54,f54,s55,f55,s56,f56,s57,f57,s58,f58,s59,f59,s60,f60,s61,f61,s62,f62,s63,f63,s64,f64,s67,f67,s68,f68,s69,f69,s70,f70,s71,f71,s72,f72,s73,f73,s74,f74,s75,f75,s77,f77,s78,f78,s79,f79,s85,f85,s87,f87,s88,f88
Cosmo Kramerica,47.39,47.39,99.93,99.93,62.93,62.93,1.39,1.39,22.97,22.97,15.98,15.98,0,0,57.45,57.45,60.75,60.75,15321.38,15321.38,2761.48,2761.48,236.18,236.18,1102.17,1102.17,-3.3,-3.3,-5.44,-5.44,20832.23,20832.23,-10.75,-10.75,45.42,45.42,-8,-8,24405.19,24405.19,6140.66,6140.66,-3.74,-3.74,-8.54,-8.54,4687.25,4687.25,-7.98,-7.98,36389.78,36389.78,19.29,19.29,-15.81,-15.81,5147.5,5147.5,6812.86,6812.86,4617.61,4617.61,239.44,239.44,72.01,72.01,0.49,0.49,44.61,44.61,55.92,55.92,1.24,1.24,49.36,49.36,6.28,6.28,31.88,31.88,107,107,75.54,75.54,121.25,121.25,90.1,90.1,10.61,10.61,7569.85,7569.85,5.65,5.65,32,32,44.25,44.25,21.56,21.56,4.58,4.58,93.01,93.01,795.58,795.58,-8,-8,74,74,57.46,57.46,-17.61,-17.61,1089.74,1089.74,1.33,1.33,9.71,9.71,9.38,9.38,16.68,16.68,1041.45,1041.45,1.22,1.22,44.39,44.39,87.54,87.54,-113.17,-113.17,115.24,115.24,61.6,61.6,103691.8,103691.8,87183.65,87183.65,121064,121064,4012.02,4012.02,2.09,2.09,-16.43,-16.43,5533500000000,5534300000000,57756.33,57756.33,20.83,20.83,34.06,34.06
State Peace and Development Council,66.1,66.1,51.56,51.56,70,70,1.41,1.41,21.93,21.93,46.76,46.76,5303.03,5303.03,41.86,41.86,132.75,132.75,-8.83,-8.83,-5.51,-5.51,-5.16,-5.16,-8.76,-8.76,-13.3,-13.3,-6.57,-6.57,-14.63,-14.63,-16.61,-16.61,122.38,122.38,-9.9,-9.9,-13.71,-13.71,-9.11,-9.11,-6.16,-6.16,-15.43,-15.43,-2.97,-2.97,-13.88,-13.88,0,0,19.77,19.77,3875.29,3875.29,10708.05,10708.05,2039.63,2039.63,1121.8,1121.8,1052.22,1052.22,70.68,70.68,18.02,18.02,31.86,31.86,50.09,50.09,1.38,1.38,52.64,52.64,7.39,7.39,52.44,52.44,249,249,74.65,74.65,107.43,107.43,90.57,90.57,13.41,13.41,2141.61,2141.61,111.51,111.51,33.67,33.67,81.86,81.86,-41.33,-41.33,0.74,0.74,94,94,563.99,563.99,-8,-8,77,77,49.17,49.17,509.91,509.91,1212.89,1212.89,0.22,0.22,187.28,187.28,9.05,9.05,13.26,13.26,1610.99,1610.99,0.89,0.89,41.59,41.59,64.13,64.13,-62.37,-62.37,50.6,50.6,108.45,108.45,39997.1,39997.1,33297.75,33297.75,47109,47109,7546.62,7546.62,2.12,2.12,815.85,815.85,280800000000,280900000000,7239.48,7239.48,12.56,12.56,70.74,70.74
Ugg Lands,67.93,67.93,48.57,48.57,67.67,67.67,1.32,1.32,21.24,21.24,44.28,44.28,9966.87,9966.87,39.1,39.1,137.25,137.25,-23.28,-23.28,-13.02,-13.02,-15.3,-15.3,-12.3,-12.3,-18.67,-18.67,-9.84,-9.84,-17.26,-17.26,-21.94,-21.94,-19.44,-19.44,-18.22,-18.22,-21.73,-21.73,-17.15,-17.15,-16.79,-16.79,-21.38,-21.38,-8.63,-8.63,-24.48,-24.48,0,0,27.93,27.93,5334.38,5334.38,9966.87,9966.87,5895.9,5895.9,1403.78,1403.78,74.94,74.94,75.73,75.73,15.9,15.9,29.92,29.92,80.87,80.87,0.92,0.92,53.51,53.51,8.7,8.7,51.96,51.96,400,400,86.62,86.62,118.91,118.91,90.93,90.93,15.36,15.36,6036.28,6036.28,101.25,101.25,27.43,27.43,77.57,77.57,-124.97,-124.97,3.9,3.9,93.1,93.1,619.92,619.92,-2,-2,108,108,44.06,44.06,772.08,772.08,1434.97,1434.97,0.18,0.18,161.71,161.71,8.31,8.31,17.42,17.42,2945.89,2945.89,0.6,0.6,39.64,39.64,67.75,67.75,-147.34,-147.34,94.39,94.39,107.17,107.17,54747.61,54747.61,47276.72,47276.72,62426,62426,8914.03,8914.03,1.84,1.84,1473.97,1473.97,642200000000,642300000000,12263.46,12263.46,17.26,17.26,133.91,133.91
Nikolia,61.56,61.56,97.31,97.31,79.33,79.33,1.51,1.51,20,20,38.75,38.75,10677.59,10677.59,46.83,46.83,157.5,157.5,-18.49,-18.49,-11.73,-11.73,-12.74,-12.74,-12.54,-12.54,-18.1,-18.1,-10.24,-10.24,-17.66,-17.66,-22.95,-22.95,-13.86,-13.86,-21.49,-21.49,-21.26,-21.26,-16.49,-16.49,-15.56,-15.56,-19.31,-19.31,5165.21,5165.21,-7.57,-7.57,0,0,26.76,26.76,4702.06,4702.06,13616.38,13616.38,5877.57,5877.57,6269.41,6269.41,1698.53,1698.53,66.31,66.31,15.09,15.09,43.02,43.02,66.36,66.36,1.07,1.07,56.34,56.34,12.19,12.19,54.76,54.76,378,378,73.41,73.41,117.45,117.45,91.69,91.69,14.78,14.78,7053.09,7053.09,98.3,98.3,39.25,39.25,88.73,88.73,-121.95,-121.95,3.58,3.58,93.15,93.15,455.51,455.51,8,8,105,105,47.75,47.75,2351.03,2351.03,1321.57,1321.57,0.2,0.2,46.7,46.7,7.65,7.65,10.52,10.52,2429.05,2429.05,0.72,0.72,40.22,40.22,88.9,88.9,-120.96,-120.96,65.17,65.17,105.16,105.16,77674.1,77674.1,62506.4,62506.4,94266,94266,10187.8,10187.8,2.16,2.16,1861.23,1861.23,982300000000,982500000000,8777.17,8777.17,13.52,13.52,131.73,131.73
Caffeinneburg,57.67,57.67,66.86,66.86,36.38,36.38,1.32,1.32,20.9,20.9,40.78,40.78,7868.45,7868.45,49.75,49.75,192.75,192.75,-29.22,-29.22,-21.98,-21.98,-20.35,-20.35,-22.1,-22.1,-22.17,-22.17,-15.15,-15.15,-27.39,-27.39,-26.75,-26.75,-26.48,-26.48,-26.91,-26.91,-20.35,-20.35,-20.12,-20.12,-23.11,-23.11,-31.43,-31.43,-23.53,-23.53,-34.41,-34.41,0,0,20.98,20.98,1311.41,1311.41,9507.71,9507.71,5354.91,5354.91,-13.42,-13.42,3.19,3.19,75.85,75.85,0.82,0.82,23.96,23.96,70.71,70.71,1.02,1.02,61.07,61.07,10.55,10.55,32.53,32.53,517,517,86.13,86.13,108.29,108.29,91.12,91.12,13.83,13.83,19561.83,19561.83,5.54,5.54,27.29,27.29,25.51,25.51,54.23,54.23,5.19,5.19,92.94,92.94,960.59,960.59,4,4,109,109,54.83,54.83,-18.44,-18.44,1505.41,1505.41,7.93,7.93,102.84,102.84,5.69,5.69,90.7,90.7,3538.4,3538.4,0.55,0.55,41.17,41.17,70.45,70.45,-26.59,-26.59,-181.27,-181.27,79.01,79.01,48084.95,48084.95,41557.42,41557.42,54789,54789,4480.64,4480.64,1.85,1.85,-15.81,-15.81,883700000000,883800000000,35823.29,35823.29,16.56,16.56,139.39,139.39
The Zohan,10,10,73.33,73.33,3,3,7.52,7.52,32.9,32.9,38.75,38.75,559.88,559.88,90,90,22.5,22.5,3314.49,3314.49,1647.39,1647.39,4658.2,4658.2,4568.62,4568.62,4210.3,4210.3,2792.23,2792.23,1397.46,1397.46,-8.39,-8.39,-7.48,-7.48,2866.59,2866.59,-2.45,-2.45,-6.78,-6.78,-5.1,-5.1,-8.12,-8.12,1791.62,1791.62,4640.29,4640.29,9370.15,9370.15,10.54,10.54,111.98,111.98,1231.74,1231.74,2239.52,2239.52,1231.74,1231.74,130.47,130.47,13.3,13.3,8.23,8.23,23.64,23.64,1.61,1.61,34.57,34.57,52.16,52.16,1,1,50,50,98,98,55.77,55.77,41.89,41.89,69.32,69.32,35.28,35.28,1567.66,1567.66,98.16,98.16,67,67,22.34,22.34,81.52,81.52,27.84,27.84,91.24,91.24,2263.23,2263.23,0,0,64,64,71.07,71.07,1119.76,1119.76,249.78,249.78,0.23,0.23,19.5,19.5,12.83,12.83,17.11,17.11,516.88,516.88,36.53,36.53,19.72,19.72,57.75,57.75,-28.28,-28.28,77.46,77.46,98.83,98.83,51214.25,51214.25,17071.42,17071.42,128323,128323,1567.66,1567.66,11.75,11.75,-4.47,-4.47,23900000000,24500000000,39793.47,39793.47,7.28,7.28,16.11,16.11
Phazania,70.67,70.67,63.24,63.24,74,74,1.6,1.6,20.16,20.16,38.75,38.75,14646.73,14646.73,35,35,186.25,186.25,-23.02,-23.02,-18.33,-18.33,-16.09,-16.09,-13.42,-13.42,-19.15,-19.15,-12.33,-12.33,-20.74,-20.74,-24.03,-24.03,-24.39,-24.39,-23.45,-23.45,-21.21,-21.21,-19.42,-19.42,-20.74,-20.74,-19.72,-19.72,8041.57,8041.57,799.4,799.4,0,0,28.09,28.09,8921.86,8921.86,8921.86,8921.86,5130.07,5130.07,-7.75,-7.75,224.79,224.79,62.38,62.38,24.76,24.76,43.14,43.14,91.13,91.13,0.84,0.84,62.29,62.29,12.78,12.78,67.47,67.47,579,579,84.98,84.98,119.63,119.63,91.58,91.58,14.37,14.37,3420.05,3420.05,107.89,107.89,44.43,44.43,91.08,91.08,-169.32,-169.32,0.8,0.8,93.83,93.83,394.35,394.35,-9,-9,122,122,44.08,44.08,-9.49,-9.49,1515.82,1515.82,0.18,0.18,17.01,17.01,7.34,7.34,16.73,16.73,3633.38,3633.38,0.54,0.54,40.63,40.63,71.13,71.13,-146.97,-146.97,93.01,93.01,125.43,125.43,67502.23,67502.23,52581.7,52581.7,84297,84297,10929.28,10929.28,1.87,1.87,-7.07,-7.07,646900000000,647000000000,6007.7,6007.7,0.98,0.98,152.96,152.96
Of crazed,29.73,29.73,79.24,79.24,21.5,21.5,1.63,1.63,25.2,25.2,21.44,21.44,275.95,275.95,70.7,70.7,67.5,67.5,4911.94,4911.94,2163.46,2163.46,2483.57,2483.57,2980.28,2980.28,1483.52,1483.52,1081.73,1081.73,12086.68,12086.68,3270.03,3270.03,400.13,400.13,4360.04,4360.04,9879.07,9879.07,5668.05,5668.05,2704.33,2704.33,1363.2,1363.2,4028.89,4028.89,1854.4,1854.4,19482.19,19482.19,18.03,18.03,-15.17,-15.17,3104.46,3104.46,5381.06,5381.06,1862.67,1862.67,2.84,2.84,61.31,61.31,0.75,0.75,32.71,32.71,21.08,21.08,22.23,22.23,51.62,51.62,4.74,4.74,42.18,42.18,90,90,72.33,72.33,114.82,114.82,83.15,83.15,18.38,18.38,5174.09,5174.09,5.59,5.59,45.86,45.86,36.14,36.14,41.5,41.5,14.59,14.59,92.1,92.1,1411.13,1411.13,-9,-9,55,55,69.92,69.92,896.84,896.84,653.21,653.21,10.79,10.79,6.23,6.23,9.78,9.78,94.96,94.96,317.14,317.14,1.95,1.95,36.62,36.62,64.51,64.51,-58.59,-58.59,95,95,101.85,101.85,89831.66,89831.66,69337.02,69337.02,113086,113086,689.88,689.88,2.2,2.2,1241.78,1241.78,1788100000000,1788500000000,57402.43,57402.43,22.62,22.62,8.64,8.64
Cherno Alpha,69.07,69.07,38.67,38.67,49.78,49.78,1.36,1.36,23.84,23.84,40.78,40.78,2477.93,2477.93,37.4,37.4,141.75,141.75,-8.37,-8.37,-6.93,-6.93,-3.61,-3.61,-4.24,-4.24,-9.4,-9.4,-4.9,-4.9,0,0,-12.55,-12.55,323.21,323.21,-7.75,-7.75,-4.47,-4.47,1723.78,1723.78,-7.75,-7.75,-3.16,-3.16,861.89,861.89,-11.6,-11.6,0,0,15.52,15.52,1400.57,1400.57,7756.99,7756.99,1939.25,1939.25,1185.1,1185.1,152.93,152.93,73.63,73.63,10.55,10.55,29.37,29.37,28.94,28.94,7.55,7.55,50,50,6.08,6.08,50,50,159,159,63.72,63.72,101.22,101.22,87.58,87.58,13.25,13.25,2154.72,2154.72,62.05,62.05,30,30,74.06,74.06,9.35,9.35,2.92,2.92,93.25,93.25,721.32,721.32,-2,-2,62,62,53.1,53.1,861.89,861.89,1016.72,1016.72,0.39,0.39,173.59,173.59,9.33,9.33,17.01,17.01,918.98,918.98,1.5,1.5,41.75,41.75,57.16,57.16,-33.91,-33.91,22.36,22.36,103.74,103.74,28873.25,28873.25,24563.81,24563.81,33361,33361,1723.78,1723.78,2.8,2.8,1400.57,1400.57,11265800000000,11268300000000,7478.17,7478.17,13.88,13.88,12.64,12.64
Koninties,85,85,80.67,80.67,80.67,80.67,17.35,17.35,37.06,37.06,42,42,0,0,15,15,191.25,191.25,5447.06,5447.06,4003.59,4003.59,2514.03,2514.03,-4.47,-4.47,6704.07,6704.07,-6.58,-6.58,2095.02,2095.02,314.25,314.25,-3.16,-3.16,2933.03,2933.03,2933.03,2933.03,3771.04,3771.04,1676.02,1676.02,5447.06,5447.06,5866.06,5866.06,8715.29,8715.29,10056.1,10056.1,6.86,6.86,628.51,628.51,628.51,628.51,523.76,523.76,0,0,105.17,105.17,5.76,5.76,12,12,84.42,84.42,36.3,36.3,2.13,2.13,50,50,1,1,50,50,100,100,46.43,46.43,26.78,26.78,66.04,66.04,32.19,32.19,942.76,942.76,34.28,34.28,80,80,6.72,6.72,115.71,115.71,0.69,0.69,94.23,94.23,82.06,82.06,0,0,64,64,73.77,73.77,523.76,523.76,185.72,185.72,2.16,2.16,296.34,296.34,15.49,15.49,17.24,17.24,458.74,458.74,80,80,22.81,22.81,57.85,57.85,61.24,61.24,-27.39,7.07,98.83,98.83,60879.23,60879.23,12418.15,12418.15,215493,215493,523.76,523.76,17.71,17.71,-4.47,-4.47,3422300000000,3424100000000,56800.32,56800.32,4.62,4.62,19.37,19.37
