Nation,s0,f0,s1,f1,s2,f2,s4,f4,s5,f5,s6,f6,s7,f7,s8,f8,s9,f9,s10,f10,s11,f11,s12,f12,s13,f13,s14,f14,s15,f15,s16,f16,s17,f17,s18,f18,s19,f19,s20,f20,s21,f21,s22,f22,s23,f23,s24,f24,s25,f25,s26,f26,s27,f27,s28,f28,s29,f29,s30,f30,s31,f31,s32,f32,s33,f33,s34,f34,s35,f35,s36,f36,s37,f37,s38,f38,s39,f39,s40,f40,s41,f41,s42,f42,s43,f43,s44,f44,s45,f45,s46,f46,s47,f47,s48,f48,s49,f49,s50,f50,s51,f51,s52,f52,s53,f53,s54,f54,s55,f55,s56,f56,s57,f57,s58,f58,s59,f59,s60,f60,s61,f61,s62,f62,s63,f63,s64,f64,s67,f67,s68,f68,s69,f69,s70,f70,s71,f71,s72,f72,s73,f73,s74,f74,s75,f75,s77,f77,s78,f78,s79,f79,s85,f85,s87,f87,s88,f88
The Grey Krunkers,90.67,90.67,74.67,74.67,82,82,8.37,8.37,33.03,33.03,44.28,44.28,-6.32,-6.32,9.33,9.33,204.75,204.75,164.76,164.76,3148.12,3148.12,9144.08,9144.08,1070.93,1070.93,1977.1,1977.1,8291.04,8291.04,2388.99,2388.99,-5.58,-5.58,164.76,164.76,3048.03,3048.03,-4,-4,3913.01,3913.01,1400.44,1400.44,-6,-6,2471.37,2471.37,2108.9,2108.9,11697.83,11697.83,6.78,6.78,1853.53,1853.53,823.79,823.79,-5.48,-5.48,205.95,205.95,8.94,8.94,11.95,11.95,15.51,15.51,76.89,76.89,36.18,36.18,2.14,2.14,51.62,51.62,1,1,51.48,51.48,105,105,51.76,51.76,33.85,33.85,69.19,69.19,31.1,31.1,308.92,308.92,48.95,48.95,69,69,7.17,7.17,111.95,111.95,0.7,0.7,94.17,94.17,92.31,92.31,0,0,68,68,71.79,71.79,102.97,102.97,382.44,382.44,2.05,2.05,366.19,366.19,10.19,10.19,26.89,26.89,515.06,515.06,3.07,3.07,23.9,23.9,57.16,57.16,97.21,97.21,40.62,40.62,87.18,87.18,57350.68,57350.68,17975.59,17975.59,150461,150461,1132.71,1132.71,15.42,15.42,-4.47,-4.47,367100000000,368600000000,53221.43,53221.43,1.65,1.65,23.54,23.54
The mobile updater duck,57.33,57.33,57.33,57.33,57.33,57.33,3.61,3.61,32.75,32.75,42,42,272.99,272.99,50,50,112.5,112.5,3639.82,3639.82,1146.54,1146.54,2911.85,2911.85,3639.82,3639.82,-6.32,-6.32,4167.59,4167.59,1091.94,1091.94,4112.99,4112.99,-8.37,-8.37,-4.47,-4.47,1819.91,1819.91,0,0,4003.8,4003.8,4003.8,4003.8,4367.78,4367.78,1747.11,1747.11,7643.61,7643.61,9.33,9.33,818.96,818.96,818.96,818.96,1091.94,1091.94,272.99,272.99,119.98,119.98,27.72,27.72,12,12,49.93,49.93,25.84,25.84,15.89,15.89,50,50,1,1,50,50,100,100,56.72,56.72,57.19,57.19,69.48,69.48,0.56,0.56,1091.94,1091.94,73.51,73.51,50,50,13.87,13.87,90.45,90.45,3.24,3.24,93.2,93.2,610.35,610.35,0,0,64,64,68.45,68.45,727.96,727.96,545.14,545.14,0.33,0.33,126.07,126.07,9.86,9.86,17.16,17.16,509.99,509.99,2.21,2.21,54.44,54.44,52.7,52.7,-37.42,-37.42,73.48,73.48,100.2,100.2,49374.09,49374.09,24809.87,24809.87,89516,89516,727.96,727.96,10.54,10.54,91,91,6900000000,7700000000,42511.09,42511.09,7.09,7.09,16.41,16.41
The BoM,57.33,57.33,64,64,57.33,57.33,4.36,4.36,32.71,32.71,42,42,329.02,329.02,50,50,112.5,112.5,4386.95,4386.95,4068.9,4068.9,3948.25,3948.25,-4.47,-4.47,-4.47,-4.47,-4.66,-4.66,438.69,438.69,-5.87,-5.87,-6.32,-6.32,-8.37,-8.37,2193.47,2193.47,5264.34,5264.34,1754.78,1754.78,-7.75,-7.75,4386.95,4386.95,4211.47,4211.47,8773.9,8773.9,9.33,9.33,987.06,987.06,987.06,987.06,1316.08,1316.08,329.02,329.02,119.98,119.98,22.94,22.94,12,12,52.47,52.47,24.36,24.36,18.17,18.17,50,50,1,1,50,50,100,100,56.09,56.09,53.59,53.59,69.52,69.52,2.22,2.22,1316.08,1316.08,74.84,74.84,55,55,18.63,18.63,85.62,85.62,3.24,3.24,93.2,93.2,570.34,570.34,0,0,64,64,69.03,69.03,877.39,877.39,518.91,518.91,0.33,0.33,126.07,126.07,10.89,10.89,17.16,17.16,516.73,516.73,2.29,2.29,52.78,52.78,53.83,53.83,71.41,71.41,-24.49,-24.49,100.2,100.2,45986.19,45986.19,20819.62,20819.62,90752,90752,877.39,877.39,11.36,11.36,109.67,109.67,821800000000,823200000000,37432.76,37432.76,7.09,7.09,14.42,14.42
Inshallah You Will Cope and Seethe,88.67,88.67,74.67,74.67,82,82,8.37,8.37,33.12,33.12,44.28,44.28,-7.75,-7.75,11.33,11.33,200.25,200.25,2959.04,2959.04,2696.01,2696.01,6164.66,6164.66,575.37,575.37,8712.72,8712.72,690.44,690.44,1479.52,1479.52,3143.98,3143.98,-2.83,-2.83,493.17,493.17,3780.99,3780.99,57.54,57.54,6246.85,6246.85,1726.1,1726.1,1923.37,1923.37,4602.94,4602.94,10603.21,10603.21,6.78,6.78,1849.4,1849.4,821.95,821.95,-5.48,-5.48,205.49,205.49,8.94,8.94,11.95,11.95,15.51,15.51,76.89,76.89,35.49,35.49,2.23,2.23,51.62,51.62,1,1,51.48,51.48,97,97,51.87,51.87,34.16,34.16,69.1,69.1,30.45,30.45,308.23,308.23,47.64,47.64,69,69,7.15,7.15,112.07,112.07,0.7,0.7,94.17,94.17,98.74,98.74,0,0,68,68,71.88,71.88,102.74,102.74,254.59,254.59,1.87,1.87,352.79,352.79,14.62,14.62,26.89,26.89,349.49,349.49,29.23,29.23,24.55,24.55,57.13,57.13,80.31,80.31,32.4,32.4,87.18,87.18,57478.44,57478.44,18015.63,18015.63,150796,150796,1130.19,1130.19,15.35,15.35,-4.47,-4.47,441900000000,443100000000,53339.99,53339.99,1.68,1.68,17.78,17.78
Angels of Scorn,57.33,57.33,57.33,57.33,57.33,57.33,3.61,3.61,32.79,32.79,42,42,284.96,284.96,50,50,112.5,112.5,759.9,759.9,1913.05,1913.05,-8.37,-8.37,3799.51,3799.51,1899.76,1899.76,-7.68,-7.68,4179.46,4179.46,0,0,4559.41,4559.41,4939.36,4939.36,-6.32,-6.32,379.95,379.95,-7.75,-7.75,2279.71,2279.71,4559.41,4559.41,4725.7,4725.7,4939.36,4939.36,9.33,9.33,854.89,854.89,854.89,854.89,1139.85,1139.85,284.96,284.96,119.98,119.98,27.72,27.72,12,12,49.93,49.93,25.84,25.84,15.89,15.89,50,50,1,1,50,50,100,100,56.72,56.72,57.19,57.19,69.44,69.44,0.56,0.56,1139.85,1139.85,54.55,54.55,50,50,15.57,15.57,88.22,88.22,3.24,3.24,93.2,93.2,610.35,610.35,0,0,64,64,68.32,68.32,759.9,759.9,542.41,542.41,0.34,0.34,126.07,126.07,12.8,12.8,17.16,17.16,502.9,502.9,2.22,2.22,54.44,54.44,52.69,52.69,-94.34,-94.34,73.48,73.48,100.2,100.2,47304.92,47304.92,23770.13,23770.13,85764,85764,759.9,759.9,10.54,10.54,94.99,94.99,467500000000,468800000000,39925.35,39925.35,7.09,7.09,11.71,11.71
Discord server,57.33,57.33,57.33,57.33,57.33,57.33,3.61,3.61,32.73,32.73,42,42,366.14,366.14,50,50,112.5,112.5,-4.47,-4.47,-5.5,-5.5,-7.07,-7.07,-7.75,-7.75,0,0,4852.63,4852.63,976.38,976.38,2909.62,2909.62,-6.32,-6.32,3905.54,3905.54,3417.34,3417.34,1464.58,1464.58,0,0,-3.16,-3.16,-7.75,-7.75,-4,-4,976.38,976.38,9.33,9.33,1098.43,1098.43,1098.43,1098.43,1464.58,1464.58,366.14,366.14,119.98,119.98,27.72,27.72,12,12,49.93,49.93,21.67,21.67,21.56,21.56,50,50,1,1,50,50,100,100,56.72,56.72,57.19,57.19,69.5,69.5,0.56,0.56,1464.58,1464.58,64.52,64.52,50,50,26.4,26.4,78.41,78.41,3.24,3.24,93.2,93.2,610.35,610.35,0,0,64,64,67.71,67.71,976.38,976.38,574.03,574.03,0.33,0.33,126.07,126.07,9.9,9.9,17.16,17.16,498.52,498.52,2.13,2.13,54.44,54.44,52.71,52.71,10,10,-50.99,-50.99,100.2,100.2,36853.62,36853.62,18518.48,18518.48,66816,66816,976.38,976.38,10.54,10.54,122.05,122.05,6200000000,7000000000,27124.26,27124.26,7.09,7.09,13.93,13.93
Tinell,75.83,75.83,17.5,17.5,75.33,75.33,1.32,1.32,30.64,30.53,44.83,44.83,639.18,802.94,27.25,27.25,164.25,164.25,-8.83,-8.83,-6.2,-6.2,2154.94,2229.33,306.8,317.4,1132.26,1284.7,2103.81,2176.43,1351.4,1398.05,3013.26,755.7,931.37,963.52,584.39,604.56,2593.23,2682.75,2209.73,2286.01,401.77,415.64,1680.12,1738.12,-3.92,-3.92,796.23,823.72,3506.34,3627.38,14.59,14.7,1552.29,1605.87,913.11,944.63,456.55,472.32,593.52,614.01,1207.99,1207.99,75.67,75.67,17.36,17.36,34.65,34.65,33.97,33.97,2.45,2.45,51.62,51.62,1,1,53.38,53.38,136,146,67.45,67.45,100.83,100.83,72.01,72.16,27.68,27.68,821.8,850.17,65.53,65.53,-86.5,-86.5,41.04,43.94,39.4,36.02,0.76,0.76,93.94,93.94,545.06,545.06,-8,-8,67,67,76.19,76.07,502.21,519.55,1030.99,1044.59,0.42,0.42,246.06,246.64,9.78,9.79,12.56,12.56,790.83,861.26,1.45,1.4,27.32,27.32,47.79,47.84,61.73,61.73,45.72,45.72,108.45,108.45,31108.19,30075.55,26852.1,25960.73,35484,34306,958.77,991.86,2.45,2.45,365.24,377.85,159200000000,159200000000,18353.83,16872.38,12.68,12.68,13.48,12.81
Southern Polish,90.67,90.67,41.78,41.78,82,82,3.44,3.44,33.61,33.44,45.34,45.34,0,272.06,9.33,9.33,204.75,204.75,-4,-4,-6.69,-6.69,2179.72,2249.01,-6,-6,2601.6,2901.94,8100.11,8357.59,-5.81,-5.81,2812.54,-5.2,-4,-4,-2.45,-2.45,-6.78,-6.78,-7.42,-7.42,4359.44,4498.01,1195.33,1233.33,-5.02,-5.02,4162.56,4294.87,2179.72,2249.01,6.24,6.48,1494.16,1541.66,615.24,634.8,-4.47,-4.47,-7.07,-7.07,589.82,589.82,29.06,29.06,16.29,16.29,62.17,62.17,35.56,35.56,2.22,2.22,52.16,52.16,1,1,51.48,51.48,119,129,55.73,55.73,54.04,54.04,68.63,68.79,25.25,25.25,87.89,90.69,55.81,55.81,48.33,48.33,8.28,8.84,103.29,100.81,0.7,0.7,94.17,94.17,169.3,169.3,0,0,68,68,68.26,67.93,0,0,649.05,723.49,1.39,1.39,364.12,364.82,9.77,9.78,15.41,15.41,667.08,743.54,1.96,1.84,29.75,29.75,50.18,50.24,66.33,66.33,-36.06,-36.06,86.35,86.35,38584.52,37398.78,19900.14,19288.59,68470,66365,878.92,906.86,11.81,11.81,-3.16,-3.16,49400000000,50100000000,35382.01,34107.69,1.42,1.42,18.41,17.81
Sephacia,75.78,75.78,66.67,66.67,72,72,5.14,5.14,36.31,36.02,40.78,40.78,0,378.6,27.33,27.33,164.25,164.25,2057.85,2019.18,-5.65,-4.9,0,0,-7.07,-7.07,-5.29,-4.69,1242.42,2423.01,-9.27,-9.27,4943.98,0,-7.07,-7.07,5659.08,5552.73,-7.75,-7.75,360.12,353.36,6173.54,6057.53,-8.37,-8.37,-7.75,-7.75,-2.83,-2.83,2057.85,2019.18,8.25,8.43,128.62,126.2,771.69,757.19,1157.54,1135.79,0,0,1563.82,1563.82,19.44,19.44,13,13,64.67,64.67,28.91,28.91,7.64,7.64,51,51,1,1,51.48,51.48,103,113,54.78,54.78,49.31,49.31,66.5,66.7,16.8,16.8,771.69,757.19,57.79,57.79,59,59,17.89,18.14,88.95,88.42,0.82,0.82,93.8,93.8,278.55,278.55,0,0,64,64,70.2,70.02,643.08,630.99,409,533.92,0.61,0.61,254.6,255.19,10.43,9.93,11.06,11.06,482.28,594.35,2.85,2.24,38.2,38.2,53.34,53.4,47.43,47.43,-47.43,-47.43,98.83,98.83,41036.03,41822.19,16945.23,17269.86,87153,88822,643.08,630.99,12.87,12.87,-3.16,-3.16,1000000000,1200000000,33690.58,34252.37,3.6,3.6,16.2,16.29
Duck it i cant think of any more names,57.33,57.33,57.33,57.33,57.33,57.33,3.61,3.61,32.82,32.82,42,42,297.34,297.34,50,50,112.5,112.5,3171.61,3171.61,3926.85,3926.85,2378.71,2378.71,0,0,3568.06,3568.06,2662.17,2662.17,3171.61,3171.61,-5.65,-5.65,3171.61,3171.61,1189.35,1189.35,4757.42,4757.42,-3.16,-3.16,-6.32,-6.32,2775.16,2775.16,0,0,3171.61,3171.61,8721.93,8721.93,9.33,9.33,892.02,892.02,892.02,892.02,1189.35,1189.35,297.34,297.34,119.98,119.98,27.72,27.72,12,12,49.93,49.93,21.89,21.89,21.31,21.31,50,50,1,1,50,50,100,100,56.72,56.72,57.19,57.19,69.41,69.41,0.56,0.56,1189.35,1189.35,66.78,66.78,50,50,17.28,17.28,86.19,86.19,3.24,3.24,93.2,93.2,610.35,610.35,0,0,64,64,68.2,68.2,792.9,792.9,462.72,462.72,0.34,0.34,126.07,126.07,12.66,12.66,17.16,17.16,491.7,491.7,2.52,2.52,54.44,54.44,52.68,52.68,50.99,50.99,20,20,100.2,100.2,45342.17,45342.17,22783.88,22783.88,82206,82206,792.9,792.9,10.54,10.54,99.11,99.11,6600000000,7400000000,37497.97,37497.97,7.09,7.09,12.84,12.84
