Nation,s0,f0,s1,f1,s2,f2,s4,f4,s5,f5,s6,f6,s7,f7,s8,f8,s9,f9,s10,f10,s11,f11,s12,f12,s13,f13,s14,f14,s15,f15,s16,f16,s17,f17,s18,f18,s19,f19,s20,f20,s21,f21,s22,f22,s23,f23,s24,f24,s25,f25,s26,f26,s27,f27,s28,f28,s29,f29,s30,f30,s31,f31,s32,f32,s33,f33,s34,f34,s35,f35,s36,f36,s37,f37,s38,f38,s39,f39,s40,f40,s41,f41,s42,f42,s43,f43,s44,f44,s45,f45,s46,f46,s47,f47,s48,f48,s49,f49,s50,f50,s51,f51,s52,f52,s53,f53,s54,f54,s55,f55,s56,f56,s57,f57,s58,f58,s59,f59,s60,f60,s61,f61,s62,f62,s63,f63,s64,f64,s67,f67,s68,f68,s69,f69,s70,f70,s71,f71,s72,f72,s73,f73,s74,f74,s75,f75,s77,f77,s78,f78,s79,f79,s85,f85,s87,f87,s88,f88
Tinell,75.83,75.83,17.5,17.5,75.33,75.33,1.32,1.32,30.81,30.74,44.83,44.83,401.47,500.95,27.25,27.25,164.25,164.25,463.92,400.76,-5.93,-6.2,2176.83,2149.53,399.68,306.03,1034.89,1020.12,2169.7,2098.53,1391.75,1348.01,3033.29,3005.7,945.67,929.03,642.34,582.92,2605.06,2586.72,2230.36,2204.18,463.92,400.76,1712.92,1675.91,-3.55,-3.92,806.5,794.23,4032.49,3898.3,14.42,14.49,1516.65,1548.39,892.14,910.82,446.07,455.41,579.89,592.03,1207.99,1207.99,75.67,75.67,17.36,17.36,34.65,34.65,34.02,33.97,2.44,2.45,51.62,51.62,1,1,53.38,53.38,120,126,67.45,67.45,100.83,100.83,71.78,71.87,27.69,27.68,802.93,819.74,65.43,65.53,-86.5,-86.5,38.45,40.2,42.93,40.72,0.76,0.76,93.94,93.94,545.06,545.06,-8,-8,67,67,76.33,76.29,490.68,500.95,992.19,1013,0.42,0.42,245.3,245.49,9.76,9.78,12.56,12.56,666.01,713.92,1.55,1.51,27.31,27.32,47.71,47.74,61.07,61.73,48.68,45.72,108.45,108.45,31834.57,31184.97,27479.1,26918.37,36313,35572,936.75,956.36,2.45,2.45,356.86,364.33,148800000000,149400000000,19578.26,18648.61,12.68,12.68,12.18,12.58
Southern Polish,90.67,90.67,41.78,41.78,82,82,3.44,3.44,33.89,33.79,45.34,45.34,-7.07,-5.48,9.33,9.33,204.75,204.75,3119.58,2896.55,-7,-6.69,2339.69,2137.93,-5.66,-6,2481.49,2344.82,5566.68,6747.92,-5.35,-5.81,2623.99,2758.62,-3.46,-4,-1.41,-2.45,-6.48,-6.78,-7.14,-7.42,4537.57,4275.85,1347.09,1172.41,-4.73,-5.02,4424.13,4082.75,5459.27,5034.47,6.24,6.24,1506.62,1465.51,620.37,603.45,-4.47,-4.47,-7.07,-7.07,589.82,589.82,29.06,29.06,16.29,16.29,62.17,62.17,35.57,35.56,2.22,2.22,52.16,52.16,1,1,51.48,51.48,103,109,55.73,55.73,54.04,54.04,68.37,68.46,25.27,25.25,88.62,86.21,55.69,55.81,48.33,48.33,8.35,8.1,102.93,104.15,0.7,0.7,94.17,94.17,169.3,169.3,0,0,68,68,68.48,68.49,0,0,495.82,575.75,1.4,1.39,363.19,363.42,9.9,9.8,15.41,15.41,518.06,579.59,2.38,2.12,29.73,29.75,50.1,50.13,66.33,66.33,-33.17,-36.06,86.35,86.35,38265.56,39337.52,19735.64,20288.5,67904,69806,886.24,862.07,11.81,11.81,-3.16,-3.16,37800000000,40300000000,35089.52,36151.18,1.42,1.42,15.21,16.66
Puppet of The Holy Prussin States 1,51,51,43,43,10,10,2.56,2.56,30,29.93,46.76,46.76,231.04,393.69,54.75,54.75,103.5,103.5,2649.27,2582.58,3179.13,3099.09,2772.49,2708.55,4435.99,4409.28,-2,-2.45,1774.4,1612.53,345.02,264.56,1001.18,866.11,2526.05,2456.6,-8,-8.25,800.94,692.89,-4.12,-4.58,3573.44,3527.42,-8.6,-8.83,-2.62,-2.97,1713.08,1625.44,5766.79,5555.69,11,11.09,2002.36,2047.16,1078.19,1102.32,1232.22,1259.79,154.03,157.47,23.5,23.5,39.05,39.05,16.66,16.66,22.18,22.18,16.19,16.13,26.83,26.88,48.6,48.6,1,1,50.5,50.5,107,113,62.63,62.63,75.72,75.72,72.93,73.03,19.07,19.06,1078.19,1102.32,91.75,91.72,39.25,39.25,21.56,23.1,76.72,74.69,23.15,23.15,91.52,91.52,1503.36,1503.36,-8,-8,66,66,63.27,62.77,385.07,393.69,862.3,907.84,0.31,0.31,178.52,178.68,9.84,9.84,17.93,17.93,602.56,653.93,1.67,1.62,35.93,35.94,52.58,52.62,-60.42,-60.42,90.28,89.16,106.51,106.51,45019.43,44036.37,27269.23,26673.77,69839,68314,1155.21,1181.06,2.97,2.97,770.14,787.37,39100000000,40000000000,35295.23,33863.97,14.53,14.53,17.52,18.06
Rudiels,77.56,77.56,59.11,59.11,75.33,75.33,4.14,4.14,32.52,32.44,42,42,-5.48,-3.16,24.67,24.67,171,171,4550.18,4426.1,-4.38,-4.73,3466.81,3337.72,-1.55,-2.19,2166.75,2104.21,4949.59,6375.04,577.8,435.35,4334.95,4625.64,2600.11,2467.01,4911.31,4788.9,2383.43,2249.33,-2.28,-3.22,-6.63,-6.93,3105.68,2974.92,3683.48,3555.4,4428.34,4295.5,8594.79,8199.18,6.86,6.86,993.1,997.69,722.25,725.59,270.84,272.1,-3.16,-3.16,19.47,19.47,24.17,24.17,13,13,62.91,62.91,34,33.91,2.45,2.46,51,51,1,1,50.5,50.5,107,113,56.7,56.7,59.16,59.16,69.72,69.81,17.43,17.42,993.1,997.69,41.75,41.83,53.33,53.33,7.51,7.56,108.61,108.34,0.75,0.75,93.97,93.97,267.66,267.66,-8,-8,64,64,70.13,70.07,180.56,181.4,455.83,489.08,1.51,1.51,270.48,270.68,11,10.66,18.01,18.01,537.1,595.08,2.56,2.41,37.57,37.58,53.53,53.56,66.11,65.5,20.74,17.61,104.46,104.46,52364.17,52123.55,24401.88,24289.75,100956,100492,631.97,634.89,10.57,10.57,-6.32,-6.32,2600000000,3100000000,48436.86,48162.16,12.33,12.33,18.62,20.23
Kalevasi,57,57,51.56,51.56,8,8,3.12,3.12,30.87,30.8,42,42,0,193.96,50.25,50.25,112.5,112.5,2882.82,2792.95,3004.2,2886.05,-4.9,-5.29,-4,-4.47,455.18,387.91,971.05,744.79,-3.74,-4.24,6711.65,6885.41,-6,-6.48,-3.74,-4.24,227.59,77.58,5158.72,5120.42,606.91,465.49,1365.54,1241.31,6144.95,6128.98,2637.59,2542.17,2882.82,2792.95,9.38,9.49,1327.61,1357.69,1043.12,1066.75,1612.1,1648.62,474.15,484.89,12.84,12.84,32.04,32.04,12,12,23.65,23.65,18.6,18.48,24.74,24.85,50,50,1,1,50,50,106,112,58.93,58.93,60.39,60.39,71.69,71.79,16.09,16.08,1232.78,1260.71,58.49,58.52,45.67,45.67,17.97,19.45,84.64,82.88,24.66,24.66,91.43,91.43,1152.05,1152.05,-4,-4,64,64,67.12,66.92,474.15,484.89,483.97,522.75,0.39,0.39,94.41,94.53,10.57,10.57,18.75,18.75,572.62,626.39,2.43,2.28,38.91,38.92,53.12,53.15,-33.17,-33.17,-10,-17.32,102.62,102.62,43290.61,42345.66,23547.8,23033.79,73506,71902,948.29,969.78,6.79,6.79,-3.16,-3.16,1397000000000,1433100000000,35498.3,34130.6,13.61,13.61,16.68,17.28
Cosmo Kramerica,49.09,49.09,100.02,100.02,56.53,56.53,1.37,1.37,22.37,22.36,15.98,15.98,1071.06,1229.18,56.18,56.18,61,61,15117.24,15057.42,2350.21,2212.52,-2.05,-2.65,599.79,430.21,-4.5,-4.84,-10.7,-10.77,20992.77,20957.47,-12.73,-12.85,-3.67,-4.74,-13.27,-13.42,21237.58,21203.31,5728.64,5592.76,-5.1,-5.48,-15.65,-15.78,4259.76,4117.74,-9.62,-10.08,36110.01,36014.89,20.54,20.59,-16.12,-16.12,6196.84,6222.71,7114.9,7144.59,5355.3,5377.65,239.44,239.44,73.09,73.09,0.49,0.49,40.65,40.65,57.76,57.64,1.21,1.21,49.36,49.36,7.03,7.03,31.88,31.88,153,159,77.17,77.17,121.64,121.64,90.36,90.36,9.44,9.44,7879.94,7912.83,5.64,5.65,30.67,30.67,54.08,54.8,0.71,-0.61,5.84,5.84,92.87,92.87,841.38,841.38,-8,-8,74,74,54.06,53.87,-17.61,-17.61,1143.57,1148.2,1.19,1.19,10.08,10.12,9.28,9.27,16.68,16.68,1339.87,1376.56,1.05,1.04,45.56,45.56,88.03,88.03,-116.12,-115.39,115.03,113.54,60.89,60.89,102570.78,102144.62,86921.51,86560.37,118925,118431,4666.76,4686.24,2.04,2.04,-16.73,-16.73,4314200000000,4304700000000,47079.99,46169.37,21.02,21.02,42.16,43.38
State Peace and Development Council,67.43,67.43,68.89,68.89,60,60,1.39,1.39,21.11,21.11,46.76,46.76,7336.52,7541.64,39.86,39.86,137.25,137.25,-9.49,-9.7,-6.32,-6.57,-5.92,-6.15,-9.17,-9.3,-12.8,-12.9,-11.31,-11.38,-14.7,-14.83,-17.96,-18.04,0,-3,-14.49,-14.63,-17.32,-17.44,-9.75,-9.95,-7.07,-7.35,-20.25,-20.35,-3.83,-4.08,-14.89,-15.18,0,0,20.93,20.98,4112.9,4103.54,13116.81,13086.97,2556.67,2550.85,2223.19,2218.13,1052.22,1052.22,71.75,71.75,18.02,18.02,26.73,26.73,51.5,51.49,1.35,1.35,52.64,52.64,8.06,8.06,52.44,52.44,295,301,76.11,76.11,106.96,106.96,91,91,10.54,10.55,2667.83,2661.76,111.4,111.44,32.33,32.33,68.24,68.1,-29.68,-29.57,1.16,1.16,93.63,93.63,656.13,656.13,-8,-8,77,77,49.34,49.3,555.8,554.53,1253.04,1256.7,0.22,0.22,188.97,189.14,8.98,8.97,13.26,13.26,1879.69,1913.36,0.82,0.81,44.46,44.45,68.48,68.48,-68.92,-69.07,54.77,53.67,108.14,108.14,48687.83,48798.86,40855.79,40948.96,56944,57074,9115.07,9094.33,2.07,2.07,778.12,776.35,334100000000,334900000000,15482.73,15566.84,12.79,12.79,81.94,83.72
Ugg Lands,68.87,68.87,67.52,67.52,65,65,1.3,1.3,20.49,20.48,44.28,44.28,12526.89,12672.18,37.7,37.7,141.75,141.75,-23.54,-23.62,-13.39,-13.51,-15.68,-15.81,-12.59,-12.68,-18.31,-18.38,-13.48,-13.54,-17.32,-17.44,-22.98,-23.04,-20.05,-20.15,-21.07,-21.17,-24.17,-24.25,-17.49,-17.61,-17.15,-17.26,-25.08,-25.16,-8.96,-9.07,-25.06,-25.24,0,0,28.76,28.79,6022.54,6015.28,12446.59,12431.57,6986.15,6977.72,2328.72,2325.91,74.94,74.94,76.68,76.68,15.9,15.9,26.99,26.99,82.81,82.8,0.9,0.9,53.51,53.51,9.3,9.3,51.96,51.96,446,452,87.96,87.96,119.38,119.38,91.37,91.37,14.88,14.89,7146.75,7138.13,100.95,100.98,26.29,26.29,78.33,78.28,-133.98,-133.9,4.8,4.8,92.99,92.99,651,651,-2,-2,108,108,43.54,43.51,883.31,882.24,1464.6,1467.42,0.18,0.18,163.28,163.44,8.23,8.22,17.42,17.42,3182.38,3212.36,0.58,0.57,40.12,40.11,71.96,71.96,-151.18,-151.47,96.82,96.16,106.84,106.84,66408.6,66488.85,57724.03,57793.79,75282,75373,10840.58,10827.5,1.82,1.82,1606.01,1604.07,772400000000,773400000000,14410.67,14428.08,17.45,17.45,136.02,136.34
Turmissia,72.83,72.83,22,22,75.33,75.33,1.39,1.39,32.25,32.16,39.43,39.43,1407.76,1601.6,31.75,31.75,155.25,155.25,1751.88,1665.66,2477.66,2383.18,-6.16,-6.48,-8.6,-8.83,-5.69,-5.9,-7.04,-7.16,244.01,83.28,1407.76,1281.28,563.1,512.51,-10.2,-10.39,-13.56,-13.71,-9.95,-10.15,187.7,64.06,-9.7,-9.9,2659.1,2594.59,-10.68,-10.86,1995.89,1748.94,12.69,12.77,156.42,160.16,1094.92,1121.12,1251.34,1281.28,547.46,560.56,1078.45,1078.45,72.01,72.01,13,13,43.41,43.41,32.01,31.92,2.9,2.93,47.8,47.8,1,1,52.44,52.44,142,148,64.14,64.14,103.43,103.43,70.02,70.12,23.28,23.27,1877.01,1921.92,45.73,45.91,-78,-78,56.23,58.88,40.96,39.55,0.76,0.76,93.94,93.94,514.73,514.73,-8,-8,67,67,76.85,76.81,860.3,880.88,1024.84,1032.86,0.43,0.43,225.08,225.27,9.87,9.88,13.14,13.14,866,908.24,1.47,1.44,31.72,31.73,46.96,47,35.36,35.36,-56.12,-57.88,105.5,105.5,22964.01,22467.85,19308.05,18890.88,26811,26232,860.3,880.88,2.75,2.75,234.63,240.24,490000000000,506100000000,10058.23,9234.28,15.14,15.14,15.79,16.37
Etruriia,53,53,24.25,24.25,65.33,65.33,1.7,1.7,32.11,32.04,43,43,480.78,615.6,53.25,53.25,105.75,105.75,240.39,147.74,865.4,768.27,721.17,640.23,-7.21,-7.48,-7.07,-7.21,4230.84,4176.25,3557.75,3545.87,-7.25,-7.45,0,-2.45,240.39,147.74,2403.89,2363.91,1850.99,1797.56,2163.5,2117.67,-8.94,-9.17,1346.18,1280.45,1387.89,1323.18,4519.31,4333.84,11.05,11.14,360.58,369.36,901.46,923.4,1021.65,1046.52,480.78,492.48,32.69,32.69,58.82,58.82,13.62,13.62,37.89,37.89,25.65,25.55,16.21,16.37,51,51,1,1,50.5,50.5,109,115,62.78,62.78,98.43,98.43,70.18,70.25,12.57,12.57,1141.85,1169.64,55.93,56.03,24.25,24.25,24.43,26.07,70.78,68.75,1.81,1.81,93.45,93.45,802.52,802.52,-8,-8,64,64,55.5,55.18,600.97,615.6,894.62,940.83,0.34,0.34,180.67,180.84,9.46,9.47,17.79,17.79,611.62,662.39,1.63,1.59,42.43,42.43,47.95,47.97,58.31,58.31,-43.59,-45.83,106.84,106.84,33263.43,32512.06,25113.06,24545.8,42692,41728,600.97,615.6,2.95,2.95,120.19,123.12,223300000000,235200000000,25147.15,24026.42,13.84,13.84,11.85,12.24
