Nation,s0,f0,s1,f1,s2,f2,s4,f4,s5,f5,s6,f6,s7,f7,s8,f8,s9,f9,s10,f10,s11,f11,s12,f12,s13,f13,s14,f14,s15,f15,s16,f16,s17,f17,s18,f18,s19,f19,s20,f20,s21,f21,s22,f22,s23,f23,s24,f24,s25,f25,s26,f26,s27,f27,s28,f28,s29,f29,s30,f30,s31,f31,s32,f32,s33,f33,s34,f34,s35,f35,s36,f36,s37,f37,s38,f38,s39,f39,s40,f40,s41,f41,s42,f42,s43,f43,s44,f44,s45,f45,s46,f46,s47,f47,s48,f48,s49,f49,s50,f50,s51,f51,s52,f52,s53,f53,s54,f54,s55,f55,s56,f56,s57,f57,s58,f58,s59,f59,s60,f60,s61,f61,s62,f62,s63,f63,s64,f64,s67,f67,s68,f68,s69,f69,s70,f70,s71,f71,s72,f72,s73,f73,s74,f74,s75,f75,s77,f77,s78,f78,s79,f79,s85,f85,s87,f87,s88,f88
Tinell,75.83,75.83,17.5,17.5,75.33,75.33,1.32,1.32,30.74,30.64,44.83,44.83,500.95,639.18,27.25,27.25,164.25,164.25,400.76,-8.83,-6.2,-6.2,2149.53,2154.94,306.03,306.8,1020.12,1132.26,2098.53,2103.81,1348.01,1351.4,3005.7,3013.26,929.03,931.37,582.92,584.39,2586.72,2593.23,2204.18,2209.73,400.76,401.77,1675.91,1680.12,-3.92,-3.92,794.23,796.23,3898.3,3506.34,14.49,14.59,1548.39,1552.29,910.82,913.11,455.41,456.55,592.03,593.52,1207.99,1207.99,75.67,75.67,17.36,17.36,34.65,34.65,33.97,33.97,2.45,2.45,51.62,51.62,1,1,53.38,53.38,126,136,67.45,67.45,100.83,100.83,71.87,72.01,27.68,27.68,819.74,821.8,65.53,65.53,-86.5,-86.5,40.2,41.04,40.72,39.4,0.76,0.76,93.94,93.94,545.06,545.06,-8,-8,67,67,76.29,76.19,500.95,502.21,1013,1030.99,0.42,0.42,245.49,246.06,9.78,9.78,12.56,12.56,713.92,790.83,1.51,1.45,27.32,27.32,47.74,47.79,61.73,61.73,45.72,45.72,108.45,108.45,31184.97,31108.19,26918.37,26852.1,35572,35484,956.36,958.77,2.45,2.45,364.33,365.24,153200000000,155400000000,18648.61,18353.83,12.68,12.68,12.58,13.48
Southern Polish,90.67,90.67,41.78,41.78,82,82,3.44,3.44,33.79,33.61,45.34,45.34,-5.48,0,9.33,9.33,204.75,204.75,2896.55,-4,-6.69,-6.69,2137.93,2179.72,-6,-6,2344.82,2601.6,6747.92,8100.11,-5.81,-5.81,2758.62,2812.54,-4,-4,-2.45,-2.45,-6.78,-6.78,-7.42,-7.42,4275.85,4359.44,1172.41,1195.33,-5.02,-5.02,4082.75,4162.56,5034.47,2179.72,6.24,6.24,1465.51,1494.16,603.45,615.24,-4.47,-4.47,-7.07,-7.07,589.82,589.82,29.06,29.06,16.29,16.29,62.17,62.17,35.56,35.56,2.22,2.22,52.16,52.16,1,1,51.48,51.48,109,119,55.73,55.73,54.04,54.04,68.46,68.63,25.25,25.25,86.21,87.89,55.81,55.81,48.33,48.33,8.1,8.28,104.15,103.29,0.7,0.7,94.17,94.17,169.3,169.3,0,0,68,68,68.49,68.26,0,0,575.75,649.05,1.39,1.39,363.42,364.12,9.8,9.77,15.41,15.41,579.59,667.08,2.12,1.96,29.75,29.75,50.13,50.18,66.33,66.33,-36.06,-36.06,86.35,86.35,39337.52,38584.52,20288.5,19900.14,69806,68470,862.07,878.92,11.81,11.81,-3.16,-3.16,44700000000,45700000000,36151.18,35382.01,1.42,1.42,16.66,18.41
Extended SDPC-Spin,80,80,77.33,77.33,82,82,7.52,7.52,32.12,32.12,44.28,44.28,-4.47,-4.47,21,21,177.75,177.75,0,0,1799.91,1799.91,5174.73,5174.73,5699.7,5699.7,6974.64,6974.64,7345.87,7345.87,-3.61,-3.61,6772.15,6772.15,2999.84,2999.84,3749.8,3749.8,374.98,374.98,4912.24,4912.24,4124.79,4124.79,1124.94,1124.94,2099.89,2099.89,1679.91,1679.91,5174.73,5174.73,7,7,1687.41,1687.41,749.96,749.96,-5.48,-5.48,468.73,468.73,8.94,8.94,13.3,13.3,15.51,15.51,75.59,75.59,35.22,35.22,2.26,2.26,51.62,51.62,1,1,51.48,51.48,111,111,52.75,52.75,37.73,37.73,70.16,70.16,26.54,26.54,281.24,281.24,58.68,58.68,67,67,6.37,6.37,116.91,116.91,0.7,0.7,94.17,94.17,140.62,140.62,0,0,68,68,71.7,71.7,93.75,93.75,352.35,352.35,1.26,1.26,278.23,278.23,13.5,13.5,26.89,26.89,571.94,571.94,3.42,3.42,28.46,28.46,58.37,58.37,-32.4,-32.4,89.16,89.16,87.18,87.18,64676.63,64676.63,21558.88,21558.88,162055,162055,1031.2,1031.2,14.72,14.72,-4.47,-4.47,420700000000,422700000000,60537.33,60537.33,2.01,2.01,24.41,24.41
You quack me up,57.33,57.33,57.33,57.33,57.33,57.33,3.61,3.61,32.67,32.52,42,42,470.79,744.53,50,50,112.5,112.5,-3.74,-10.68,-5.22,-5.22,-2,-2,-2,-2,4820.92,4988.37,6371.15,6909.26,-7.35,-7.35,1694.86,1675.2,602.62,595.63,-6.63,-6.63,979.25,967.89,3615.69,3573.76,979.25,967.89,2109.15,2084.69,4745.59,4690.56,2772.03,2739.88,0,0,9.43,9.59,847.43,837.6,847.43,837.6,1129.9,1116.8,282.48,279.2,119.98,119.98,27.72,27.72,12,12,49.93,49.93,25,25,17.24,17.24,50,50,1,1,50,50,106,116,56.72,56.72,57.19,57.19,69.56,69.72,0.55,0.55,1129.9,1116.8,74.79,74.79,50,50,15.74,16.04,87.89,87.34,3.24,3.24,93.2,93.2,610.35,610.35,0,0,64,64,68.24,68.02,753.27,744.53,723.36,805.32,0.32,0.32,126.2,126.62,9.9,9.89,17.16,17.16,581.51,668.77,1.84,1.73,54.45,54.45,52.73,52.78,-20,-20,14.14,14.14,100.2,100.2,47721.85,48282.94,23979.63,24261.58,86520,87537,753.27,744.53,10.54,10.54,94.16,93.07,4200000000,4800000000,40229.52,40557.67,7.09,7.09,13.79,15.01
Puppet of The Holy Prussin States 1,51,51,43,43,10,10,2.56,2.56,29.93,29.83,46.76,46.76,393.69,647.4,54.75,54.75,103.5,103.5,2582.58,-4.24,3099.09,3185.23,2708.55,2783.84,4409.28,4531.83,-2.45,-2.19,1612.53,1657.35,264.56,271.91,866.11,890.18,2456.6,2524.88,-8.25,-8.25,692.89,712.14,-4.58,-4.58,3527.42,3625.46,-8.83,-8.83,-2.97,-2.97,1625.44,1670.62,5555.69,3055.75,11.09,11.22,2047.16,2104.06,1102.32,1132.96,1259.79,1294.81,157.47,161.85,23.5,23.5,39.05,39.05,16.66,16.66,22.18,22.18,16.13,16.13,26.88,26.88,48.6,48.6,1,1,50.5,50.5,113,123,62.63,62.63,75.72,75.72,73.03,73.19,19.06,19.06,1102.32,1132.96,91.72,91.72,39.25,39.25,23.1,25.18,74.69,72.05,23.15,23.15,91.52,91.52,1503.36,1503.36,-8,-8,66,66,62.77,61.43,393.69,404.63,907.84,997.23,0.31,0.31,178.68,179.17,9.84,9.84,17.93,17.93,653.93,734.52,1.62,1.54,35.94,35.94,52.62,52.67,-60.42,-60.42,89.16,89.16,106.51,106.51,44036.37,42848.74,26673.77,25954.4,68314,66471,1181.06,1213.88,2.97,2.97,787.37,809.25,43800000000,44400000000,33863.97,32050.86,14.53,14.53,18.06,19.4
Rudiels,77.56,77.56,59.11,59.11,75.33,75.33,4.14,4.14,32.44,32.33,42,42,-3.16,187.05,24.67,24.67,171,171,4426.1,823.03,-4.73,-4.73,3337.72,3441.77,-2.19,-2.19,2104.21,2394.28,6375.04,6703.97,435.35,448.93,4625.64,4769.85,2467.01,2543.92,4788.9,4938.19,2249.33,2319.45,-3.22,-3.22,-6.93,-6.93,2974.92,3067.67,3555.4,3666.24,4295.5,4429.41,8199.18,4713.73,6.86,7,997.69,1028.79,725.59,748.21,272.1,280.58,-3.16,-3.16,19.47,19.47,24.17,24.17,13,13,62.91,62.91,33.91,33.91,2.46,2.46,51,51,1,1,50.5,50.5,113,123,56.7,56.7,59.16,59.16,69.81,69.93,17.42,17.42,997.69,1028.79,41.83,41.83,53.33,53.33,7.56,8.03,108.34,105.86,0.75,0.75,93.97,93.97,267.66,267.66,-8,-8,64,64,70.07,69.79,181.4,187.05,489.08,556.66,1.51,1.51,270.68,271.28,10.66,10.69,18.01,18.01,595.08,680.8,2.41,2.18,37.58,37.58,53.56,53.6,65.5,65.5,17.61,17.61,104.46,104.46,52123.55,50549.15,24289.75,23556.07,100492,97456,634.89,654.68,10.57,10.57,-6.32,-6.32,4700000000,5100000000,48162.16,46505.22,12.33,12.33,20.23,21.66
Kalevasi,57,57,51.56,51.56,8,8,3.12,3.12,30.8,30.68,42,42,193.96,498.56,50.25,50.25,112.5,112.5,2792.95,-5.29,2886.05,2967.4,-5.29,-5.29,-4.47,-4.47,387.91,638.15,744.79,765.78,-4.24,-4.24,6885.41,7079.49,-6.48,-6.48,-4.24,-4.24,77.58,79.77,5120.42,5264.75,465.49,478.61,1241.31,1276.3,6128.98,6301.75,2542.17,2613.83,2792.95,0,9.49,9.64,1357.69,1395.96,1066.75,1096.82,1648.62,1695.09,484.89,498.56,12.84,12.84,32.04,32.04,12,12,23.65,23.65,18.48,18.48,24.85,24.85,50,50,1,1,50,50,112,122,58.93,58.93,60.39,60.39,71.79,71.95,16.08,16.08,1260.71,1296.25,58.52,58.52,45.67,45.67,19.45,21.48,82.88,80.56,24.66,24.66,91.43,91.43,1152.05,1152.05,-4,-4,64,64,66.92,66.52,484.89,498.56,522.75,592.61,0.39,0.39,94.53,94.88,10.57,10.62,18.75,18.75,626.39,709.13,2.28,2.08,38.92,38.92,53.15,53.2,-33.17,-33.17,-17.32,-17.32,102.62,102.62,42345.66,41206.04,23033.79,22413.9,71902,69967,969.78,997.11,6.79,6.79,-3.16,-3.16,1438100000000,1500700000000,34130.6,32346.74,13.61,13.61,17.28,18.49
Krieger Republics,48,48,75.33,75.33,5,5,8.85,8.85,33.79,33.58,38.75,38.75,330.47,638.06,57,57,96.75,96.75,-6.48,-11.92,-3.17,-3.1,-1.41,-1.41,2026.9,1956.72,881.26,1105.97,15593,18115.86,2555.65,2467.17,1406.49,1488.81,-11.75,-11.75,2996.28,2892.55,-3.46,-3.46,3436.91,3317.92,3436.91,3317.92,-5.66,-5.66,-8.72,-8.72,2820.03,2722.4,2555.65,2467.17,9.95,10.1,-3.16,-3.16,991.42,957.09,2533.62,2445.91,991.42,957.09,7.95,7.95,11.3,11.3,8.23,8.23,27.06,27.06,10.13,10.13,30.81,30.81,46.97,46.97,1,1,50,50,98,108,56.03,56.03,44.9,44.9,68.46,68.66,24.61,24.61,2533.62,2445.91,40.49,40.49,70,70,17.49,16.75,88.32,88.94,27.02,27.02,91.28,91.28,898.55,898.55,-8,-8,64,64,71.97,71.87,881.26,850.75,307.1,361.58,0.44,0.44,60.25,60.53,9.89,9.82,32.47,32.47,512.54,612.76,4.36,3.3,30.39,30.39,57.65,57.71,-54.77,-54.77,53.85,53.85,104.46,104.46,53461.59,55378.7,16224.66,16806.47,143638,148789,881.26,850.75,11.44,11.44,-6.32,-6.32,800000000,900000000,44105.81,46130.46,16.04,16.04,28.17,31.71
Cosmo Kramerica,49.09,49.09,100.02,100.02,56.53,56.53,1.37,1.37,22.36,22.34,15.98,15.98,1229.18,1480.39,56.18,56.18,61,61,15057.42,12154.82,2212.52,2243.97,-2.65,-2.65,430.21,436.33,-4.84,-4.84,-10.77,-10.77,20957.47,21255.35,-12.85,-12.85,-4.74,-4.74,-13.42,-13.42,21203.31,21504.68,5592.76,5672.25,-5.48,-5.48,-15.78,-15.78,4117.74,4176.27,-10.08,-10.08,36014.89,33410.16,20.59,20.66,-16.12,-16.12,6222.71,6311.16,7144.59,7246.14,5377.65,5454.08,239.44,239.44,73.09,73.09,0.49,0.49,40.65,40.65,57.64,57.64,1.21,1.21,49.36,49.36,7.03,7.03,31.88,31.88,159,169,77.17,77.17,121.64,121.64,90.36,90.37,9.44,9.44,7912.83,8025.3,5.65,5.65,30.67,30.67,54.8,56.56,-0.61,-3.61,5.84,5.84,92.87,92.87,841.38,841.38,-8,-8,74,74,53.87,53.4,-17.61,-17.61,1148.2,1156,1.19,1.19,10.12,10.24,9.27,9.27,16.68,16.68,1376.56,1437.9,1.04,1.02,45.56,45.56,88.03,88.04,-115.39,-115.39,113.54,113.54,60.89,60.89,102144.62,100713.57,86560.37,85347.65,118431,116772,4686.24,4752.85,2.04,2.04,-16.73,-16.73,4306100000000,4266100000000,46169.37,43709.69,21.02,21.02,43.38,45.8
State Peace and Development Council,67.43,67.43,68.89,68.89,60,60,1.39,1.39,21.11,21.11,46.76,46.76,7541.64,7847.65,39.86,39.86,137.25,137.25,-9.7,-13.93,-6.57,-6.57,-6.15,-6.15,-9.3,-9.3,-12.9,-12.59,-11.38,-11.38,-14.83,-14.83,-18.04,-18.04,-3,-3,-14.63,-14.63,-17.44,-17.44,-9.95,-9.95,-7.35,-7.35,-20.35,-20.35,-4.08,-4.08,-15.18,-15.18,0,0,20.98,21.05,4103.54,4089.62,13086.97,13042.58,2550.85,2542.2,2218.13,2210.61,1052.22,1052.22,71.75,71.75,18.02,18.02,26.73,26.73,51.49,51.49,1.35,1.35,52.64,52.64,8.06,8.06,52.44,52.44,301,311,76.11,76.11,106.96,106.96,91,91,10.55,10.55,2661.76,2652.73,111.44,111.44,32.33,32.33,68.1,67.97,-29.57,-29.65,1.16,1.16,93.63,93.63,656.13,656.13,-8,-8,77,77,49.3,49.15,554.53,552.65,1256.7,1262.91,0.22,0.22,189.14,189.64,8.97,8.98,13.26,13.26,1913.36,1969.88,0.81,0.8,44.45,44.45,68.48,68.48,-69.07,-69.07,53.67,53.67,108.14,108.14,48798.86,48964.93,40948.96,41088.32,57074,57268,9094.33,9063.49,2.07,2.07,776.35,773.71,335400000000,336600000000,15566.84,15668.78,12.79,12.79,83.72,86.79
