Nation,s0,f0,s1,f1,s2,f2,s4,f4,s5,f5,s6,f6,s7,f7,s8,f8,s9,f9,s10,f10,s11,f11,s12,f12,s13,f13,s14,f14,s15,f15,s16,f16,s17,f17,s18,f18,s19,f19,s20,f20,s21,f21,s22,f22,s23,f23,s24,f24,s25,f25,s26,f26,s27,f27,s28,f28,s29,f29,s30,f30,s31,f31,s32,f32,s33,f33,s34,f34,s35,f35,s36,f36,s37,f37,s38,f38,s39,f39,s40,f40,s41,f41,s42,f42,s43,f43,s44,f44,s45,f45,s46,f46,s47,f47,s48,f48,s49,f49,s50,f50,s51,f51,s52,f52,s53,f53,s54,f54,s55,f55,s56,f56,s57,f57,s58,f58,s59,f59,s60,f60,s61,f61,s62,f62,s63,f63,s64,f64,s67,f67,s68,f68,s69,f69,s70,f70,s71,f71,s72,f72,s73,f73,s74,f74,s75,f75,s77,f77,s78,f78,s79,f79,s85,f85,s87,f87,s88,f88
Bahamian Islands,35.67,35.67,46,46,6,6,2.73,2.73,29.62,29.55,43,43,230.28,441.03,66.25,66.25,76.5,76.5,3500.3,3351.83,656.46,846.78,2149.31,2058.14,1289.59,1234.88,1412.4,1528.9,1109.66,-4.73,3131.85,2999,1804.19,2352.16,3561.71,3410.63,3193.26,3057.81,2886.22,2763.79,-6.84,-6.84,429.86,411.63,-6.78,-6.78,3653.83,3498.84,1517.58,1453.2,8781.46,8408.97,12.04,12.17,1228.18,1176.08,1304.94,1249.58,1151.42,1102.57,307.04,294.02,1195.14,1195.14,36.57,36.57,16.29,16.29,19.02,19.02,15.07,15.07,27.7,27.7,53.09,53.09,2.52,2.52,53.38,53.38,104,114,62.65,62.65,75.03,75.03,73.51,73.62,23.48,23.48,1074.65,1029.07,79.35,79.35,41.5,41.5,25.3,23.75,70.27,71.97,24.66,24.66,91.43,91.43,2187.16,2187.16,-4,-4,67,67,65.03,64.9,614.09,588.04,761.19,967.06,0.28,0.28,171.24,171.72,9.97,9.9,12.62,12.62,475.95,591.8,1.78,1.57,31.52,31.52,53.36,53.4,18.71,18.71,56.12,56.12,103.37,103.37,48213.48,50348.7,28184.49,29432.7,77072,80486,1304.94,1249.58,2.97,2.97,383.81,367.52,59300000000,63100000000,36015.47,38416.06,12.22,12.22,15.34,15.94
Zae Doradoria,57.33,57.33,34,34,57.33,57.33,2.1,2.1,32.76,32.59,42,42,283.6,599.58,50,50,112.5,112.5,-7.07,-7.07,-6.21,-5.66,-7.07,-7.07,-4.47,-4.47,1134.4,1438.99,3562.03,-2,-7.07,-7.07,472.67,499.65,-5.48,-5.48,756.27,799.44,3025.08,3197.75,1134.4,1199.16,-4.47,-4.47,2268.81,2398.31,756.27,799.44,5811.05,6142.74,0,0,9.49,9.64,850.8,899.37,850.8,899.37,1134.4,1199.16,567.2,599.58,119.98,119.98,47.61,47.61,12,12,40.55,40.55,22.38,22.38,20.74,20.74,50,50,1,1,50,50,100,110,58.73,58.73,72.03,72.03,69.46,69.65,6.39,6.39,1134.4,1199.16,76.29,76.29,32.5,32.5,27.71,31.46,73.46,70.69,3.24,3.24,93.2,93.2,761.07,761.07,0,0,64,64,61.86,58.48,756.27,799.44,509.38,584.89,0.3,0.3,126.07,126.48,9.9,9.99,17.16,17.16,509.42,606.97,2.33,2.1,48.61,48.61,48.92,48.98,-43.59,-43.59,-24.49,-24.49,100.2,100.2,30075.95,28566.95,20275.08,19257.82,42584,40447,756.27,799.44,7.22,7.22,94.53,99.93,60900000000,71400000000,21744.91,19568.36,7.09,7.09,9.49,9.33
Cosmo Kramerica,48.61,48.61,100.01,100.01,56.53,56.53,1.38,1.38,22.49,22.48,15.98,15.98,149.37,373.02,56.55,56.55,61,61,15116.13,15100.04,2724.49,2721.59,233.02,232.77,1087.41,1086.25,-3.3,-3.3,-5.44,-8.34,20851.89,20829.7,-12.37,-12.37,44.81,44.76,-8,-8,24078.26,24052.64,6058.4,6051.95,-3.74,-3.74,-12.77,-12.77,4624.46,4619.54,-8.23,-8.23,36201.03,36162.51,20.12,20.2,-16.12,-16.12,5900.07,5893.79,6945.65,6938.26,5003.86,4998.53,239.44,239.44,72.42,72.42,0.49,0.49,39.98,39.98,58.06,58.06,1.2,1.2,49.36,49.36,7.03,7.03,31.88,31.88,113,123,77.14,77.14,121.82,121.82,90.3,90.31,9.27,9.27,7692.5,7684.31,5.64,5.64,31.5,31.5,48.97,49.4,10.67,9.67,5.49,5.49,92.91,92.91,836.9,836.9,-8,-8,74,74,57.48,56.79,-17.61,-17.61,1109.73,1118.19,1.2,1.2,9.53,9.64,9.23,9.26,16.68,16.68,1080.4,1143.41,1.16,1.13,45.73,45.73,88.01,88.02,-117.37,-117.37,119.35,119.35,60.89,60.89,105066.04,105178.06,88600.47,88694.93,122348,122479,4555.75,4550.9,2.04,2.04,-16.73,-16.73,4180500000000,4189700000000,53583.68,53220.1,21.02,21.02,36.41,37.4
State Peace and Development Council,67.05,67.05,65.44,65.44,60,60,1.41,1.41,21.23,21.23,46.76,46.76,5986.64,6296.85,40.43,40.43,135,135,-8.83,-8.83,-5.51,-5.51,-5.16,-5.16,-8.76,-8.76,-13.68,-13.39,-6.57,-9.12,-14.28,-14.28,-17.71,-17.71,133.04,132.57,-9.9,-9.9,-13.71,-13.71,-9.11,-9.11,-6.16,-6.16,-18.11,-18.11,-2.97,-2.97,-14.03,-14.03,0,0,20.49,20.57,4101.96,4087.43,12860.2,12814.65,2549.87,2540.84,1884.68,1878.01,1052.22,1052.22,71.08,71.08,18.02,18.02,25.33,25.33,51.43,51.43,1.35,1.35,52.64,52.64,8.06,8.06,52.44,52.44,255,265,76.1,76.1,107.27,107.27,90.93,90.93,10.06,10.06,2660.73,2651.31,111.27,111.27,33.17,33.17,82.95,83.06,-51.08,-52.08,1.06,1.06,93.67,93.67,653.92,653.92,-8,-8,77,77,49.23,49.04,554.32,552.36,1227.56,1233.81,0.22,0.22,185.8,186.3,8.89,8.94,13.26,13.26,1645.41,1701.58,0.86,0.85,44.94,44.94,67.35,67.35,-68.48,-68.48,57.97,57.97,108.14,108.14,46695.83,46861.84,38990.63,39129.25,54854,55049,9090.83,9058.63,2.07,2.07,776.05,773.3,318100000000,319500000000,7984.99,7919.65,12.81,12.81,74.68,75.84
Ugg Lands,68.6,68.6,64,64,65,65,1.31,1.31,20.62,20.62,44.28,44.28,11342.14,11557.02,38.1,38.1,139.5,139.5,-23.28,-23.28,-13.02,-13.02,-15.3,-15.3,-12.3,-12.3,-18.94,-18.73,-9.84,-11.7,-16.97,-16.97,-22.78,-22.78,-19.75,-19.75,-18.22,-18.22,-21.73,-21.73,-17.15,-17.15,-16.79,-16.79,-23.39,-23.39,-8.63,-8.63,-24.56,-24.56,0,0,28.44,28.5,5907.36,5896.44,12051.02,12028.74,6852.54,6839.87,2047.89,2044.1,74.94,74.94,76.09,76.09,15.9,15.9,25.75,25.75,82.77,82.77,0.9,0.9,53.51,53.51,9.3,9.3,51.96,51.96,406,416,87.96,87.96,119.57,119.57,91.29,91.29,14.5,14.5,7010.07,6997.11,100.84,100.84,27,27,78.56,78.63,-133.27,-133.95,4.49,4.49,93.02,93.02,648.36,648.36,-2,-2,108,108,44.05,43.94,866.41,864.81,1445.19,1449.9,0.18,0.18,160.34,160.8,8.15,8.19,17.42,17.42,2975.89,3025.03,0.59,0.59,40.5,40.5,70.59,70.6,-150.3,-150.3,98.75,98.75,106.84,106.84,63720.76,63838.8,55161.26,55263.44,72499,72633,10633.25,10613.59,1.82,1.82,1575.3,1572.38,726400000000,727900000000,13636.24,13661.5,17.47,17.47,134.53,134.75
Turmissia,77.56,77.56,19.25,19.25,75.33,75.33,1.51,1.51,34.23,34.07,39.43,39.43,391.71,619.05,24.67,24.67,171,171,1775.76,1870.89,2208.21,2575.23,-5.1,-5.1,-7.87,-7.87,-6.93,-6.48,2811.97,-2.19,611.07,643.81,1566.85,1650.79,626.74,660.32,208.91,220.11,-8.49,-8.49,-9.33,-9.33,470.05,495.24,-3.46,-3.46,2533.07,2668.77,-9.88,-9.88,2386.83,2514.7,11.96,12.08,130.57,137.57,783.42,825.39,1044.56,1100.53,261.14,275.13,1078.45,1078.45,66.31,66.31,13,13,40.03,40.03,33.47,33.47,2.54,2.54,47.8,47.8,1,1,52.44,52.44,102,112,63.65,63.65,103.02,103.02,68.08,68.21,26.58,26.58,1566.85,1650.79,40.37,40.37,-80.75,-80.75,41.3,45.62,52.46,49.48,0.75,0.75,93.97,93.97,482.86,482.86,-8,-8,67,67,77.27,77.16,718.14,756.61,714.62,792.62,0.56,0.56,268.9,269.5,9.66,9.77,13.14,13.14,535.02,625.92,1.85,1.74,28.42,28.42,45.87,45.92,35.36,35.36,-50.5,-50.5,105.5,105.5,24456.91,23259.6,19681.12,18717.62,29681,28228,718.14,756.61,2.81,2.81,195.86,206.35,3600000000,4300000000,14356.21,12653.22,14.96,14.96,13.46,13.06
Birwood,65.83,65.83,2.5,2.5,68.67,68.67,1.05,1.05,37.02,36.72,45.34,45.34,195.95,263.76,42.25,42.25,130.5,130.5,487.69,492.36,480.73,485.33,-9.17,-9.17,-6.78,-6.78,-7.62,-7.21,3011.16,2767.42,-8,-8,-10.21,-9.64,26.13,26.38,-10.2,-10.2,487.69,492.36,-7.28,-7.28,139.34,140.67,-3.74,-3.74,-10.39,-10.39,167.21,168.81,487.69,492.36,14.59,14.7,674.93,681.39,457.21,461.59,500.76,505.55,195.95,197.82,177.35,177.35,94.86,94.86,16.29,16.29,21.29,21.29,30.49,30.49,3.63,3.63,53.09,53.09,1,1,51.48,51.48,101,111,69.18,69.18,104.98,104.98,66.05,66.24,23.01,23.01,500.76,505.55,77.36,77.36,-97.5,-97.5,52.7,54.2,27.33,25.71,1.16,1.16,93.63,93.63,857.07,857.07,-8,-8,64,64,75.27,75.16,304.81,307.73,953.35,1013.5,0.3,0.3,251.62,252.2,9.2,9.24,16.91,16.91,549.78,637.99,1.58,1.51,31.99,31.99,42.88,42.94,-59.16,-59.16,-26.46,-26.46,109.39,109.39,10855.18,10752.45,10558.15,10458.23,11130,11024,609.62,615.45,2.35,2.35,239.49,241.78,400000000,500000000,5134.5,4924.62,12.39,12.39,8.8,9.16
Nikolia,62.67,62.67,97.7,97.7,77.05,77.05,1.5,1.5,19.77,19.77,38.75,38.75,10734.56,11004.62,46,46,157.5,157.5,-18.49,-18.49,-11.73,-11.73,-12.74,-12.74,-12.54,-12.54,-18.38,-18.17,-10.24,-12.03,-17.38,-17.38,-23.75,-23.75,-13.86,-13.86,-21.49,-21.49,-21.26,-21.26,-16.49,-16.49,-15.56,-15.56,-21.52,-21.52,5099.21,5089.93,-7.83,-7.83,0,0,27.29,27.35,4545.26,4536.99,14506.16,14479.76,6092.59,6081.5,6769.54,6757.22,1698.53,1698.53,66.6,66.6,15.09,15.09,37.91,37.91,68.5,68.5,1.04,1.04,56.34,56.34,12.67,12.67,54.76,54.76,384,394,75.06,75.06,118.21,118.21,91.85,91.85,14.04,14.04,7253.08,7239.88,97.89,97.89,38.88,38.88,89.88,90,-131.67,-132.67,3.98,3.98,93.09,93.09,476.63,476.63,8,8,105,105,47.68,47.52,2320.99,2316.76,1333.24,1338.56,0.19,0.19,45.64,45.88,7.52,7.56,10.52,10.52,2460.32,2511.51,0.7,0.7,40.96,40.96,89.74,89.74,-125.63,-125.63,73.29,73.29,104.81,104.81,79486.03,79630.96,64112.8,64229.7,96268,96444,10831.27,10811.55,2.1,2.1,1740.74,1737.57,934300000000,936500000000,8028.09,7963.1,13.78,13.78,132.36,132.58
Czechmate,71.5,71.5,65.83,65.83,70.67,70.67,3.59,3.59,30.81,30.68,44.28,44.28,-6.32,-3.16,33.75,33.75,150.75,150.75,-2.83,-2.83,4662.29,5352.36,4987.53,4880.16,6392.47,6254.85,5268.52,5361.3,-3.58,-8.17,5830.49,5704.97,3283.34,4793.55,702.47,687.35,4636.29,4536.48,3582.59,3505.47,295.04,288.69,2880.12,2818.12,70.25,68.73,-6.16,-6.16,4873.22,4768.31,10818.02,10585.13,7.87,7.87,790.28,773.26,790.28,773.26,0,0,439.04,429.59,8.94,8.94,27.84,27.84,15.51,15.51,52.46,52.46,30.92,30.92,3.31,3.31,51.62,51.62,2.52,2.52,51.48,51.48,105,115,57.09,57.09,59.74,59.74,71.78,71.95,11.07,11.07,1931.79,1890.2,27.32,27.32,49.75,49.75,7.97,7.72,106.63,108.13,0.82,0.82,93.8,93.8,384.14,384.14,-8,-8,64,64,69.73,69.65,87.81,85.92,408.99,483.85,1.27,1.27,217.56,218.1,12.46,12.77,26.89,26.89,414.73,565.66,2.85,2.43,43.93,43.93,55.9,55.95,-52.44,-52.44,99.25,99.25,104.81,104.81,59301.21,60602.12,29871.88,30527.19,107296,109649,1317.13,1288.77,10.01,10.01,-13.78,-13.78,1216000000000,1232100000000,54557.12,55935.76,13.21,13.21,15.36,16.63
Caffeinneburg,58.67,58.67,74.57,74.57,31.81,31.81,1.31,1.31,20.5,20.5,40.78,40.78,8313.94,8623.28,49,49,192.75,192.75,-29.22,-29.22,-21.98,-21.98,-20.35,-20.35,-22.1,-22.1,-22.4,-22.23,-15.15,-16.42,-27.2,-27.2,-27.44,-27.44,-26.7,-26.7,-26.91,-26.91,-20.35,-20.35,-20.12,-20.12,-23.11,-23.11,-32.83,-32.83,-23.53,-23.53,-34.86,-34.86,21.59,21.66,1235.86,1231.9,11010.35,10975.08,5842.23,5823.51,-10.95,-10.95,3.19,3.19,76.2,76.2,0.82,0.82,19.77,19.77,72.77,72.77,0.99,0.99,61.07,61.07,11.08,11.08,32.53,32.53,523,533,87.49,87.49,109.3,109.3,91.36,91.37,15.36,15.36,20447.8,20382.3,5.5,5.5,26.86,26.86,28.23,28.49,47.21,46.53,5.68,5.68,92.88,92.88,992.57,992.57,4,4,109,109,54.92,54.57,-18.44,-18.44,1513.91,1518.34,7.9,7.9,100.77,101.13,5.59,5.62,90.7,90.7,3567.28,3614.62,0.54,0.54,39.64,39.64,73.28,73.28,-30.19,-30.19,-174.78,-174.78,78.21,78.21,52355.35,52523.61,45359.75,45505.53,59524,59715,5505.18,5487.54,1.83,1.83,-16.12,-16.12,893600000000,897600000000,37591.14,37554.38,16.8,16.8,139.96,140.17
