Nation,s0,f0,s1,f1,s2,f2,s4,f4,s5,f5,s6,f6,s7,f7,s8,f8,s9,f9,s10,f10,s11,f11,s12,f12,s13,f13,s14,f14,s15,f15,s16,f16,s17,f17,s18,f18,s19,f19,s20,f20,s21,f21,s22,f22,s23,f23,s24,f24,s25,f25,s26,f26,s27,f27,s28,f28,s29,f29,s30,f30,s31,f31,s32,f32,s33,f33,s34,f34,s35,f35,s36,f36,s37,f37,s38,f38,s39,f39,s40,f40,s41,f41,s42,f42,s43,f43,s44,f44,s45,f45,s46,f46,s47,f47,s48,f48,s49,f49,s50,f50,s51,f51,s52,f52,s53,f53,s54,f54,s55,f55,s56,f56,s57,f57,s58,f58,s59,f59,s60,f60,s61,f61,s62,f62,s63,f63,s64,f64,s67,f67,s68,f68,s69,f69,s70,f70,s71,f71,s72,f72,s73,f73,s74,f74,s75,f75,s77,f77,s78,f78,s79,f79,s85,f85,s87,f87,s88,f88
Zions Thris 2,54.67,54.67,21,21,72,72,1.56,1.56,30.57,30.57,45.83,45.83,553.71,553.71,52,52,108,108,-4.9,-4.9,-4.38,-4.38,1248.36,1248.36,-6.63,-6.63,2657.79,2657.79,-2.37,-2.37,84.57,84.57,3004.91,3004.91,1268.49,1268.49,-6.63,-6.63,724.85,724.85,-8.38,-8.38,724.85,724.85,523.5,523.5,-4.1,-4.1,773.17,773.17,1332.92,1332.92,16.73,16.73,1963.14,1963.14,1157.75,1157.75,1258.42,1258.42,755.05,755.05,1229.34,1229.34,64.21,64.21,18.02,18.02,37.62,37.62,28.34,28.34,9.67,9.67,48.6,48.6,1,1,53.38,53.38,104,104,69.9,69.9,105.9,105.9,72.11,72.11,16.63,16.63,1459.77,1459.77,90.44,90.44,-79,-79,57.33,57.33,14.12,14.12,0.82,0.82,93.8,93.8,729.6,729.6,-8,-8,67,67,76.94,76.94,805.39,805.39,1059.58,1059.58,0.27,0.27,216.68,216.68,9.81,9.81,12.47,12.47,556.94,556.94,1.34,1.34,38.37,38.37,48.55,48.55,63.25,63.25,-30,-30,110,110,32735.1,32735.1,25894.93,25894.93,40331,40331,1308.76,1308.76,2.31,2.31,654.38,654.38,8700000000,8800000000,13977.89,13977.89,15.72,15.72,10.5,10.5
Grand Brittania,23,23,72.89,72.89,66.67,66.67,8.22,8.22,32.39,32.21,43,43,184.04,447.09,77,77,51.75,51.75,1693.12,1645.3,2645.32,3261.99,3533.48,3433.67,6404.42,6223.52,3754.32,3862.88,500.94,1487.92,4564.07,4435.16,3965.59,5186.27,-2.45,-2.45,6109.97,2360.65,2797.33,2718.32,6478.04,6295.06,5373.83,5222.04,588.91,572.28,-3.13,-3.13,-4.1,-4.1,9790.67,9514.12,8.94,9.11,276.05,268.26,920.18,894.18,1380.26,1341.28,368.07,357.67,7.94,7.94,12.17,12.17,13,13,64.14,64.14,20.98,20.98,22.34,22.34,50,50,1,1,50,50,98,108,56.74,56.74,62.32,62.32,69.86,70.06,18.69,18.69,1380.26,1341.28,67.39,67.39,68.33,68.33,8.75,8.6,104.84,105.69,1.51,1.51,93.52,93.52,607.64,607.64,-4,-4,64,64,72.28,72.19,644.12,625.93,409.48,546.1,0.31,0.31,27.73,27.92,13.21,12.12,32.57,32.57,461.74,595.57,2.84,2.21,36.31,36.31,57.35,57.42,-66.71,-66.71,96.18,96.18,103,103,62357.74,64170.26,19751.79,20325.9,162324,167042,644.12,625.93,10.51,10.51,-3.16,-3.16,2300000000,2700000000,56870.26,58651.62,14.48,14.48,20.3,23.42
Tinell,75.83,75.83,20,20,75.33,75.33,1.39,1.39,30.84,30.73,44.83,44.83,273.89,420.22,27.25,27.25,164.25,164.25,474.75,485.58,-5.93,-5.93,2227.67,2278.5,409.02,418.35,949.5,1083.22,2220.37,2271.03,1424.25,1456.75,3046.44,3174.96,967.76,989.84,2483.31,672.34,2665.91,2726.73,2282.45,2334.53,474.75,485.58,2300.71,2353.21,-3.55,-3.55,825.34,844.17,4126.68,4220.83,14.21,14.32,1552.07,1587.48,821.68,840.43,456.49,466.91,593.44,606.98,1207.99,1207.99,72.01,72.01,17.36,17.36,36.73,36.73,34.02,34.02,2.44,2.44,51.62,51.62,1,1,53.38,53.38,110,120,67.26,67.26,100.63,100.63,71.73,71.88,26.86,26.86,821.68,840.43,65.1,65.1,-84,-84,35.16,37.19,47.97,45.15,0.76,0.76,93.94,93.94,526,526,-8,-8,67,67,76.64,76.53,502.14,513.6,896.23,991.36,0.43,0.43,244.73,245.3,9.78,9.79,12.56,12.56,572.42,666.01,1.63,1.55,28.14,28.14,48.14,48.19,61.07,61.07,48.68,48.68,108.45,108.45,34510.7,33741.63,29016.46,28369.83,40293,39395,958.63,980.5,2.46,2.46,365.19,373.52,109800000000,108900000000,22362.93,21189.75,12.68,12.68,11.72,12.64
Zions Thris 3,54.67,54.67,15.5,15.5,72,72,1.38,1.38,30.95,30.95,47.2,47.2,535.53,535.53,52,52,108,108,1927.9,1927.9,2497.09,2497.09,2233.92,2233.92,1162.86,1162.86,1499.48,1499.48,1126.14,1126.14,1040.46,1040.46,-5.74,-5.74,-2.45,-2.45,-4.9,-4.9,1315.87,1315.87,-7.56,-7.56,-3.74,-3.74,1774.89,1774.89,1698.39,1698.39,587.55,587.55,5202.28,5202.28,16.88,16.88,1644.84,1644.84,879.8,879.8,803.29,803.29,573.78,573.78,1229.34,1229.34,72.42,72.42,18.96,18.96,32.99,32.99,31.49,31.49,3.07,3.07,49.36,49.36,1,1,53.38,53.38,112,112,70.54,70.54,104.92,104.92,71.6,71.6,18.47,18.47,879.8,879.8,103.92,103.92,-84.5,-84.5,48.41,48.41,21.18,21.18,0.82,0.82,93.8,93.8,779.36,779.36,-8,-8,69,69,76.42,76.42,612.03,612.03,1072.97,1072.97,0.27,0.27,217.54,217.54,9.63,9.63,12.47,12.47,633.34,633.34,1.29,1.29,36.53,36.53,47.27,47.27,46.9,46.9,71.41,71.41,110,110,32827.89,32827.89,27683.22,27683.22,38228,38228,994.55,994.55,2.28,2.28,803.29,803.29,11100000000,11300000000,16939.19,16939.19,14.88,14.88,12.84,12.84
Cosmo Kramerica,49.09,49.09,100.02,100.02,56.53,56.53,1.38,1.38,22.43,22.41,15.98,15.98,843.1,1071.84,56.18,56.18,61,61,15145.22,15128.25,2354.56,2351.92,-2.05,-2.05,600.9,600.23,-4.5,-4.5,-10.7,-10.7,21031.62,21008.05,-12.73,-12.73,-3.67,-3.67,-8.72,-13.27,21276.89,21253.05,5739.24,5732.81,-5.1,-5.1,-14.66,-14.66,4267.64,4262.86,-9.62,-9.62,36176.84,36136.3,20.42,20.49,-16.12,-16.12,6055.02,6048.24,7128.06,7120.08,5365.21,5359.2,239.44,239.44,72.69,72.69,0.49,0.49,40.94,40.94,57.76,57.76,1.21,1.21,49.36,49.36,7.03,7.03,31.88,31.88,143,153,77.15,77.15,121.62,121.62,90.33,90.34,9.27,9.27,7894.52,7885.68,5.64,5.64,31.17,31.17,53.32,53.76,2.46,1.46,5.84,5.84,92.87,92.87,836.61,836.61,-8,-8,74,74,54.75,54.38,-17.61,-17.61,1135.01,1143.62,1.19,1.19,9.97,10.08,9.28,9.28,16.68,16.68,1273.33,1339.87,1.08,1.05,45.73,45.73,88.02,88.03,-116.12,-116.12,115.03,115.03,60.89,60.89,102377.4,102492.36,86502.96,86600.09,119010,119144,4675.4,4670.16,2.04,2.04,-16.73,-16.73,4118800000000,4129300000000,47810.24,47351.47,21.02,21.02,40.28,42.75
State Peace and Development Council,67.43,67.43,69.22,69.22,60,60,1.4,1.4,21.15,21.15,46.76,46.76,7051.48,7361.75,39.86,39.86,137.25,137.25,-9.49,-9.49,-6.32,-6.32,-5.92,-5.92,-9.17,-9.17,-13.1,-12.8,-11.31,-11.31,-14.7,-14.7,-17.96,-17.96,0,0,-10.49,-14.49,-17.32,-17.32,-9.75,-9.75,-7.07,-7.07,-19.49,-19.49,-3.83,-3.83,-14.89,-14.89,0,0,20.78,20.86,4141.35,4127.04,12983.68,12938.83,2574.35,2565.46,2238.57,2230.83,1052.22,1052.22,71.35,71.35,18.02,18.02,26.91,26.91,51.5,51.5,1.35,1.35,52.64,52.64,8.06,8.06,52.44,52.44,285,295,76.09,76.09,106.93,106.93,90.98,90.98,10.38,10.38,2686.28,2677,111.38,111.38,32.83,32.83,68.32,68.18,-28.82,-28.9,1.16,1.16,93.63,93.63,651.92,651.92,-8,-8,77,77,49.52,49.37,559.64,557.71,1246.38,1253.08,0.22,0.22,188.47,188.97,8.98,8.99,13.26,13.26,1818.93,1879.69,0.83,0.82,44.62,44.62,68.48,68.48,-68.92,-68.92,54.77,54.77,108.14,108.14,48353.01,48520.61,40454.55,40594.77,56701,56898,9178.12,9146.41,2.07,2.07,783.5,780.79,324700000000,325800000000,15327.9,15429.55,12.79,12.79,78.74,81.94
Ugg Lands,68.87,68.87,67.81,67.81,65,65,1.31,1.31,20.52,20.51,44.28,44.28,12330.79,12549.66,37.7,37.7,141.75,141.75,-23.54,-23.54,-13.39,-13.39,-15.68,-15.68,-12.59,-12.59,-18.53,-18.31,-13.48,-13.48,-17.32,-17.32,-22.98,-22.98,-20.05,-20.05,-18.55,-21.07,-24.17,-24.17,-17.49,-17.49,-17.15,-17.15,-24.47,-24.47,-8.96,-8.96,-25.06,-25.06,0,0,28.65,28.71,6044.5,6033.49,12330.79,12308.32,7011.63,6998.85,2337.21,2332.95,74.94,74.94,76.32,76.32,15.9,15.9,27.17,27.17,82.81,82.81,0.9,0.9,53.51,53.51,9.3,9.3,51.96,51.96,436,446,87.95,87.95,119.36,119.36,91.35,91.36,14.74,14.74,7172.81,7159.74,100.92,100.92,26.71,26.71,78.29,78.25,-133.13,-133.21,4.8,4.8,92.99,92.99,647.4,647.4,-2,-2,108,108,43.66,43.56,886.53,884.91,1459.47,1464.62,0.18,0.18,162.82,163.28,8.23,8.23,17.42,17.42,3128.46,3182.38,0.58,0.58,40.26,40.26,71.95,71.95,-151.18,-151.18,96.82,96.82,106.84,106.84,66167.18,66287.95,57373.1,57477.83,75172,75310,10880.11,10860.28,1.82,1.82,1611.87,1608.93,761500000000,762700000000,14358.28,14450.77,17.45,17.45,135.44,136.02
Turmissia,72.83,72.83,22.83,22.83,75.33,75.33,1.4,1.4,32.68,32.53,39.43,39.43,1208.39,1442.83,31.75,31.75,155.25,155.25,1804.53,1795.52,2552.13,2539.38,-6.16,-6.16,-8.6,-8.6,-6,-5.69,-7.04,-7.04,251.35,250.09,1450.07,1442.83,580.03,577.13,-2,-10.2,-13.56,-13.56,-9.95,-9.95,193.34,192.38,-8,-8,2739.03,2725.34,-10.65,-10.65,2055.88,2045.61,12.45,12.57,161.12,160.31,966.71,961.89,1288.95,1282.52,563.92,561.1,1078.45,1078.45,71.35,71.35,13,13,44.09,44.09,32.01,32.01,2.9,2.9,47.8,47.8,1,1,52.44,52.44,132,142,64.1,64.1,103.38,103.38,69.55,69.72,23,23,1933.43,1923.77,45.68,45.68,-77.17,-77.17,54.89,55.54,43.1,42.1,0.76,0.76,93.94,93.94,508.52,508.52,-8,-8,67,67,77.04,76.94,886.16,881.73,998.1,1025.02,0.43,0.43,224.53,225.08,9.88,9.88,13.14,13.14,787.95,866,1.54,1.47,32,32,47.03,47.08,35.36,35.36,-56.12,-56.12,105.5,105.5,23170.86,23295.61,19385.9,19490.27,27171,27318,886.16,881.73,2.75,2.75,241.68,240.47,360300000000,370200000000,10450.06,10366.54,15.14,15.14,14.91,16.09
Etruriia,53,53,27.67,27.67,65.33,65.33,1.84,1.84,32.38,32.21,43,43,326.03,507.45,53.25,53.25,105.75,105.75,260.82,253.73,786.38,913.41,782.46,761.18,-7.21,-7.21,-7.48,-7.07,2880.77,4465.58,3860.15,3755.15,-8.35,-7.25,0,0,2869.03,253.73,2608.21,2537.26,2008.32,1953.69,2347.39,2283.54,-7.07,-7.07,1460.6,1420.87,1606.27,1562.58,4903.43,4770.06,10.77,10.91,391.23,380.59,847.67,824.61,1108.49,1078.34,521.64,507.45,32.69,32.69,54.26,54.26,13.62,13.62,40.06,40.06,25.65,25.65,16.21,16.21,51,51,1,1,50.5,50.5,99,109,62.48,62.48,97.32,97.32,69.87,70.06,11.43,11.43,1238.9,1205.2,55.49,55.49,27.67,27.67,24,23.46,72.41,72.73,1.81,1.81,93.45,93.45,770.95,770.95,-8,-8,64,64,57.43,56.96,652.05,634.32,719.88,892.05,0.34,0.34,180.18,180.67,9.64,9.5,17.79,17.79,501.41,611.62,1.84,1.64,43.57,43.57,48.51,48.58,58.31,58.31,-43.59,-43.59,106.84,106.84,34073.27,35016.4,24636.72,25318.66,45408,46665,652.05,634.32,3,3,130.41,126.86,110500000000,113000000000,25895.68,26787.55,13.84,13.84,10.75,12.53
New Golcondan sultinate,71.6,71.6,52.89,52.89,76.67,76.67,3.23,3.23,32.37,32.22,42,42,-5.48,0,33.6,33.6,150.75,150.75,-4.9,-4.9,-3.35,-3.35,1454.46,1450.22,4605.78,4592.35,4120.96,4350.65,387.85,386.72,2666.5,2658.73,-1.73,-1.73,-6,-6,-2,-10.2,4686.58,4672.92,3232.12,3222.7,-2,-2,-4.9,-4.9,-1.67,-1.67,5978.75,5961.32,4120.96,4108.95,7,7,1111.04,1107.8,606.02,604.26,404.02,402.84,0,0,439.84,439.84,30.97,30.97,13.62,13.62,59.49,59.49,31.69,31.69,3,3,50,50,1,1,50.99,50.99,108,118,57.17,57.17,64.87,64.87,69.89,70.05,15.12,15.12,909.03,906.39,42.81,42.81,46.67,46.67,9.6,9.57,97.53,97.65,0.73,0.73,94.04,94.04,345.97,345.97,-4,-4,64,64,68.34,68.16,202.01,201.42,531.25,606.23,1.19,1.19,101.51,101.88,10.61,10.67,16.07,16.07,554.43,650.71,2.25,2.05,39.88,39.88,52.47,52.53,-66.71,-66.71,79.06,79.06,101.45,101.45,41406.87,41527.9,22111.13,22175.76,71395,71604,707.03,704.97,9.9,9.9,-4.47,-4.47,12100000000,13500000000,37431.81,37541.22,12.79,12.79,11.8,12.69
