Nation,s0,f0,s1,f1,s2,f2,s4,f4,s5,f5,s6,f6,s7,f7,s8,f8,s9,f9,s10,f10,s11,f11,s12,f12,s13,f13,s14,f14,s15,f15,s16,f16,s17,f17,s18,f18,s19,f19,s20,f20,s21,f21,s22,f22,s23,f23,s24,f24,s25,f25,s26,f26,s27,f27,s28,f28,s29,f29,s30,f30,s31,f31,s32,f32,s33,f33,s34,f34,s35,f35,s36,f36,s37,f37,s38,f38,s39,f39,s40,f40,s41,f41,s42,f42,s43,f43,s44,f44,s45,f45,s46,f46,s47,f47,s48,f48,s49,f49,s50,f50,s51,f51,s52,f52,s53,f53,s54,f54,s55,f55,s56,f56,s57,f57,s58,f58,s59,f59,s60,f60,s61,f61,s62,f62,s63,f63,s64,f64,s67,f67,s68,f68,s69,f69,s70,f70,s71,f71,s72,f72,s73,f73,s74,f74,s75,f75,s77,f77,s78,f78,s79,f79,s85,f85,s87,f87,s88,f88
Taiko no Tatsujin 25,46.67,46.67,53.33,53.33,57.33,57.33,3.25,3.25,32.71,32.71,42,42,294.67,294.67,58,58,94.5,94.5,0,0,2133.45,2133.45,1964.5,1964.5,3143.2,3143.2,2750.3,2750.3,1257.28,1257.28,1178.7,1178.7,982.25,982.25,3143.2,3143.2,-4.47,-4.47,-6.32,-6.32,3929,3929,1178.7,1178.7,4321.9,4321.9,-5.48,-5.48,-5.62,-5.62,3143.2,3143.2,9.33,9.33,884.02,884.02,884.02,884.02,1178.7,1178.7,294.67,294.67,119.98,119.98,30.79,30.79,12,12,48.38,48.38,20.95,20.95,22.37,22.37,50,50,1,1,50,50,100,100,57.33,57.33,60.91,60.91,69.52,69.52,4.22,4.22,1178.7,1178.7,79.19,79.19,47,47,18.66,18.66,84.18,84.18,3.24,3.24,93.2,93.2,703.15,703.15,0,0,64,64,67.5,67.5,785.8,785.8,598.36,598.36,0.29,0.29,97.31,97.31,10.93,10.93,17.16,17.16,524.46,524.46,2.07,2.07,50.78,50.78,52.05,52.05,-43.59,-43.59,66.33,66.33,100.2,100.2,42558.89,42558.89,22655.73,22655.73,73571,73571,785.8,785.8,9.66,9.66,98.22,98.22,992300000000,993800000000,34600.38,34600.38,7.42,7.42,12.3,12.3
Shadow Archangels 1,57.33,57.33,57.33,57.33,57.33,57.33,3.61,3.61,32.75,32.59,42,42,281.86,556.17,50,50,112.5,112.5,-4.47,-4.47,450.97,444.93,3758.09,3707.77,1127.43,1112.33,4509.7,4671.8,-7.55,-5.29,3382.28,3337,4836.66,5561.66,3758.09,3707.77,375.81,370.78,-8.37,-13.04,-8.37,-8.37,2254.85,2224.66,4509.7,4449.33,2254.85,2224.66,5801.61,5723.94,7140.36,7044.77,9.33,9.49,845.57,834.25,845.57,834.25,1127.43,1112.33,281.86,278.08,119.98,119.98,27.72,27.72,12,12,49.93,49.93,23.71,23.71,19.06,19.06,50,50,1,1,50,50,100,110,56.72,56.72,57.19,57.19,69.47,69.64,0.56,0.56,1127.43,1112.33,68.81,68.81,50,50,15.14,15.37,88.77,88.31,3.24,3.24,93.2,93.2,610.35,610.35,0,0,64,64,68.35,68.14,751.62,741.55,503.81,575.36,0.34,0.34,126.07,126.48,13.83,13.63,17.16,17.16,524.7,625.16,2.35,2.13,54.44,54.44,52.7,52.76,55.68,55.68,43.59,43.59,100.2,100.2,47824.52,48474.57,24031.23,24357.87,86706,87885,751.62,741.55,10.54,10.54,93.95,92.69,142100000000,144700000000,40603.02,41009.49,7.09,7.09,12.11,13.64
Moglandia,61,61,53.11,53.11,74,74,2.43,2.43,31.12,31.01,45.83,45.83,0,249.72,47.25,47.25,119.25,119.25,-4,-4,4332.76,4554.94,3655.5,3662.6,2060.37,2064.37,2259.76,2463.93,-6.85,-6.2,4054.28,4062.15,6538.68,6825.75,66.46,66.59,4120.74,4128.75,1129.88,-8.12,790.92,792.45,3788.42,3795.78,2126.83,2130.97,3289.95,3296.34,31.9,31.96,7709.77,7724.75,8.19,8.37,913.87,915.65,664.64,665.93,415.4,416.2,-5.48,-5.48,905.7,905.7,41.1,41.1,17.01,17.01,59.21,59.21,30.22,30.22,4.08,4.08,50,50,1,1,51.96,51.96,109,119,61.91,61.91,87.13,87.13,71.37,71.51,9.03,9.03,747.72,749.17,68.05,68.05,52.83,52.83,9.26,9.52,98.91,97.64,0.77,0.77,93.9,93.9,419.91,419.91,-8,-8,67,67,69.21,68.98,166.16,166.48,889.57,982.81,0.38,0.38,79.65,79.97,11.69,11.67,13.93,13.93,576.24,667.6,1.64,1.56,45.97,45.97,52.97,53.02,43.01,43.01,60.42,60.42,104.46,104.46,50100.23,50003.11,31198.4,31137.93,75916,75769,581.56,582.69,3.13,3.13,0,0,5800000000,6400000000,45440.91,45252.82,13.17,13.17,23.34,25.41
Taiko no Tatsujin 24,46.67,46.67,39,39,57.33,57.33,2.34,2.34,32.93,32.93,42,42,273.41,273.41,58,58,94.5,94.5,3280.91,3280.91,1463.65,1463.65,364.55,364.55,4010,4010,-4.47,-4.47,745.49,745.49,0,0,-5.45,-5.45,-5.48,-5.48,4010,4010,-6.32,-6.32,-4.47,-4.47,1458.18,1458.18,2916.36,2916.36,1822.73,1822.73,0,0,3645.45,3645.45,9.33,9.33,820.23,820.23,820.23,820.23,1093.64,1093.64,273.41,273.41,119.98,119.98,42.68,42.68,12,12,42.64,42.64,22.63,22.63,20.43,20.43,50,50,1,1,50,50,100,100,58.52,58.52,69.09,69.09,69.3,69.3,7.81,7.81,1093.64,1093.64,82.64,82.64,36.25,36.25,22.14,22.14,78.91,78.91,3.24,3.24,93.2,93.2,800.19,800.19,0,0,64,64,64.57,64.57,729.09,729.09,588.45,588.45,0.28,0.28,97.31,97.31,9.82,9.82,17.16,17.16,501.41,501.41,2.09,2.09,47.19,47.19,49.75,49.75,-73.48,-73.48,76.81,76.81,100.2,100.2,34970.82,34970.82,22226.48,22226.48,52077,52077,729.09,729.09,7.64,7.64,91.14,91.14,2174400000000,2177800000000,27242.27,27242.27,7.42,7.42,10.23,10.23
Shadow Archangels 2,57.33,57.33,57.33,57.33,57.33,57.33,3.61,3.61,32.83,32.67,42,42,308.55,606.55,50,50,112.5,112.5,2468.43,2426.21,-5.67,-4.9,4525.46,4448.06,3291.25,3234.95,822.81,1051.36,3854.87,6469.9,1234.22,1213.11,1884.24,2527.31,411.41,404.37,4114.06,4043.69,4114.06,0,-5.48,-5.48,1645.62,1617.48,-7.07,-7.07,1645.62,1617.48,1316.5,1293.98,8228.11,8087.38,9.33,9.49,925.66,909.83,925.66,909.83,1234.22,1213.11,308.55,303.28,119.98,119.98,27.72,27.72,12,12,49.93,49.93,23.73,23.73,19.03,19.03,50,50,1,1,50,50,100,110,56.72,56.72,57.19,57.19,69.4,69.56,0.56,0.56,1234.22,1213.11,75.92,75.92,50,50,18.8,18.92,84.56,84.16,3.24,3.24,93.2,93.2,610.35,610.35,0,0,64,64,68.1,67.88,822.81,808.74,500.64,602.46,0.33,0.33,126.07,126.48,10.66,9.97,17.16,17.16,480.86,601.36,2.36,2.06,54.44,54.44,52.67,52.73,33.17,33.17,66.33,66.33,100.2,100.2,43699.51,44460.35,21958.46,22340.77,79228,80607,822.81,808.74,10.54,10.54,102.85,101.09,133200000000,135800000000,35484,36057.35,7.09,7.09,13.32,15.59
Taiko no Tatsujin 23,46.67,46.67,39,39,57.33,57.33,2.34,2.34,32.91,32.91,42,42,286.45,286.45,58,58,94.5,94.5,1527.73,1527.73,3175.77,3175.77,3437.39,3437.39,-8.37,-8.37,-4.47,-4.47,4944.12,4944.12,-5.48,-5.48,-3.87,-3.87,0,0,-5.48,-5.48,381.93,381.93,3437.39,3437.39,1145.8,1145.8,-8.94,-8.94,-4.47,-4.47,0,0,4965.12,4965.12,9.33,9.33,859.35,859.35,859.35,859.35,1145.8,1145.8,286.45,286.45,119.98,119.98,42.68,42.68,12,12,42.64,42.64,20.01,20.01,23.36,23.36,50,50,1,1,50,50,100,100,58.52,58.52,69.09,69.09,69.32,69.32,7.81,7.81,1145.8,1145.8,92.36,92.36,36.25,36.25,24.16,24.16,77.23,77.23,3.24,3.24,93.2,93.2,800.19,800.19,0,0,64,64,64.39,64.39,763.87,763.87,592.95,592.95,0.28,0.28,97.31,97.31,9.75,9.75,17.16,17.16,518.77,518.77,2.08,2.08,47.19,47.19,49.76,49.76,87.18,87.18,-55.68,-55.68,100.2,100.2,33430.57,33430.57,21247.54,21247.54,49783,49783,763.87,763.87,7.64,7.64,95.48,95.48,2307800000000,2311400000000,25340.37,25340.37,7.42,7.42,11.99,11.99
Notas 41st puppet,57.33,57.33,64,64,57.33,57.33,4.36,4.36,32.52,32.52,42,42,297.71,297.71,50,50,112.5,112.5,-7.75,-7.75,3360.2,3360.2,-3.16,-3.16,4366.47,4366.47,1508.42,1508.42,-2.83,-2.83,3572.57,3572.57,4338.68,4338.68,793.9,793.9,-7.07,-7.07,396.95,396.95,2778.66,2778.66,1587.81,1587.81,5160.37,5160.37,-3.16,-3.16,6473.92,6473.92,3572.57,3572.57,9.54,9.54,893.14,893.14,893.14,893.14,1389.33,1389.33,297.71,297.71,119.98,119.98,22.94,22.94,12,12,52.47,52.47,23.03,23.03,19.95,19.95,50,50,1,1,50,50,100,100,56.85,56.85,59,59,69.72,69.72,2.22,2.22,1389.33,1389.33,59.49,59.49,55,55,15.61,15.61,88.71,88.71,3.24,3.24,93.2,93.2,570.34,570.34,0,0,64,64,69.26,69.26,793.9,793.9,595.2,595.2,0.34,0.34,125.62,125.62,11.33,11.33,17.16,17.16,526.14,526.14,2.08,2.08,52.78,52.78,53.89,53.89,-80,-80,76.81,76.81,100.2,100.2,50799.54,50799.54,22998.8,22998.8,100250,100250,793.9,793.9,10.35,10.35,99.24,99.24,674500000000,676000000000,42874.82,42874.82,7.37,7.37,15.8,15.8
WNG 1,57.33,57.33,57.33,57.33,50.67,50.67,3.61,3.61,32.64,32.64,42,42,364.4,364.4,50,50,112.5,112.5,-5.48,-5.48,-5.21,-5.21,-7.75,-7.75,3886.96,3886.96,485.87,485.87,2366.19,2366.19,-6.32,-6.32,1739.41,1739.41,1457.61,1457.61,-6.32,-6.32,3401.09,3401.09,4858.7,4858.7,-8.37,-8.37,4858.7,4858.7,-3.16,-3.16,-2,-2,0,0,9.33,9.33,1093.21,1093.21,1093.21,1093.21,1457.61,1457.61,364.4,364.4,119.98,119.98,27.72,27.72,12,12,47.33,47.33,21.65,21.65,21.59,21.59,50,50,1,1,50,50,100,100,56.88,56.88,56.32,56.32,69.59,69.59,2.22,2.22,1457.61,1457.61,69.54,69.54,50,50,26.18,26.18,78.56,78.56,4.64,4.64,93.01,93.01,651.72,651.72,0,0,64,64,67.72,67.72,971.74,971.74,484.99,484.99,0.32,0.32,125.95,125.95,11.5,11.5,17.16,17.16,517.5,517.5,2.42,2.42,52.78,52.78,52.74,52.74,-86.02,-86.02,66.33,66.33,100.2,100.2,37023.3,37023.3,18603.75,18603.75,67124,67124,971.74,971.74,10.32,10.32,121.47,121.47,245500000000,247100000000,27323.19,27323.19,7.09,7.09,13.03,13.03
Shadow Archangels 3,57.33,57.33,57.33,57.33,57.33,57.33,3.61,3.61,32.82,32.66,42,42,303.35,583.73,50,50,112.5,112.5,2426.79,2334.92,2768.57,3268.89,-3.16,-3.16,-7.07,-7.07,2426.79,2568.41,3452.11,5603.81,4044.65,3891.53,-3.54,-2.74,2022.33,1945.77,4449.12,4280.69,2426.79,-6.32,-5.48,-5.48,1617.86,1556.61,5258.05,5058.99,-8.37,-8.37,-3.46,-3.46,6471.45,6226.45,9.33,9.49,910.05,875.6,910.05,875.6,1213.4,1167.46,303.35,291.87,119.98,119.98,27.72,27.72,12,12,49.93,49.93,21.66,21.66,21.58,21.58,50,50,1,1,50,50,100,110,56.72,56.72,57.19,57.19,69.4,69.58,0.56,0.56,1213.4,1167.46,59.66,59.66,50,50,18.1,17.33,85.29,85.91,3.24,3.24,93.2,93.2,610.35,610.35,0,0,64,64,68.14,67.99,808.93,778.31,526.17,645.81,0.34,0.34,126.07,126.48,11.14,10.13,17.16,17.16,486.06,603.42,2.27,1.97,54.44,54.44,52.68,52.73,40,40,-45.83,-45.83,100.2,100.2,44446.71,46192.51,22333.92,23211.16,80582,83747,808.93,778.31,10.54,10.54,101.12,97.29,135900000000,139600000000,36401.86,38201.21,7.09,7.09,13.26,15.36
Ronsanias special account,90,90,60.33,60.33,82,82,4.29,4.29,34.39,34.04,43.68,43.68,-5.48,0,10,10,202.5,202.5,4099.12,3851.62,452.32,637.51,1978.89,1859.4,791.55,743.76,5229.92,5113.36,367.51,1381.27,-6.16,-6.16,3100.49,4399.48,918.77,863.29,5159.24,4847.73,2332.26,-5.83,1872.88,1759.79,4452.5,4183.66,1625.51,1527.37,3957.77,3718.81,7467.93,7017.03,6078.01,5711.02,6.63,6.63,971.77,913.1,530.06,498.05,353.37,332.04,-3.16,-3.16,19.47,19.47,23.28,23.28,14.16,14.16,67.54,67.54,38.39,38.39,1.93,1.93,47.8,47.8,1,1,50.5,50.5,99,109,53.32,53.32,44.36,44.36,67.94,68.24,25.96,25.96,883.43,830.09,42.4,42.4,54.25,54.25,6.94,6.3,111.82,115.9,0.7,0.7,94.17,94.17,147.54,147.54,0,0,64,64,70.24,70.29,176.69,166.02,289.02,453.82,1.68,1.68,355.2,355.89,12.58,10.75,18.01,18.01,415.89,574.21,5.07,2.57,29.04,29.04,53.16,53.26,33.62,33.62,40.87,40.87,97.83,97.83,54441.76,57934.8,24850.9,26445.36,106730,113578,618.4,581.06,14.26,14.26,-6.32,-6.32,3700000000,4500000000,50685.28,54284.9,6.88,6.88,12.73,14.79
