Nation,s0,f0,s1,f1,s2,f2,s4,f4,s5,f5,s6,f6,s7,f7,s8,f8,s9,f9,s10,f10,s11,f11,s12,f12,s13,f13,s14,f14,s15,f15,s16,f16,s17,f17,s18,f18,s19,f19,s20,f20,s21,f21,s22,f22,s23,f23,s24,f24,s25,f25,s26,f26,s27,f27,s28,f28,s29,f29,s30,f30,s31,f31,s32,f32,s33,f33,s34,f34,s35,f35,s36,f36,s37,f37,s38,f38,s39,f39,s40,f40,s41,f41,s42,f42,s43,f43,s44,f44,s45,f45,s46,f46,s47,f47,s48,f48,s49,f49,s50,f50,s51,f51,s52,f52,s53,f53,s54,f54,s55,f55,s56,f56,s57,f57,s58,f58,s59,f59,s60,f60,s61,f61,s62,f62,s63,f63,s64,f64,s67,f67,s68,f68,s69,f69,s70,f70,s71,f71,s72,f72,s73,f73,s74,f74,s75,f75,s77,f77,s78,f78,s79,f79,s85,f85,s87,f87,s88,f88
NeutralLand,56.67,56.67,44.67,48,66.67,66.67,1.86,1.92,29.88,29.72,45.34,45.34,535.16,552.08,50.5,50.5,112.5,112.5,-3.46,-3.46,924.76,954,4623.81,4769.98,-4.9,-4.9,-2.83,-2.83,4271.88,4406.93,1198.76,1236.66,3103.94,3202.07,-9.64,-9.64,-7.21,-7.21,-6.48,-6.48,1070.33,1104.16,-8.49,-8.49,-7.21,-7.21,-8.12,-8.12,2305.59,2444.73,5822.57,6006.64,11.58,11.58,2033.62,2097.91,1712.52,1766.66,1605.49,1656.24,535.16,552.08,32.69,32.69,53.68,51.96,15.51,15.51,47.42,48.85,26.11,26.11,15.43,15.43,51,51,1,1,50.5,50.5,99,99,62.93,62.81,94.55,94.1,73.1,73.35,6.88,6.05,1926.59,1987.49,77.31,77.11,40.5,43,43.69,43.48,55.75,56.2,1.51,1.51,93.52,93.52,618.52,598.21,-4,-4,64,64,58.5,62.05,1070.33,1104.16,693.79,696.08,0.33,0.33,185.19,185.19,9.86,9.89,17.79,17.79,538.18,538.18,1.88,1.88,48.12,48.95,52.86,53.39,75.17,75.17,-15.81,-15.81,104.46,104.46,33040.21,34150.94,23752.79,24126.54,44252,46437,1605.49,1656.24,2.92,2.94,428.13,441.66,3100000000,3100000000,18601.64,19295.28,13.68,13.68,13.9,14.43
Betelgeuse XII,72.61,72.61,71.71,72.67,74,74,1.5,1.52,19.98,19.96,48.04,48.04,13995.42,14092.27,32.08,32.08,209,209,-25.73,-25.73,-17.25,-17.25,-18.28,-18.28,-17.01,-17.01,-17.37,-17.37,-12.52,-12.52,-31.53,-31.53,-24.22,-24.22,-22.05,-22.05,-23.28,-23.28,-20.78,-20.78,-20,-20,-20.54,-20.54,-21.12,-21.12,-5.05,-5.05,-23.67,-23.67,0,0,30.56,30.56,11351.84,11430.4,15083.95,15188.34,6764.45,6811.27,1555.05,1565.81,32.69,32.69,66.83,65.73,19.27,19.27,38.09,38.74,94.23,94.23,0.82,0.82,60.56,60.56,9.3,9.3,52.91,52.91,408,408,82.07,82.03,131.46,131.46,91.71,91.72,17.28,16.81,2488.07,2505.29,143.19,143.17,38.57,40,78.02,78,-135.03,-134.8,0.52,0.52,95.17,95.17,413.82,404.31,6,6,108,108,42.51,42.6,1710.55,1722.39,1398.2,1398.3,0.13,0.13,112.4,112.4,8.29,8.3,17.79,17.79,3107.24,3107.24,0.63,0.63,37.72,38.19,74.67,74.9,-142.47,-142.47,71.09,71.09,106.51,106.51,72620.68,73123.24,58684.94,58571.35,87809,89106,15006.2,15110.05,1.93,1.93,1166.29,1174.36,854300000000,859300000000,15976.55,16087.11,0.44,0.44,135.54,135.69
Foxes 43,46.67,46.67,46.67,53.33,50.67,50.67,2.76,3.25,32.77,32.67,42,42,281.06,298.28,58,58,94.5,94.5,0,0,4551.25,4830.11,1498.97,1590.81,2548.25,2704.38,4871.66,5170.15,-7.46,-7.46,-3.16,-3.16,2731.88,2899.26,-5.48,-5.48,4122.17,4374.74,-7.75,-7.75,3372.69,3579.33,-3.16,-3.16,2248.46,2386.22,-6.63,-6.63,2518.27,2672.57,1498.97,1590.81,9.54,9.54,843.17,894.83,843.17,894.83,1124.23,1193.11,281.06,298.28,119.98,119.98,36.28,30.79,12,12,43.41,45.88,21.91,21.91,21.3,21.3,50,50,1,1,50,50,98,98,58.29,57.72,65.07,61.37,69.46,69.56,7.56,5.89,1124.23,1193.11,85.42,83.72,42,47,20.75,20.31,80.79,82.12,4.64,4.64,93.01,93.01,793.21,747.5,0,0,64,64,66.15,67.36,749.49,795.41,477.97,472.37,0.28,0.28,97.22,97.22,12.26,12.7,17.16,17.16,509.71,509.71,2.45,2.48,47.44,49.11,51.65,52.79,-46.9,-46.9,64.81,64.81,100.2,100.2,39612.2,42039.25,23057.85,22379.1,63551,72673,1124.23,1193.11,8.08,9.06,93.69,99.43,881500000000,777200000000,31372.86,33505.28,7.42,7.42,10.8,11.83
Blitz the O is silent 20,57.33,57.33,57.33,64,57.33,57.33,3.61,4.36,32.86,32.75,42,42,114.01,120.76,50,50,112.5,112.5,-8.37,-8.37,1824.11,1932.13,-4.47,-4.47,-7.07,-7.07,2553.75,2704.99,-8,-8,0,0,5850.83,6197.32,3192.19,3381.23,-7.07,-7.07,4104.25,4347.3,5928.36,6279.43,-7.07,-7.07,-3.16,-3.16,-8.37,-8.37,2188.93,2318.56,0,0,9.22,9.22,1026.06,1086.83,1026.06,1086.83,1368.08,1449.1,342.02,362.28,119.98,119.98,27.72,22.94,12,12,49.93,52.47,21.66,21.66,21.58,21.58,50,50,1,1,50,50,94,94,56.72,56.09,57.19,53.59,69.37,69.48,0.56,2.22,1368.08,1449.1,68.81,67.28,50,55,22.59,22.14,81.38,82.71,3.24,3.24,93.2,93.2,610.35,570.34,0,0,64,64,68.02,68.98,912.05,966.07,481.42,453.56,0.32,0.33,125.79,125.79,12.83,13.27,17.16,17.16,400.63,400.63,2.44,2.57,54.44,52.78,52.66,53.81,33.17,33.17,-45.83,-45.83,100.2,100.2,39437.26,41772.73,19816.73,18912.03,71500,82436,912.05,966.07,10.54,11.36,114.01,120.76,95000000000,89000000000,30524.44,32540.96,7.09,7.09,12.49,13.72
Alex Fierro,57.33,57.33,57.33,64,57.33,57.33,3.61,4.36,32.82,32.73,42,42,323.43,342.6,50,50,112.5,112.5,5174.9,5481.56,1222.57,1295.02,2587.45,2740.78,-6.32,-6.32,-6.32,-6.32,1080.26,1144.28,0,0,-6.58,-6.58,5606.15,5938.36,2156.21,2283.99,4743.66,5024.77,-4.47,-4.47,0,0,-7.07,-7.07,2587.45,2740.78,4139.92,4385.25,7762.36,8222.35,9.33,9.33,970.29,1027.79,970.29,1027.79,1293.73,1370.39,323.43,342.6,119.98,119.98,27.72,22.94,12,12,49.93,52.47,23.36,23.36,19.52,19.52,50,50,1,1,50,50,100,100,56.72,56.09,57.19,53.59,69.4,69.5,0.56,2.22,1293.73,1370.39,75.11,73.51,50,55,20.78,20.33,82.65,83.99,3.24,3.24,93.2,93.2,610.35,570.34,0,0,64,64,67.98,68.94,862.48,913.59,492.82,464.62,0.32,0.33,126.07,126.07,11.91,12.35,17.16,17.16,485.12,485.12,2.39,2.51,54.44,52.78,52.68,53.82,67.82,67.82,-40,-40,100.2,100.2,41696.79,44167.7,20952.12,19996.32,75597,87163,862.48,913.59,10.54,11.36,107.81,114.2,70900000000,67600000000,33023.86,35201.66,7.09,7.09,12.88,14.14
Amuns Ast,90,90,58.33,61.67,25,25,2.26,2.34,29.46,29.31,44.83,44.83,0,0,10,10,202.5,202.5,4949.87,5109.9,-8.05,-8.05,-8.25,-8.25,-8.12,-8.12,-4.24,-4.24,112.07,115.7,-7.87,-7.87,3712.4,3832.43,4015.93,4145.77,1681.09,1735.44,-4.9,-4.9,1830.52,1889.7,-3.74,-3.74,-4.9,-4.9,-2.62,-2.62,5057.91,5293.75,4949.87,5109.9,11.53,11.53,2801.81,2892.4,1634.39,1687.23,817.2,843.62,0,0,1190.86,1190.86,44.24,42.68,17.36,17.36,35.61,36.45,28.56,28.56,8.89,8.89,53.09,53.09,1,1,53.38,53.38,94,94,60.79,60.66,65.8,65.04,73.76,74.01,22.46,23.29,1050.68,1084.65,59.03,58.67,50.75,53.25,39.48,39.29,59.8,60.25,13.35,13.35,92.19,92.19,488.91,470.87,0,0,67,67,65.08,65.94,817.2,843.62,539.18,528.97,0.54,0.55,358.42,358.42,11.95,12.17,12.64,12.64,344.41,344.41,2.23,2.26,32.54,31.71,55.7,56.45,-36.74,-36.74,-45.28,-45.28,101.45,101.45,39680.83,41036.08,25713.57,26081.39,58120,61109,2451.59,2530.85,3.51,3.57,466.97,482.07,4000000000,4000000000,24006.9,24908.9,1.41,1.41,14.99,15.85
Solumnis,22.75,22.75,72.17,73.83,5,5,3.1,3.23,32.25,32.29,37.37,37.37,225.7,227.24,77.25,77.25,51.75,51.75,-4.69,-4.69,-9.79,-9.79,3520.99,3544.92,812.54,818.06,2889.02,2908.65,2987.43,3007.73,5507.2,5544.61,3656.42,3681.26,2437.61,2454.17,-5.66,-5.66,2166.77,2181.49,-8.06,-8.06,812.54,818.06,3972.4,3999.39,-9.06,-9.06,1300.06,1308.89,9028.19,9089.53,10.3,10.3,0,0,1128.52,1136.19,2708.46,2726.86,1128.52,1136.19,8.49,8.49,32.26,30.93,7.52,7.52,26.41,26.91,1.33,1.33,35.7,35.7,47.8,47.8,1,1,50.5,50.5,93,93,59.37,59.23,63.24,62.4,70.01,69.97,29.78,30.61,2708.46,2726.86,59.19,58.84,65.25,67.75,22.82,22.68,78.67,79.08,27.02,27.02,91.28,91.28,1570.42,1460,-8,-8,64,64,70.89,71.18,1015.67,1022.57,336.02,327.99,0.28,0.28,118.56,118.56,12.91,13.13,29.26,29.26,373.9,373.9,3.68,3.83,25.22,24.39,56.99,57.42,50.5,50.5,36.74,36.74,104.81,104.81,50764.61,51109.53,27718.49,27271.13,85924,88181,1015.67,1022.57,5.65,6.05,-5.48,-5.48,3100000000,3200000000,39190.28,39507.66,16.26,16.26,18.27,18.95
Foxes 44,46.67,46.67,39,42.33,57.33,57.33,2.34,2.5,32.8,32.65,42,42,261.65,270.89,58,58,94.5,94.5,-7.75,-7.75,-8.11,-8.11,1395.46,1444.76,488.41,505.67,2093.19,2167.14,2881.63,2983.43,3488.65,3611.9,436.08,451.49,2790.92,2889.52,0,0,-5.48,-5.48,3837.52,3973.09,1046.6,1083.57,-8.37,-8.37,2651.37,2745.04,4970.35,5243.47,4884.11,5056.66,9.54,9.54,784.95,812.68,784.95,812.68,1046.6,1083.57,261.65,270.89,119.98,119.98,42.68,39.94,12,12,42.64,44,24.38,24.38,18.14,18.14,50,50,1,1,50,50,98,98,59.03,58.78,72,70.58,69.43,69.59,7.81,6.97,1046.6,1083.57,75.62,74.9,36.25,38.75,21.48,21.22,79.09,79.76,3.24,3.24,93.2,93.2,800.19,777.06,0,0,64,64,64.59,65.27,697.73,722.38,516.4,514.67,0.28,0.28,97.22,97.22,10.77,11,17.16,17.16,523.98,523.98,2.3,2.31,47.19,48.03,50.53,51.02,22.36,22.36,38.73,38.73,100.2,100.2,36458.92,37844.48,23172.27,23205.63,54293,58102,1046.6,1083.57,6.57,7.12,87.22,90.3,1580500000000,1607600000000,28620.25,29821.45,7.42,7.42,9.65,9.98
Magnus Chase,67.33,67.33,57.33,64,57.33,57.33,3.61,4.36,32.93,32.87,42,42,271.08,287.17,40,40,135,135,2530.08,2680.28,2112.61,2238.04,2168.64,2297.39,2168.64,2297.39,-4.47,-4.47,2723.45,2885.13,3252.95,3446.08,2056.59,2178.69,3252.95,3446.08,3252.95,3446.08,2891.52,3063.18,-5.48,-5.48,4337.27,4594.77,2168.64,2297.39,4337.27,4594.77,-2.83,-2.83,7951.67,8423.75,9.33,9.33,813.24,861.52,813.24,861.52,1084.32,1148.69,271.08,287.17,119.98,119.98,27.72,22.94,12,12,49.93,52.47,27.37,27.37,12.91,12.91,50,50,1,1,50,50,100,100,56.41,55.76,55.48,51.6,69.29,69.35,3.89,5.56,1084.32,1148.69,57.77,56.38,50,55,13.6,13.15,90.83,92.17,3.24,3.24,93.2,93.2,531.68,494.38,0,0,64,64,68.48,69.39,722.88,765.8,501.19,472.39,0.41,0.42,167.26,167.26,10.78,11.23,17.16,17.16,486.06,486.06,2.36,2.48,51.11,49.44,52.64,53.77,-20,-20,58.31,58.31,100.2,100.2,49726.83,52679.05,24987.11,23849.72,90155,103960,722.88,765.8,10.95,11.76,90.36,95.72,134500000000,131600000000,42963.98,45725.41,6.64,6.64,14.97,16.43
Blitz the O is silent 19,57.33,57.33,57.33,64,57.33,57.33,3.61,4.36,32.75,32.61,42,42,126.97,134.47,50,50,112.5,112.5,-5.48,-5.48,2491.09,2638.27,-8.37,-8.37,4062.94,4302.99,1320.46,1398.47,0,0,-6.32,-6.32,3966.44,4200.8,507.87,537.87,2539.34,2689.37,-7.07,-7.07,3047.2,3227.24,1523.6,1613.62,-3.16,-3.16,1523.6,1613.62,-5.29,-5.29,0,0,9.22,9.22,1142.7,1210.22,1142.7,1210.22,1523.6,1613.62,380.9,403.41,119.98,119.98,27.72,22.94,12,12,49.93,52.47,23.49,23.49,19.36,19.36,50,50,1,1,50,50,94,94,56.72,56.09,57.19,53.59,69.48,69.62,0.56,2.22,1523.6,1613.62,68.39,66.86,50,55,27.63,27.18,78.04,79.37,3.24,3.24,93.2,93.2,610.35,570.34,0,0,64,64,67.81,68.8,1015.73,1075.75,469.08,441.61,0.32,0.33,125.79,125.79,11.64,12.08,17.16,17.16,399.75,399.75,2.49,2.63,54.44,52.78,52.7,53.86,-88.88,-88.88,66.33,66.33,100.2,100.2,35431.37,37524.78,17803.82,16988.83,64237,74053,1015.73,1075.75,10.54,11.36,126.97,134.47,90800000000,82300000000,25652.31,27318.04,7.09,7.09,13.12,14.41
