Nation,s0,f0,s1,f1,s2,f2,s4,f4,s5,f5,s6,f6,s7,f7,s8,f8,s9,f9,s10,f10,s11,f11,s12,f12,s13,f13,s14,f14,s15,f15,s16,f16,s17,f17,s18,f18,s19,f19,s20,f20,s21,f21,s22,f22,s23,f23,s24,f24,s25,f25,s26,f26,s27,f27,s28,f28,s29,f29,s30,f30,s31,f31,s32,f32,s33,f33,s34,f34,s35,f35,s36,f36,s37,f37,s38,f38,s39,f39,s40,f40,s41,f41,s42,f42,s43,f43,s44,f44,s45,f45,s46,f46,s47,f47,s48,f48,s49,f49,s50,f50,s51,f51,s52,f52,s53,f53,s54,f54,s55,f55,s56,f56,s57,f57,s58,f58,s59,f59,s60,f60,s61,f61,s62,f62,s63,f63,s64,f64,s67,f67,s68,f68,s69,f69,s70,f70,s71,f71,s72,f72,s73,f73,s74,f74,s75,f75,s77,f77,s78,f78,s79,f79,s85,f85,s87,f87,s88,f88
Cosmo Kramerica,47.39,47.39,99.93,99.93,62.93,62.93,1.39,1.39,22.96,22.95,15.98,15.98,151.92,151.35,57.45,57.45,60.75,60.75,15253.14,15196.04,2625.24,2615.41,79,78.7,935.85,932.35,-3.75,-3.75,-5.59,-5.59,20783.16,21008.07,-10.89,-10.89,15.19,15.14,-8.25,-8.25,24368.56,24277.34,6004.02,5981.55,-4.24,-4.24,-8.77,-8.77,4545.56,4528.54,-8.53,-8.53,36115.3,36282.81,19.44,19.6,-15.81,-15.81,5165.41,5146.07,6836.57,7038.01,4633.67,4616.33,239.44,239.44,72.01,72.01,0.49,0.49,44.61,44.61,57.13,57.13,1.22,1.22,49.36,49.36,6.28,6.28,31.88,31.88,111,111,75.86,76.58,121.26,121.83,90.1,90.1,10.61,10.61,7596.18,7794.78,5.65,5.65,32,32,45.6,46.36,18.78,16.98,4.58,4.58,93.01,93.01,795.58,795.58,-8,-8,74,74,56.8,56.83,-17.61,-17.61,1097.16,1103.42,1.28,1.24,9.71,9.5,9.38,9.38,16.68,16.68,1081.01,1081.01,1.2,1.18,44.39,44.39,87.75,87.75,-115.18,-115.18,115.86,115.86,61.6,61.6,103323.3,103693.29,86873.82,87184.91,120634,121066,4329.82,4313.62,2.08,2.06,-16.43,-16.43,5119400000000,4316300000000,56207.87,55579.6,20.83,20.83,35.13,35.13
State Peace and Development Council,66.1,66.1,51.56,51.56,70,70,1.41,1.41,21.94,21.95,46.76,46.76,5468.06,5427.2,41.86,41.86,132.75,132.75,-9.06,-9.06,-5.8,-5.8,-5.42,-5.42,-8.9,-8.9,-13.39,-13.59,-6.69,-6.69,-14.76,-14.42,-16.7,-16.7,81.01,80.4,-10.1,-10.1,-13.86,-13.86,-9.33,-9.33,-6.48,-6.48,-15.56,-15.56,-3.28,-3.28,-14.2,-14.2,0,0,19.92,20.07,3847.89,3819.14,10632.34,10552.88,2025.21,2311.58,1113.86,1105.54,1052.22,1052.22,70.68,70.68,18.02,18.02,31.86,31.86,51.48,51.48,1.35,1.35,52.64,52.64,7.39,7.39,52.44,52.44,253,253,74.97,75.7,107.44,108.33,90.56,90.56,13.42,13.42,2126.47,2412.09,111.77,111.27,33.67,33.67,82.11,82.33,-43.35,-45.35,0.74,0.74,94,94,563.99,563.99,-8,-8,77,77,49.03,49.03,506.3,502.52,1218.1,1222.57,0.22,0.22,187.31,186.33,9.05,9.05,13.26,13.26,1645.95,1645.95,0.88,0.87,41.58,41.58,64.35,64.35,-65.65,-65.65,53.29,53.29,108.45,108.45,40281.37,40583.37,33534.41,33785.83,47444,47800,7898.31,7839.28,2.11,2.08,810.08,804.03,277900000000,262900000000,7210.37,7183.26,12.56,12.56,72.4,72.6
Ugg Lands,67.93,67.93,48.57,48.57,67.67,67.67,1.32,1.32,21.24,21.24,44.28,44.28,10068.58,10030.33,39.1,39.1,137.25,137.25,-23.37,-23.37,-13.15,-13.15,-15.43,-15.43,-12.39,-12.39,-18.73,-18.87,-9.92,-9.92,-17.38,-17.09,-22.01,-22.01,-19.54,-19.54,-18.33,-18.33,-21.82,-21.82,-17.26,-17.26,-16.91,-16.91,-21.47,-21.47,-8.74,-8.74,-24.66,-24.66,0,0,28.04,28.14,5313.97,5293.79,9928.74,9891.02,5873.34,6059.99,1398.41,1393.1,74.94,74.94,75.73,75.73,15.9,15.9,29.92,29.92,81.98,81.98,0.91,0.91,53.51,53.51,8.7,8.7,51.96,51.96,404,404,86.89,87.5,118.91,118.91,90.92,90.93,15.36,15.36,6013.18,6199.3,101.81,100.42,27.43,27.43,77.68,77.96,-126.22,-128.27,3.9,3.9,93.1,93.1,619.92,619.92,-2,-2,108,108,43.99,43.99,769.13,766.21,1438.81,1442.13,0.18,0.18,161.75,160.83,8.3,8.3,17.42,17.42,2976.36,2976.36,0.6,0.6,39.64,39.64,67.89,67.89,-149.12,-149.12,95.94,95.94,107.17,107.17,54957.68,55166.82,47458.13,47638.72,62665,62904,9159.61,9124.81,1.84,1.84,1468.34,1462.76,638700000000,622400000000,12255.56,12136.7,17.26,17.26,134.24,134.28
Nikolia,61.56,61.56,97.31,97.31,79.33,79.33,1.51,1.51,19.99,19.99,38.75,38.75,10874.54,10833.44,46.83,46.83,157.5,157.5,-18.6,-18.6,-11.87,-11.87,-12.85,-12.85,-12.63,-12.63,-18.17,-18.31,-10.32,-10.32,-17.78,-17.49,-23.01,-23.01,-14.07,-14.07,-21.59,-21.59,-21.35,-21.35,-16.61,-16.61,-15.68,-15.68,-19.42,-19.42,4900.79,4882.27,-8.14,-8.14,0,0,26.87,26.98,4702.5,4684.73,13617.67,13566.2,5878.13,6148.71,6270,6246.31,1698.53,1698.53,66.31,66.31,15.09,15.09,43.02,43.02,67.49,67.49,1.06,1.06,56.34,56.34,12.19,12.19,54.76,54.76,382,382,73.74,74.48,117.46,118.08,91.7,91.7,14.79,14.79,7053.75,7319.89,99.14,97.5,39.25,39.25,89.16,89.39,-124.25,-126.25,3.58,3.58,93.15,93.15,455.51,455.51,8,8,105,105,47.62,47.62,2351.25,2342.37,1325.48,1329.25,0.2,0.2,46.72,46.23,7.66,7.65,10.52,10.52,2460.81,2460.81,0.71,0.71,40.21,40.21,89.07,89.07,-123.43,-123.43,68.17,68.17,105.16,105.16,77665.76,77957.84,62499.68,62734.73,94256,94610,10580.63,10540.65,2.15,2.12,1861.41,1854.37,962500000000,906600000000,8387.9,8263.53,13.52,13.52,132.06,132.1
Caffeinneburg,57.67,57.67,66.86,66.86,36.38,36.38,1.32,1.32,20.91,20.91,40.78,40.78,8032.4,7978.82,49.75,49.75,192.75,192.75,-29.29,-29.29,-22.05,-22.05,-20.45,-20.45,-22.15,-22.15,-22.23,-22.34,-15.21,-15.21,-27.46,-27.28,-26.8,-26.8,-26.55,-26.55,-26.98,-26.98,-20.45,-20.45,-20.22,-20.22,-23.19,-23.19,-31.5,-31.5,-23.59,-23.59,-34.57,-34.75,0,0,21.12,21.26,1302.55,1293.86,9443.5,9380.51,5318.75,5606.74,-13.42,-13.42,3.19,3.19,75.85,75.85,0.82,0.82,23.96,23.96,71.89,71.89,1,1,61.07,61.07,10.55,10.55,32.53,32.53,521,521,86.4,87.02,108.29,108.29,91.12,91.12,13.83,13.83,19429.72,19623.6,5.54,5.54,27.29,27.29,25.98,26.73,53.01,51.09,5.19,5.19,92.94,92.94,960.59,960.59,4,4,109,109,54.62,54.62,-18.44,-18.44,1509,1512.12,7.92,7.91,102.87,102.14,5.69,5.69,90.7,90.7,3567.73,3567.73,0.55,0.55,41.17,41.17,70.6,70.6,-29.05,-29.05,-179.03,-179.03,79.01,79.01,48411.48,48735.52,41839.63,42119.69,55161,55530,4884.57,4851.99,1.85,1.85,-15.81,-15.81,872900000000,832400000000,35824.5,35723.14,16.56,16.56,139.69,139.73
The Zohan,10,10,73.33,73.33,3,3,7.52,7.52,32.73,32.43,38.75,38.75,789.79,781.32,90,90,22.5,22.5,3159.16,3125.29,1624.71,1607.29,4513.08,4464.7,4783.86,4732.58,4152.03,3928.94,3610.46,3571.76,1173.4,1741.23,-7.75,-7.75,-7.75,-7.75,2707.85,2678.82,-3.16,-3.16,-7.07,-7.07,-5.48,-5.48,-8.37,-8.37,1760.1,1741.23,3809.04,3768.21,8845.64,9331.23,10.82,11.09,112.83,111.62,1241.1,1227.79,2256.54,2567.2,1241.1,1227.79,130.47,130.47,13.3,13.3,8.23,8.23,23.64,23.64,4.35,4.35,32.72,32.72,52.16,52.16,1,1,50,50,102,102,56.36,57.62,44.76,53.16,69.5,69.81,35.27,35.27,1579.58,1897.5,99.76,99.35,67,67,24.36,25.48,78.87,77.05,27.84,27.84,91.24,91.24,2263.23,2263.23,0,0,64,64,70.9,70.91,1128.27,1116.18,296.53,336.85,0.23,0.23,19.51,19.19,12.5,12.47,17.11,17.11,578.68,578.68,4.73,3.66,19.73,19.73,58.35,58.45,-40,-40,81.24,81.24,98.83,98.83,50812.77,51339.62,16937.59,17113.21,127317,128637,2030.89,2009.12,11.02,9.21,-4.47,-4.47,28300000000,21300000000,38414.45,38248.01,7.28,7.28,17.29,17.36
Phazania,70.67,70.67,63.24,63.24,74,74,1.6,1.6,20.16,20.16,38.75,38.75,14770.81,14722.37,35,35,186.25,186.25,-23.11,-23.11,-18.42,-18.42,-16.18,-16.18,-13.51,-13.51,-19.21,-19.35,-12.39,-12.39,-20.83,-20.59,-24.09,-24.09,-24.47,-24.47,-23.54,-23.54,-21.31,-21.31,-19.55,-19.55,-20.83,-20.83,-19.82,-19.82,7827.49,7801.82,778.12,775.57,0,0,28.2,28.3,8907.02,8877.81,8907.02,8877.81,5121.54,5326.69,-7.75,-7.75,224.79,224.79,62.38,62.38,24.76,24.76,43.14,43.14,92.11,92.11,0.83,0.83,62.29,62.29,12.78,12.78,67.47,67.47,583,583,85.25,85.88,119.63,119.63,91.58,91.58,14.38,14.38,3414.36,3625.11,108.19,107.61,44.43,44.43,91.19,91.27,-171.46,-173.46,0.8,0.8,93.83,93.83,394.35,394.35,-9,-9,122,122,43.99,43.99,-9.49,-9.49,1519.4,1522.49,0.18,0.18,17.02,16.72,7.34,7.34,16.73,16.73,3662.56,3662.56,0.54,0.54,40.62,40.62,71.26,71.27,-148.39,-148.39,94.5,94.5,125.43,125.43,67614.61,67836.76,52669.23,52842.28,84437,84715,11208,11171.24,1.87,1.87,-7.07,-7.07,644100000000,632400000000,5950.09,5901.8,0.98,0.98,153.23,153.26
The Military of South Asians 23,64,64,57.33,57.33,57.33,57.33,3.61,3.61,32.71,32.42,42,42,500,500.15,45,45,123.75,123.75,4239.98,4241.27,-5.22,-5.22,4239.98,4241.27,2159.99,2160.65,3919.99,3761.13,-4.65,-4.65,-8,-7.35,5299.98,5301.59,2639.99,2640.79,-4.9,-4.9,1839.99,1840.55,640,640.19,1839.99,1840.55,1040,1040.31,-3.13,-3.13,5536.86,5041.25,8479.97,8482.55,9.64,9.95,900,900.27,900,900.27,1200,1500.45,300,300.09,119.98,119.98,27.72,27.72,12,12,49.93,49.93,25.53,25.53,16.41,16.41,50,50,1,1,50,50,104,104,57.12,58.33,59.5,68.88,69.52,69.83,2.21,2.21,1200,1500.45,81.7,81.73,50,50,19.3,20.99,83.49,81.16,3.24,3.24,93.2,93.2,570.34,570.34,0,0,64,64,67.97,67.95,800,800.24,533.38,587.43,0.34,0.32,145.96,145.1,13.06,13.03,17.16,17.16,573.22,573.22,2.25,2.1,52.79,52.79,53.44,53.55,42.43,42.43,59.16,59.16,100.2,100.2,44936.72,44893.22,22580.14,22558.29,81471,81392,1200,1200.36,9.97,8,100,100.03,2051700000000,1805200000000,36263.93,35465.65,6.87,6.87,12.8,12.84
Dynomo Mk34,64,64,57.33,57.33,57.33,57.33,3.61,3.61,32.73,32.44,42,42,504.92,499.11,45,45,123.75,123.75,-8,-8,1745,1724.93,-2,-2,-8.12,-8.12,-5.66,-6,6227.07,6155.46,1858.1,2236.02,3837.39,3793.26,4281.72,4232.47,3877.78,3833.18,5089.59,5031.06,5089.59,5031.06,-6.63,-6.63,-4.9,-4.9,840.19,830.52,-2.8,-2.8,1858.1,2236.02,9.64,9.95,908.86,898.4,908.86,898.4,1211.81,1497.34,302.95,299.47,119.98,119.98,27.72,27.72,12,12,49.93,49.93,25.44,25.44,16.54,16.54,50,50,1,1,50,50,104,104,57.12,58.33,59.5,68.88,69.5,69.81,2.21,2.21,1211.81,1497.34,62.64,62.5,50,50,19.72,20.9,83.05,81.25,3.24,3.24,93.2,93.2,570.34,570.34,0,0,64,64,67.94,67.95,807.87,798.58,529.4,583.25,0.35,0.33,145.96,145.1,10.67,10.63,17.16,17.16,561.49,561.49,2.26,2.11,52.79,52.79,53.44,53.54,47.96,47.96,-50,-50,100.2,100.2,44499.98,44986.42,22360.69,22605.12,80679,81561,1211.81,1197.87,9.97,8,100.98,99.82,1625700000000,1439000000000,35733.48,35584.26,6.87,6.87,17.39,17.45
Siargao Island,54.33,54.33,54.67,54.67,65.33,65.33,3.36,3.36,29.31,29.26,44.28,44.28,691.57,689.9,52.25,52.25,108,108,2950.7,2943.59,-3.35,-3.35,5040.78,5028.63,3872.8,3863.46,3442.49,3311.54,6630.17,6614.19,2151.55,2452.99,1383.14,1379.81,245.89,245.3,1413.88,1410.47,491.78,490.6,-7.55,-7.55,-4.9,-4.9,2028.61,2023.72,1782.72,1778.42,1613.09,1228.11,10143.04,10425.22,13.67,13.89,2228.39,2223.02,1459.98,1456.46,1459.98,1686.43,537.89,536.59,37.24,37.24,29.75,29.75,14.64,14.64,51.37,51.37,28.97,28.97,7.44,7.44,52.16,52.16,1,1,50.5,50.5,107,107,64.25,65.17,98.23,100.9,74,74.08,4.33,4.33,1613.66,1839.74,81.14,79.27,48,48,30.05,31.23,61,58.87,1.81,1.81,93.45,93.45,588.18,588.18,-8,-8,68,68,64.24,64.23,922.09,919.87,1030.17,1040.04,0.32,0.32,182.2,181.23,9.81,9.8,17.74,17.74,615.01,615.01,1.46,1.42,50.67,50.67,55.18,55.21,24.49,24.49,87.18,87.18,103.37,103.37,56170.64,56298.09,29342.87,29409.45,98630,98854,1997.87,1993.06,2.73,2.63,691.57,689.9,361200000000,308100000000,39263.28,38733.08,13.25,13.25,19.04,19.11
