Nation,s0,f0,s1,f1,s2,f2,s4,f4,s5,f5,s6,f6,s7,f7,s8,f8,s9,f9,s10,f10,s11,f11,s12,f12,s13,f13,s14,f14,s15,f15,s16,f16,s17,f17,s18,f18,s19,f19,s20,f20,s21,f21,s22,f22,s23,f23,s24,f24,s25,f25,s26,f26,s27,f27,s28,f28,s29,f29,s30,f30,s31,f31,s32,f32,s33,f33,s34,f34,s35,f35,s36,f36,s37,f37,s38,f38,s39,f39,s40,f40,s41,f41,s42,f42,s43,f43,s44,f44,s45,f45,s46,f46,s47,f47,s48,f48,s49,f49,s50,f50,s51,f51,s52,f52,s53,f53,s54,f54,s55,f55,s56,f56,s57,f57,s58,f58,s59,f59,s60,f60,s61,f61,s62,f62,s63,f63,s64,f64,s67,f67,s68,f68,s69,f69,s70,f70,s71,f71,s72,f72,s73,f73,s74,f74,s75,f75,s77,f77,s78,f78,s79,f79,s85,f85,s87,f87,s88,f88
Blandinatopia,90,90,73.33,73.33,25,25,8.37,8.37,32.43,32.07,44.83,44.83,-6.32,-6.32,10,10,202.5,202.5,615.49,607.24,1325.35,1307.59,-2.37,-2.37,-5.29,-5.29,5436.81,5060.33,-6.69,-6.69,789.88,1214.48,846.3,834.95,-4.24,-4.24,3692.92,3643.44,615.49,607.24,3641.63,3592.83,1128.39,1113.27,5231.64,5161.54,3128.73,3086.8,-2.68,-2.68,1405.36,1821.72,8.06,8.54,2308.08,2277.15,1025.81,1012.07,128.23,632.54,0,0,1165.08,1165.08,11.95,11.95,17.36,17.36,41.52,41.52,26.95,26.95,13.83,13.83,51.62,51.62,1,1,53.38,53.38,104,104,53.35,55.52,26.97,37.65,69.82,70.22,28.57,28.57,384.68,885.56,41.6,42.01,69,69,14.32,16.37,94.27,91.66,13.35,13.35,92.19,92.19,365.02,365.02,0,0,67,67,71.01,71.03,128.23,126.51,338.31,403.03,1.73,1.45,357.82,355.87,14.05,14,12.75,12.75,442.87,442.87,3.64,2.89,26.43,26.43,57.34,57.48,23.87,23.87,-29.15,-29.15,98.83,98.83,44762.35,45306.15,14029.99,14200.44,117435,118862,1410.49,1391.59,14.24,12.05,-4.47,-4.47,2300000000,1300000000,38361.34,37875.94,1.66,2.1,18.95,19.06
Betelgeuse XII,71.56,71.56,75.05,75.05,74,74,1.55,1.55,19.92,19.92,48.04,48.04,14537.66,14475.57,33.67,33.67,208.75,208.75,-25.88,-25.88,-17.44,-17.44,-18.49,-18.49,-17.15,-17.15,-17.14,-17.37,-12.65,-12.65,-31.97,-31.81,-25.84,-25.84,-22.23,-22.23,-23.45,-23.45,-20.98,-20.98,-20.2,-20.2,-20.74,-20.74,-21.31,-21.31,-5.42,-5.42,-24.08,-24.08,0,0,30.53,30.66,11598.35,11548.82,15411.51,15345.69,6673.02,6960.93,1668.26,1661.13,32.69,32.69,64.53,64.53,19.27,19.27,37.46,37.46,94.06,94.06,0.82,0.82,60.56,60.56,9.3,9.3,52.91,52.91,418,418,81.33,82.26,131.02,131.67,91.75,91.75,15.76,15.76,2303.78,2610.35,143.61,143.31,41.57,41.57,77.49,77.83,-131.54,-134.23,0.52,0.52,95.2,95.2,404.38,404.38,6,6,108,108,42.69,42.7,1747.7,1740.23,1400.25,1405.21,0.14,0.13,112.77,111.67,8.32,8.31,17.79,17.79,3156.88,3156.88,0.63,0.63,39.24,39.24,75.8,75.8,-142.97,-142.97,69.5,69.5,106.51,106.51,74038.79,74355.41,58725.86,58977,91004,91393,15332.07,15266.59,1.94,1.92,1191.61,1186.52,878600000000,844200000000,16658.73,16506.9,0.44,0.44,135.84,135.9
KoingsburgCosmo Kramerica,47.64,47.64,100,100,62.93,62.93,1.43,1.43,23.03,23.02,15.98,15.98,-4.47,-4.47,57.27,57.27,60.75,60.75,15425.21,15354.72,2903.57,2890.3,393.19,391.39,1270.31,1264.51,-2.79,-2.79,-5.29,-5.29,20627.44,20834.25,-10.61,-10.61,75.61,75.27,-7.75,-7.75,24498.87,24386.91,6291.07,6262.32,-3.16,-3.16,-8.31,-8.31,4839.28,4817.17,-7.27,-7.27,36445.85,36580.36,19.08,19.29,-15.81,-15.81,5141.74,5118.24,6502.79,6774.14,4612.44,4591.36,239.44,239.44,70.02,70.02,0.49,0.49,47.46,47.46,56.06,56.06,1.24,1.24,49.36,49.36,6.28,6.28,31.88,31.88,101,101,74.42,75.46,120.1,120.89,90.07,90.08,9.71,9.71,7258.92,7526.82,5.67,5.64,34.5,34.5,42.6,43.65,25.22,22.75,4.89,4.89,92.97,92.97,770.85,770.85,-8,-8,74,74,61.79,61.94,-17.61,-17.61,1074.21,1084.17,1.46,1.34,9.99,9.67,9.41,9.41,16.68,16.68,1001.38,1001.38,1.28,1.24,45.29,45.29,87.53,87.53,-113.27,-113.27,116.7,116.7,61.6,61.6,103847.99,104276.61,86023.34,86378.39,122855,123362,4007.53,3989.22,2.13,2.09,-16.43,-16.43,7280700000000,5164300000000,59608.75,58812.01,20.55,20.83,34.55,34.55
State Peace and Development Council,66.29,66.29,54.89,54.89,70,70,1.46,1.46,21.82,21.83,46.76,46.76,5357.64,5302.35,41.57,41.57,132.75,132.75,-8.6,-8.6,-5.22,-5.22,-4.88,-4.88,-8.63,-8.63,-12.9,-13.2,-6.45,-6.45,-14.83,-14.49,-16.52,-16.52,171.44,169.68,-9.7,-9.7,-13.56,-13.56,-8.89,-8.89,-5.83,-5.83,-15.3,-15.3,-2.62,-2.62,-13.48,-13.48,0,0,19.52,19.72,4071.81,4029.79,11251.05,11134.93,1714.45,2120.94,1178.68,1166.52,1052.22,1052.22,68.71,68.71,18.02,18.02,34.66,34.66,50.13,50.13,1.38,1.38,52.64,52.64,7.39,7.39,52.44,52.44,243,243,73.51,74.56,105.54,106.86,90.62,90.62,12.67,12.67,1821.6,2226.99,111.94,111.41,36.17,36.17,81.41,81.71,-37.56,-40.23,0.75,0.75,93.97,93.97,542.41,542.41,-8,-8,77,77,49.63,49.65,535.76,530.23,1202.34,1208.96,0.23,0.22,188.53,187.11,9.08,9.07,13.26,13.26,1575.83,1575.83,0.91,0.9,42.33,42.33,64.82,64.82,-62.21,-62.21,51.77,51.77,108.45,108.45,40996.67,41421.95,33619.99,33968.75,48933,49440,7929.31,7847.48,2.16,2.12,857.22,848.38,301700000000,276200000000,7625.38,7580.22,12.19,12.56,71.13,71.43
Ugg Lands,68.07,68.07,51.43,51.43,67.67,67.67,1.35,1.35,21.18,21.18,44.28,44.28,10188.41,10135.82,38.9,38.9,139.5,139.5,-23.19,-23.19,-12.9,-12.9,-15.17,-15.17,-12.2,-12.2,-18.38,-18.6,-9.76,-9.76,-17.44,-17.15,-21.87,-21.87,-19.34,-19.34,-18.11,-18.11,-21.63,-21.63,-17.03,-17.03,-16.67,-16.67,-21.28,-21.28,-8.52,-8.52,-24.26,-24.26,0,0,27.75,27.89,5530.85,5502.3,10333.95,10280.62,5821.95,6081.49,1455.49,1447.97,74.94,74.94,73.98,73.98,15.9,15.9,32.39,32.39,80.89,80.89,0.92,0.92,53.51,53.51,8.7,8.7,51.96,51.96,394,394,85.66,86.54,117.71,118.53,90.96,90.96,14.71,14.71,5967.5,6226.29,102.28,101.04,29.57,29.57,77.23,77.59,-122.02,-124.71,4.19,4.19,93.06,93.06,600.86,600.86,-2,-2,108,108,44.25,44.26,800.52,796.39,1427.21,1432.03,0.19,0.18,163.5,162.18,8.33,8.33,17.42,17.42,2915.35,2915.35,0.61,0.6,40.29,40.29,68.21,68.21,-147.04,-147.04,95.06,95.06,107.17,107.17,56036.23,56326.22,47792.1,48039.42,64603,64937,9242.34,9194.64,1.86,1.84,1528.26,1520.37,673200000000,647400000000,12776.26,12617.07,16.93,17.24,133.84,133.9
Workers Revolution,72.22,72.22,19.33,19.33,15,15,1.21,1.21,30.73,30.69,42,42,640.85,629.19,32.67,32.67,153,153,-6.32,-6.32,384.51,377.52,-10.2,-10.2,1602.13,1572.98,269.16,132.13,-6,-6,-5.48,-4.47,-3.87,-3.87,-7.48,-7.48,-3.16,-3.16,961.28,943.79,1922.55,1887.58,-5.48,-5.48,-8.94,-8.94,1409.87,1384.22,-4.47,-4.47,0,0,11.83,12.17,1121.49,1101.09,1602.13,1572.98,1441.91,1730.28,480.64,471.89,130.47,130.47,82.55,82.55,12,12,17.85,17.85,19.71,19.71,23.66,23.66,50,50,2.52,2.52,50,50,112,112,61.31,62.72,77.29,85.34,71.88,71.94,28.19,28.19,1121.49,1415.68,66.06,64.43,-80.67,-80.67,54.28,56.35,45.78,43.03,18.23,18.23,91.84,91.84,1214.97,1214.97,0,0,62,62,77.13,77.2,801.06,786.49,539.55,612.21,0.33,0.32,198.43,196.97,9.67,9.66,17.11,17.11,605.67,605.67,2.23,2.04,26.81,26.81,46.84,46.86,-90,-90,53.85,53.85,102.24,102.24,20648.21,20769.63,18662.14,18771.89,22608,22741,640.85,629.19,3.3,2.96,480.64,471.89,1960400000000,1505600000000,9436.23,9055.56,6.58,7.17,7.44,7.46
Beth Phoenixxx,38.22,38.22,20.5,20.5,76.67,76.67,1.23,1.23,28.69,28.63,45.83,45.83,694.83,689.09,64.33,64.33,81,81,-7.62,-7.62,762.33,756.03,3216.07,3189.48,476.45,472.52,-7.35,-7.75,5036.92,4995.28,444.69,590.65,49.63,49.22,-7.35,-7.35,238.23,236.26,-6.93,-6.93,1786.7,1771.94,2223.45,2205.08,39.7,39.38,1187.17,1177.35,952.91,945.03,3660.76,3780.13,17.46,17.69,2183.75,2165.7,1687.44,1673.49,1091.87,1279.73,595.57,590.65,977.25,977.25,81.55,81.55,17.01,17.01,36.72,36.72,27.83,27.83,11.71,11.71,51.62,51.62,2.52,2.52,51.96,51.96,109,109,69.84,70.97,106.97,108.2,75.07,75.17,23.19,23.19,992.61,1181.29,113.74,113.26,-79.5,-79.5,62.62,63.75,3.29,0.78,0.72,0.72,94.1,94.1,782.43,782.43,0,0,69,69,76.94,77.01,893.35,885.97,1041.61,1054,0.21,0.21,77.89,76.98,9.35,9.35,13.6,13.6,617.47,617.47,1.41,1.36,31.81,31.81,49.28,49.32,76.16,76.16,47.96,47.96,100.62,100.62,33211.25,33480.13,29824.03,30065.49,36573,36869,1290.4,1279.73,2.31,2.26,893.35,885.97,26200000000,21100000000,12421.01,12119.81,7.61,8.14,13.43,13.5
Tax FreeNikolia,61.78,61.78,97.37,97.37,79.33,79.33,1.54,1.54,20.02,20.02,38.75,38.75,10507.37,10454.22,46.67,46.67,157.5,157.5,-18.38,-18.38,-11.59,-11.59,-12.63,-12.63,-12.44,-12.44,-17.81,-18.03,-10.16,-10.16,-17.83,-17.55,-22.88,-22.88,-13.64,-13.64,-21.4,-21.4,-21.17,-21.17,-16.37,-16.37,-15.43,-15.43,-19.21,-19.21,5443.41,5415.87,-6.81,-6.81,0,0,26.57,26.72,4713.59,4689.74,13649.76,13580.72,5499.19,5862.18,6284.78,6252.99,1698.53,1698.53,64.87,64.87,15.09,15.09,46.01,46.01,66.48,66.48,1.07,1.07,56.34,56.34,12.19,12.19,54.76,54.76,372,372,72.27,73.34,116.19,117.05,91.68,91.68,14.21,14.21,6677.58,7034.62,99.69,98.01,41.12,41.12,88.1,88.42,-117.99,-120.66,3.86,3.86,93.11,93.11,441.27,441.27,8,8,105,105,48.04,48.06,2356.79,2344.87,1313.22,1318.72,0.2,0.2,47.32,46.62,7.67,7.67,10.52,10.52,2397.19,2397.19,0.73,0.72,40.79,40.79,89.33,89.33,-120.84,-120.84,66.48,66.48,105.16,105.16,77487.46,77877.1,61633.37,61943.29,95009,95486,10212.77,10161.11,2.2,2.16,1865.8,1856.36,1040400000000,946400000000,9221.01,9033.74,13.16,13.52,131.65,131.71
Caffeinneburg,57.89,57.89,68.29,68.29,36.38,36.38,1.35,1.35,20.89,20.89,40.78,40.78,7853.07,7780.89,49.58,49.58,192.75,192.75,-29.15,-29.15,-21.91,-21.91,-20.25,-20.25,-22.05,-22.05,-21.93,-22.11,-15.1,-15.1,-27.5,-27.31,-26.69,-26.69,-26.4,-26.4,-26.83,-26.83,-20.25,-20.25,-20.02,-20.02,-23.02,-23.02,-31.37,-31.37,-23.47,-23.47,-34.02,-34.28,0,0,20.74,20.93,1346.24,1333.87,9760.25,9670.53,5048.4,5446.62,-13.42,-13.42,3.19,3.19,74.09,74.09,0.82,0.82,25.93,25.93,70.73,70.73,1.02,1.02,61.07,61.07,10.55,10.55,32.53,32.53,511,511,85.18,86.06,106.52,107.74,91.13,91.13,13.17,13.17,19632.68,19896.84,5.58,5.54,29.43,29.43,24.45,25.44,57.02,54.5,5.53,5.53,92.9,92.9,937.16,937.16,4,4,109,109,55.42,55.47,-18.44,-18.44,1498.19,1502.71,7.95,7.93,103.77,102.72,5.71,5.71,90.7,90.7,3509.02,3509.02,0.55,0.55,41.83,41.83,70.89,70.89,-26.18,-26.18,-180.31,-180.31,79.01,79.01,48240.3,48686.13,41177.4,41557.96,55574,56088,4599.66,4557.38,1.87,1.85,-15.81,-15.81,937400000000,869800000000,36469.66,36319.85,16.25,16.56,139.31,139.37
Phazania,70.78,70.78,65.05,65.05,74,74,1.65,1.65,20.17,20.17,38.75,38.75,14667.77,14603.02,34.83,34.83,186.5,186.5,-22.93,-22.93,-18.24,-18.24,-16.01,-16.01,-13.33,-13.33,-18.87,-19.08,-12.26,-12.26,-20.88,-20.64,-23.97,-23.97,-24.31,-24.31,-23.37,-23.37,-21.12,-21.12,-19.28,-19.28,-20.64,-20.64,-19.62,-19.62,8339.12,8302.3,828.98,825.32,0,0,27.91,28.05,9026.32,8986.47,9026.32,8986.47,4889.26,5167.22,-7.75,-7.75,224.79,224.79,60.78,60.78,24.76,24.76,46.17,46.17,91.24,91.24,0.84,0.84,62.29,62.29,12.78,12.78,67.47,67.47,573,573,84,84.9,118.45,119.26,91.58,91.58,13.71,13.71,3159.21,3444.82,108.39,107.76,46.57,46.57,90.9,91.01,-165.48,-168.14,0.83,0.83,93.79,93.79,379.39,379.39,-9,-9,122,122,44.3,44.31,-9.49,-9.49,1508.61,1513.08,0.18,0.18,17.58,17.15,7.37,7.36,16.73,16.73,3604.16,3604.16,0.55,0.54,41.29,41.29,71.58,71.58,-146.9,-146.9,93.65,93.65,125.43,125.43,67763.95,68063.92,52063.13,52293.6,85651,86031,11057.24,11008.43,1.89,1.87,-7.07,-7.07,658500000000,640800000000,6166.52,6125.75,0.94,0.98,152.89,152.94
