Nation,s0,f0,s1,f1,s2,f2,s4,f4,s5,f5,s6,f6,s7,f7,s8,f8,s9,f9,s10,f10,s11,f11,s12,f12,s13,f13,s14,f14,s15,f15,s16,f16,s17,f17,s18,f18,s19,f19,s20,f20,s21,f21,s22,f22,s23,f23,s24,f24,s25,f25,s26,f26,s27,f27,s28,f28,s29,f29,s30,f30,s31,f31,s32,f32,s33,f33,s34,f34,s35,f35,s36,f36,s37,f37,s38,f38,s39,f39,s40,f40,s41,f41,s42,f42,s43,f43,s44,f44,s45,f45,s46,f46,s47,f47,s48,f48,s49,f49,s50,f50,s51,f51,s52,f52,s53,f53,s54,f54,s55,f55,s56,f56,s57,f57,s58,f58,s59,f59,s60,f60,s61,f61,s62,f62,s63,f63,s64,f64,s67,f67,s68,f68,s69,f69,s70,f70,s71,f71,s72,f72,s73,f73,s74,f74,s75,f75,s77,f77,s78,f78,s79,f79,s85,f85,s87,f87,s88,f88
The 1st Kamchata Kingdom,4.33,3.67,8,8,1,1,1.08,1.08,32.06,32.05,45.34,45.34,711.21,711.87,95.67,96.33,11.25,9,316.09,316.39,-7.48,-7.48,-10,-10,-7.75,-7.75,-10.68,-10.68,-4,-4,1106.32,1107.35,-9.49,-9.49,316.09,316.39,474.14,474.58,790.23,790.96,790.23,790.96,-11.83,-11.83,-7.75,-7.75,0,0,410.92,379.66,1422.42,1423.73,17.2,17.2,1461.93,1463.28,1066.81,1067.8,1343.39,1344.64,513.65,514.13,13.96,13.96,92.58,92.58,15.09,15.09,11.54,11.43,1.28,1.26,35.99,36.1,46.97,46.97,1,1,50,50,110,110,70.25,70.27,90.19,91.06,70.23,70.24,46.16,46.38,1264.37,1265.54,104.32,104.58,-92,-92,72.42,72.46,-8.68,-8.72,31.2,30.34,91.04,91.09,11077.86,11233.33,-8,-8,64,64,75.19,75.28,790.23,790.96,696.73,696.56,0.2,0.2,12.74,11.57,9.68,9.68,18.33,18.33,649.06,649.06,1.88,1.88,8.84,8.62,45.27,45.27,-59.16,-59.16,-38.73,-38.73,111.2,111.2,15899.45,15882.55,15266.63,15250.41,16491,16474,1185.35,1186.45,2.29,2.29,671.7,672.32,3200000000,3100000000,4388.25,4367.7,17.63,17.66,7.66,7.66
Betelgeuse XII,72.67,72.11,75.05,75.05,74,74,1.55,1.55,19.92,19.92,48.04,48.04,14537.71,14537.68,32,32.83,209,209,-25.88,-25.88,-17.44,-17.44,-18.49,-18.49,-17.15,-17.15,-17.14,-17.14,-12.65,-12.65,-31.97,-31.97,-25.84,-25.84,-22.23,-22.23,-23.45,-23.45,-20.98,-20.98,-20.2,-20.2,-20.74,-20.74,-21.31,-21.31,-5.42,-5.42,-24,-24.04,0,0,30.53,30.53,11598.39,11598.37,15411.56,15411.53,6673.05,6673.03,1668.26,1668.26,32.69,32.69,64.53,64.53,19.27,19.27,41.39,39.45,94.23,94.14,0.82,0.82,60.56,60.56,9.3,9.3,52.91,52.91,418,418,81.32,81.32,130.7,130.86,91.75,91.75,16.32,16.04,2303.79,2303.79,143.6,143.6,41.57,41.57,77.49,77.49,-131.58,-131.56,0.53,0.52,95.14,95.17,393.42,398.88,6,6,108,108,42.63,42.66,1747.7,1747.7,1399.79,1400,0.14,0.14,113.29,113.29,8.32,8.32,17.79,17.79,3156.88,3156.88,0.63,0.63,38.68,38.96,75.8,75.8,-142.97,-142.97,69.5,69.5,106.51,106.51,74039.03,74038.91,58726.05,58725.96,91004,91004,15332.12,15332.09,1.94,1.94,1191.62,1191.61,897000000000,887600000000,16658.78,16658.75,0.44,0.44,135.84,135.84
Cosmo Kramerica,50.06,48.85,100,100,62.93,62.93,1.43,1.43,23.03,23.03,15.98,15.98,-4.47,-4.47,55.45,56.36,61.25,61,15428.58,15426.67,2904.2,2903.84,393.28,393.23,1270.59,1270.43,-2.79,-2.79,-5.29,-5.29,20631.95,20629.39,-10.61,-10.61,75.63,75.62,-7.75,-7.75,24504.22,24501.18,6292.44,6291.66,-3.16,-3.16,-8.31,-8.31,4840.34,4839.74,-6.99,-7.13,36453.8,36449.28,19.08,19.08,-15.81,-15.81,5142.86,5142.22,6504.21,6503.4,4613.45,4612.88,239.44,239.44,70.02,70.02,0.49,0.49,49.93,48.7,56.3,56.18,1.23,1.24,49.36,49.36,6.28,6.28,31.88,31.88,101,101,74.39,74.41,119.71,119.91,90.07,90.07,9.11,9.41,7260.51,7259.61,5.66,5.66,34.5,34.5,42.6,42.6,25.22,25.22,5.56,5.22,92.9,92.94,754.32,762.56,-8,-8,74,74,61.1,61.49,-17.61,-17.61,1074.44,1074.32,1.47,1.47,10.6,10.29,9.41,9.41,16.68,16.68,1001.38,1001.38,1.28,1.28,45.89,45.59,87.53,87.53,-113.27,-113.27,116.7,116.7,61.6,61.6,103870.65,103857.77,86042.11,86031.44,122881,122866,4008.41,4007.91,2.13,2.13,-16.43,-16.43,9295900000000,8147300000000,59621.76,59614.36,20.51,20.53,34.55,34.55
One piece gangsters SN,57.33,50.67,57.33,57.33,57.33,57.33,3.61,3.61,32.76,32.68,42,42,276.58,276.55,50,55,112.5,101.25,-8.37,-8.37,-4.38,-4.38,2950.21,2949.83,4794.1,4793.48,1843.88,1843.65,1563.61,1563.41,4425.32,4424.75,4115.55,4115.02,2212.66,2212.38,737.55,737.46,4425.32,4424.75,2212.66,2212.38,3318.99,3318.56,3687.77,3687.29,1843.88,1843.65,-5.29,-5.48,7375.54,7374.59,9.33,9.33,829.75,829.64,829.75,829.64,1106.33,1106.19,276.58,276.55,119.98,119.98,27.72,27.72,12,12,49.93,48.38,24.48,23.46,18,19.38,50,50,1,1,50,50,100,100,56.72,56.88,57.19,58.77,69.47,69.56,0.56,2.22,1106.33,1106.19,64.27,68.43,50,50,14.39,14.39,89.75,89.75,3.24,3,93.2,93.23,610.35,651.72,0,0,64,64,68.41,68.47,737.55,737.46,470.02,463.76,0.34,0.32,126.07,107.66,12.32,12.32,17.16,17.16,505.86,505.86,2.49,2.52,54.44,52.78,52.7,52.73,-53.85,-53.85,83.07,83.07,100.2,100.2,48733.86,48727.58,24488.16,24485,88355,88343,737.55,737.46,10.54,10.32,92.19,92.18,2100000000,2300000000,41716.19,41710.81,7.09,7.3,13.4,13.4
State Peace and Development Council,68.19,67.24,54.89,54.89,70,70,1.46,1.46,21.82,21.82,46.76,46.76,5357.73,5357.68,38.71,40.14,139.5,135,-8.6,-8.6,-5.22,-5.22,-4.88,-4.88,-8.63,-8.63,-12.9,-12.9,-6.45,-6.45,-14.83,-14.83,-16.52,-16.52,171.45,171.45,-9.7,-9.7,-13.56,-13.56,-8.89,-8.89,-5.83,-5.83,-15.3,-15.3,-2.62,-2.62,-13.33,-13.41,0,0,19.52,19.52,4071.87,4071.84,11251.23,11251.13,1714.47,1714.46,1178.7,1178.69,1052.22,1052.22,68.71,68.71,18.02,18.02,38.06,36.38,50.52,50.33,1.37,1.38,52.64,52.64,7.39,7.39,52.44,52.44,243,243,73.46,73.5,104.84,105.2,90.62,90.62,13.62,13.14,1821.63,1821.61,111.9,111.93,36.17,36.17,81.41,81.41,-37.56,-37.56,0.77,0.76,93.9,93.94,520.71,531.5,-8,-8,77,77,49.53,49.58,535.77,535.77,1201.29,1201.85,0.23,0.23,190.55,189.2,9.08,9.08,13.26,13.26,1575.83,1575.83,0.91,0.91,41.38,41.86,64.82,64.82,-62.21,-62.21,51.77,51.77,108.45,108.45,40997.33,40996.98,33620.53,33620.24,48933,48933,7929.44,7929.37,2.16,2.16,857.24,857.23,317500000000,308700000000,7625.5,7625.44,12.1,12.16,71.13,71.13
Ugg Lands,69.4,68.73,51.43,51.43,67.67,67.67,1.35,1.35,21.18,21.18,44.28,44.28,10188.44,10188.42,36.9,37.9,144,141.75,-23.19,-23.19,-12.9,-12.9,-15.17,-15.17,-12.2,-12.2,-18.38,-18.38,-9.76,-9.76,-17.44,-17.44,-21.87,-21.87,-19.34,-19.34,-18.11,-18.11,-21.63,-21.63,-17.03,-17.03,-16.67,-16.67,-21.28,-21.28,-8.52,-8.52,-24.17,-24.21,0,0,27.75,27.75,5530.87,5530.86,10333.99,10333.97,5821.97,5821.96,1455.49,1455.49,74.94,74.94,73.98,73.98,15.9,15.9,35.28,33.85,81.11,81,0.91,0.92,53.51,53.51,8.7,8.7,51.96,51.96,394,394,85.63,85.64,117.3,117.51,90.96,90.96,15.37,15.04,5967.52,5967.51,102.23,102.26,29.57,29.57,77.24,77.24,-122.06,-122.04,4.8,4.49,92.99,93.02,584.82,592.81,-2,-2,108,108,44.19,44.22,800.52,800.52,1426.65,1426.93,0.19,0.19,164.75,164.12,8.33,8.33,17.42,17.42,2915.35,2915.35,0.61,0.61,39.63,39.96,68.21,68.21,-147.04,-147.04,95.06,95.06,107.17,107.17,56036.43,56036.33,47792.26,47792.18,64603,64603,9242.37,9242.36,1.86,1.86,1528.27,1528.26,687900000000,680100000000,12776.3,12776.28,16.89,16.91,133.84,133.84
Workers Revolution,76.67,74.44,19.33,19.33,15,15,1.21,1.21,30.76,30.75,42,42,643.24,642.04,26,29.33,166.5,159.75,-6.32,-6.32,385.94,385.23,-10.2,-10.2,1608.09,1605.11,270.16,269.66,-6,-6,-5.48,-5.48,-3.87,-3.87,-7.48,-7.48,-3.16,-3.16,964.85,963.07,1929.71,1926.13,-5.48,-5.48,-8.94,-8.94,1415.12,1412.5,-3.77,-4.13,0,0,11.83,11.83,1125.66,1123.58,1608.09,1605.11,1447.28,1444.6,482.43,481.53,130.47,130.47,82.55,82.55,12,12,19.02,18.44,21.2,20.46,22.1,22.89,50,50,2.52,2.52,50,50,112,112,61.16,61.24,75.07,76.18,71.84,71.86,30.42,29.31,1125.66,1123.58,60.92,63.46,-80.67,-80.67,54.28,54.28,45.78,45.78,19.57,18.89,91.75,91.8,996.53,1097.49,0,0,62,62,76.95,77.04,804.05,802.56,517.61,528.53,0.36,0.35,223.91,210.98,9.67,9.67,17.11,17.11,605.67,605.67,2.3,2.26,24.58,25.69,46.82,46.83,-90,-90,53.85,53.85,102.24,102.24,20725.07,20686.67,18731.61,18696.91,22692,22650,643.24,642.04,3.35,3.32,482.43,481.53,2192600000000,2057400000000,9471.36,9453.81,6.29,6.44,7.44,7.44
Beth Phoenixxx,47.11,42.67,20.5,20.5,76.67,76.67,1.23,1.23,28.73,28.71,45.83,45.83,694.07,694.45,57.67,61,96.75,87.75,-7.62,-7.62,761.5,761.91,3212.56,3214.29,475.94,476.19,-7.35,-7.35,5031.43,5034.14,444.21,444.45,49.58,49.6,-7.35,-7.35,237.97,238.1,-6.93,-6.93,1784.76,1785.72,2221.03,2222.23,39.66,39.68,1185.87,1186.51,1031.19,992.07,3656.77,3658.74,17.46,17.46,2181.37,2182.54,1685.6,1686.51,1090.68,1091.27,594.92,595.24,977.25,977.25,81.55,81.55,17.01,17.01,39.21,37.97,29.06,28.45,7.14,9.29,51.62,51.62,2.52,2.52,51.96,51.96,109,109,69.71,69.78,106.34,106.66,75,75.04,20.97,22.08,991.53,992.07,112.1,112.94,-79.5,-79.5,62.52,62.57,3.37,3.33,0.73,0.73,94.04,94.07,722.2,752.01,0,0,69,69,76.76,76.85,892.38,892.86,1043.46,1042.61,0.22,0.22,100.35,87.17,9.35,9.35,13.6,13.6,617.47,617.47,1.4,1.41,34.03,32.92,49.26,49.27,76.16,76.16,47.96,47.96,100.62,100.62,33254.39,33232.62,29862.77,29843.22,36621,36597,1288.99,1289.69,2.32,2.31,892.38,892.86,28600000000,26400000000,12470.4,12429,7.33,7.49,13.43,13.43
Nikolia,64,62.89,97.37,97.37,79.33,79.33,1.54,1.54,20.02,20.02,38.75,38.75,10507.54,10507.45,45,45.83,157.75,157.75,-18.38,-18.38,-11.59,-11.59,-12.63,-12.63,-12.44,-12.44,-17.81,-17.81,-10.16,-10.16,-17.83,-17.83,-22.88,-22.88,-13.64,-13.64,-21.4,-21.4,-21.17,-21.17,-16.37,-16.37,-15.43,-15.43,-19.21,-19.21,5443.49,5443.45,-6.51,-6.66,0,0,26.57,26.57,4713.66,4713.62,13649.98,13649.87,5499.27,5499.23,6284.88,6284.83,1698.53,1698.53,64.87,64.87,15.09,15.09,49.92,47.98,66.68,66.58,1.07,1.07,56.34,56.34,12.19,12.19,54.76,54.76,372,372,72.25,72.25,115.76,115.97,91.68,91.68,14.77,14.49,6677.69,6677.63,99.65,99.65,41.12,41.12,88.1,88.1,-117.99,-117.99,4.44,4.14,93.03,93.07,429.81,435.52,8,8,105,105,47.96,48,2356.83,2356.81,1312.71,1312.93,0.2,0.2,47.66,47.66,7.67,7.67,10.52,10.52,2397.19,2397.19,0.73,0.73,40.23,40.51,89.33,89.33,-120.84,-120.84,66.48,66.48,105.16,105.16,77488.66,77488.06,61634.33,61633.85,95010,95009,10212.93,10212.85,2.2,2.2,1865.82,1865.81,1093300000000,1066100000000,9221.15,9221.08,13.13,13.13,131.65,131.65
Caffeinneburg,60.11,59,68.29,68.29,36.38,36.38,1.35,1.35,20.89,20.89,40.78,40.78,7853.15,7853.11,47.92,48.75,193.25,193,-29.15,-29.15,-21.91,-21.91,-20.25,-20.25,-22.05,-22.05,-21.93,-21.93,-15.1,-15.1,-27.5,-27.5,-26.69,-26.69,-26.4,-26.4,-26.83,-26.83,-20.25,-20.25,-20.02,-20.02,-23.02,-23.02,-31.37,-31.37,-23.47,-23.47,-33.95,-33.99,0,0,20.74,20.74,1346.25,1346.25,9760.34,9760.29,5048.45,5048.43,-13.42,-13.42,3.19,3.19,74.09,74.09,0.82,0.82,28.08,27.02,70.93,70.83,1.01,1.02,61.07,61.07,10.55,10.55,32.53,32.53,511,511,85.15,85.16,105.88,106.21,91.13,91.13,13.72,13.44,19632.88,19632.77,5.58,5.58,29.43,29.43,24.47,24.46,56.97,56.99,6.25,5.88,92.82,92.86,920.42,928.77,4,4,109,109,55.2,55.31,-18.44,-18.44,1497.72,1497.96,7.95,7.95,104.76,104.26,5.71,5.71,90.7,90.7,3509.02,3509.02,0.55,0.55,41.28,41.56,70.89,70.89,-26.18,-26.18,-180.31,-180.31,79.01,79.01,48240.78,48240.53,41177.81,41177.6,55575,55575,4599.7,4599.68,1.87,1.87,-15.81,-15.81,980100000000,958000000000,36421.79,36421.6,16.2,16.22,139.31,139.31
