Nation,s0,f0,s1,f1,s2,f2,s4,f4,s5,f5,s6,f6,s7,f7,s8,f8,s9,f9,s10,f10,s11,f11,s12,f12,s13,f13,s14,f14,s15,f15,s16,f16,s17,f17,s18,f18,s19,f19,s20,f20,s21,f21,s22,f22,s23,f23,s24,f24,s25,f25,s26,f26,s27,f27,s28,f28,s29,f29,s30,f30,s31,f31,s32,f32,s33,f33,s34,f34,s35,f35,s36,f36,s37,f37,s38,f38,s39,f39,s40,f40,s41,f41,s42,f42,s43,f43,s44,f44,s45,f45,s46,f46,s47,f47,s48,f48,s49,f49,s50,f50,s51,f51,s52,f52,s53,f53,s54,f54,s55,f55,s56,f56,s57,f57,s58,f58,s59,f59,s60,f60,s61,f61,s62,f62,s63,f63,s64,f64,s67,f67,s68,f68,s69,f69,s70,f70,s71,f71,s72,f72,s73,f73,s74,f74,s75,f75,s77,f77,s78,f78,s79,f79,s85,f85,s87,f87,s88,f88
Tinell,75.83,75.83,16.5,16.5,75.33,72,1.29,1.29,30.66,30.63,44.83,44.83,788.47,788.27,27.25,27.25,164.25,164.25,-8.83,-8.83,-6.2,-6.2,2189.17,2188.62,311.68,311.6,1261.55,1261.24,2137.22,2136.69,1372.87,1372.53,742.09,741.91,946.17,945.93,593.67,593.52,2634.42,2633.76,2244.82,2244.26,408.15,408.05,1150.24,1149.95,-3.92,-3.92,808.88,808.68,3562.03,3561.15,14.7,14.7,1576.94,1576.55,927.61,927.38,463.81,463.69,602.95,602.8,1207.99,1207.99,77.33,77.33,17.36,17.36,33.8,32.6,33.97,33.13,2.45,2.61,51.62,51.62,1,1,53.38,53.38,146,146,67.53,67.63,100.84,98.83,71.98,72.02,28.02,26.35,834.85,834.64,65.68,65.87,-87.5,-87.5,44.66,44.66,35.16,35.16,0.76,0.86,93.94,93.77,552.78,592.18,-8,-8,67,67,75.98,75.98,510.19,510.06,1044.68,1048.62,0.42,0.42,246.64,246.46,9.78,9.78,12.56,12.56,861.26,861.26,1.4,1.38,26.98,28.65,47.56,47.57,61.73,61.73,45.72,45.72,108.45,108.45,28977.15,28969.93,25300.95,25294.64,32719,32710,973.99,973.75,2.44,2.44,371.05,370.95,211500000000,200300000000,16024.37,16020.37,12.68,12.68,12.58,12.58
Rinchan,90,90,56,56,82,78.67,4.36,4.36,33.61,33.52,45.34,45.34,-7.07,-7.07,10,10,202.5,202.5,3969.94,3972.24,1787.22,1788.26,5093.51,5096.46,5393.13,5396.25,1872.61,1873.7,1541.53,1542.43,681.63,682.03,-7.42,-7.42,599.24,599.58,1348.28,1349.06,2471.85,2473.28,157.3,157.39,1348.28,1349.06,1348.28,1349.06,4569.18,4571.83,6238.01,6185.42,9745.08,9750.73,6.32,6.32,1591.72,1592.64,655.41,655.79,-6.32,-6.32,-5.48,-5.48,8.92,8.92,22.94,22.94,16.29,16.29,66.68,64.31,40.6,39.83,1.78,1.83,53.09,53.09,1,1,51.48,51.48,101,101,55.18,55.35,48.25,47.62,68.63,68.71,26.18,24.52,187.26,187.37,53.95,54.29,55,55,7.56,7.57,107.83,107.8,0.7,0.71,94.17,94.13,144.56,165.04,0,0,64,64,69.69,69.68,0,0,312.92,329.63,1.48,1.46,359.67,359.46,11.95,11.95,27,27,423.53,423.53,4.19,3.8,28.82,30.48,53.08,53.11,-36.06,-36.06,90,90,98.34,98.34,47117.9,47089.03,21331.99,21318.91,92985,92928,1310.83,1311.59,12.44,12.25,-5.48,-5.48,57100000000,57800000000,43536.94,43510.26,1.24,1.24,13.02,13.02
Kalevasi,57,57,44,44,8,6,2.59,2.59,30.64,30.59,42,42,799.71,800.47,50.25,50.25,112.5,112.5,-5.29,-5.29,2974.93,2977.76,-5.29,-5.29,-4.47,-4.47,671.76,672.4,767.72,768.45,-4.24,-4.24,2099.24,2101.24,-6.48,-6.48,-4.24,-4.24,79.97,80.05,5278.1,5283.13,479.83,480.28,79.97,80.05,6317.73,6323.74,2340.56,2246.73,0,0,9.8,9.8,1399.5,1400.83,1099.6,1100.65,1699.39,1701.01,499.82,500.3,12.84,12.84,38.6,38.6,12,12,22.08,20,18.48,18,24.85,25.29,50,50,1,1,50,50,132,132,59.56,59.77,64.37,64.68,72,72.08,17.97,18.64,1299.53,1300.77,60.18,60.76,40,40,26.6,26.66,74.79,74.74,24.66,26.22,91.43,91.33,1366.23,1449.32,-4,-4,64,64,63.97,63.97,499.82,500.3,671.68,681.12,0.37,0.37,95.24,95.13,10.12,10.12,18.75,18.75,783.16,783.16,1.92,1.9,37.03,36.36,51.89,51.92,-33.17,-33.17,-17.32,-17.32,102.62,102.62,35164.75,35102.17,21168.83,21131.16,54837,54740,999.64,1000.59,4.92,4.51,-3.16,-3.16,3172900000000,3030300000000,25810.93,25729.89,13.61,13.61,15.83,15.83
Krieger Republics,48,48,71.5,71.5,5,4,6.66,6.66,32.95,32.85,38.75,38.75,922.33,922.3,57,57,96.75,96.75,-11.92,-11.92,-3.1,-3.1,-1.41,-1.41,1885.65,1885.59,1311.75,1311.71,20286.28,20285.64,2377.56,2377.48,-7.35,-7.35,-11.75,-11.75,2787.48,2787.39,-3.46,-3.46,3197.4,3197.3,3197.4,3197.3,-7.87,-7.87,-8.72,-8.72,2623.51,2623.43,2377.56,2377.48,10.25,10.25,-3.16,-3.16,922.33,922.3,2357.06,2356.98,922.33,922.3,7.95,7.95,15.01,15.01,8.23,8.23,25.92,24.9,10.13,9.74,30.81,31,46.97,46.97,1,1,50,50,118,118,56.71,56.98,48.77,49.89,69.27,69.37,22.69,23.02,2357.06,2356.98,41.73,42.26,64.25,64.25,17.21,17.21,87.28,87.28,27.02,27.84,91.28,91.24,956.22,966.43,-8,-8,64,64,71.01,71.01,819.85,819.82,446.97,458.35,0.41,0.41,60.81,60.73,9.7,9.7,32.47,32.47,693.36,693.36,2.6,2.55,32.31,31.98,56.81,56.84,-54.77,-54.77,53.85,53.85,104.46,104.46,55314.23,55312.48,19745.25,19744.63,131574,131570,819.85,819.82,10.55,10.17,-6.32,-6.32,14500000000,15700000000,45800.18,45798.73,16.04,16.04,30.51,30.51
Cosmo Kramerica,49.09,49.09,100.02,100.02,56.53,53.87,1.37,1.37,22.32,22.32,15.98,15.98,1712.17,1712.15,56.18,56.18,61,61,12140.83,12140.69,2241.38,2241.36,-2.65,-2.65,435.82,435.82,-4.84,-4.84,-10.77,-10.77,21230.89,21230.64,-15.49,-15.49,-4.74,-4.74,-13.42,-13.42,21479.93,21479.68,5665.72,5665.66,-5.48,-5.48,-16.7,-16.7,4171.46,4171.42,-10.08,-10.08,33371.72,33371.33,20.74,20.74,-16.12,-16.12,6303.89,6303.82,7237.8,7237.72,5447.81,5447.75,239.44,239.44,73.22,73.22,0.49,0.49,40.55,39.74,57.64,57.38,1.21,1.21,49.36,49.36,7.03,7.03,31.88,31.88,179,179,77.18,77.31,121.64,121.45,90.38,90.38,9.5,10.16,8016.06,8015.97,5.65,5.65,30.5,30.5,57.01,57.01,-4.64,-4.64,5.84,6.58,92.87,92.79,842.97,862.21,-8,-8,74,74,53.1,53.1,-17.61,-17.61,1163.3,1164.12,1.19,1.18,10.35,10.32,9.27,9.27,16.68,16.68,1496.02,1496.02,1,1,45.5,44.84,88.04,88.04,-115.39,-115.39,113.54,113.54,60.89,60.89,100831.16,100829.99,85530.91,85529.92,116807,116806,4747.38,4747.32,2.04,2.04,-16.73,-16.73,4352100000000,4244000000000,43357.4,43356.9,21.02,21.02,45.85,45.85
State Peace and Development Council,67.43,67.43,68.78,68.78,60,53.33,1.39,1.39,21.1,21.1,46.76,46.76,8151.7,8151.69,39.86,39.86,137.25,137.25,-13.93,-13.93,-6.57,-6.57,-6.15,-6.15,-9.3,-9.3,-12.28,-12.28,-11.38,-11.38,-14.83,-14.83,-20.01,-20.01,-3,-3,-14.63,-14.63,-17.44,-17.44,-9.95,-9.95,-7.35,-7.35,-21.07,-21.07,-4.08,-4.08,-15.18,-15.18,0,0,21.12,21.12,4075.85,4075.84,12998.66,12998.64,2533.64,2533.63,2203.16,2203.16,1052.22,1052.22,71.88,71.88,18.02,18.02,26.67,25.4,51.49,50.81,1.35,1.36,52.64,52.64,8.06,8.06,52.44,52.44,321,321,76.11,76.2,106.96,106.19,91,91,10.6,10.94,2643.79,2643.79,111.44,111.5,32.17,32.17,67.84,67.84,-29.7,-29.7,1.16,1.81,93.63,93.45,657.54,700.45,-8,-8,77,77,49.01,49.01,550.79,550.79,1268.78,1269.36,0.22,0.21,190.14,189.99,8.99,8.99,13.26,13.26,2023.68,2023.68,0.79,0.79,44.4,44.06,68.48,68.48,-69.07,-69.07,53.67,53.67,108.14,108.14,49130.52,49130.44,41268.01,41267.94,57412,57412,9032.97,9032.95,2.07,2.07,771.11,771.11,341800000000,339800000000,15820.03,15820,12.79,12.79,86.53,86.53
Ugg Lands,68.87,68.87,67.43,67.43,65,63.78,1.3,1.3,20.47,20.47,44.28,44.28,13106.07,13106.06,37.7,37.7,141.75,141.75,-25.65,-25.65,-13.51,-13.51,-15.81,-15.81,-12.68,-12.68,-17.96,-17.96,-13.54,-13.54,-17.44,-17.44,-24.62,-24.62,-20.15,-20.15,-21.17,-21.17,-24.25,-24.25,-17.61,-17.61,-17.26,-17.26,-25.75,-25.75,-9.07,-9.07,-25.24,-25.24,0,0,28.9,28.9,5993.63,5993.62,12386.83,12386.82,6952.61,6952.6,2317.54,2317.53,74.94,74.94,76.8,76.8,15.9,15.9,26.93,26.54,82.8,82.62,0.9,0.9,53.51,53.51,9.3,9.3,51.96,51.96,472,472,87.97,88.09,119.38,119.21,91.38,91.38,14.93,14.38,7112.44,7112.43,100.99,101.26,26.14,26.14,78.19,78.19,-134.03,-134.03,4.8,5.34,92.99,92.92,652.2,666.3,-2,-2,108,108,43.33,43.33,879.07,879.06,1476.81,1477.94,0.18,0.18,164.37,164.23,8.24,8.24,17.42,17.42,3311.04,3311.04,0.57,0.57,40.07,40.62,71.96,71.96,-151.47,-151.47,96.16,96.16,106.84,106.84,66729.05,66729.01,58050.01,58049.97,75591,75591,10788.53,10788.52,1.82,1.82,1598.3,1598.3,780600000000,776800000000,14546.93,14546.92,17.45,17.45,136.84,136.84
Turmissia,72.83,72.83,21.83,21.83,75.33,72,1.39,1.39,31.86,31.82,39.43,39.43,2213.65,2212.32,31.75,31.75,155.25,155.25,-6.93,-6.93,2533.78,2532.25,-6.48,-6.48,-8.83,-8.83,-5.9,-5.9,-7.16,-7.16,88.55,88.49,-7.14,-7.14,544.9,544.57,-10.39,-10.39,-13.71,-13.71,-10.15,-10.15,68.11,68.07,-11.31,-11.31,2758.55,2756.89,-10.87,-10.94,88.55,88.49,13,13,170.28,170.18,1191.97,1191.25,1362.25,1361.43,595.98,595.62,1078.45,1078.45,72.15,72.15,13,13,43.28,41.68,31.92,31.04,2.93,3.25,47.8,47.8,1,1,52.44,52.44,168,168,64.15,64.26,103.43,102.34,70.46,70.51,23.32,21.66,2043.37,2042.14,45.92,46.07,-78.17,-78.17,66.55,66.55,35.68,35.68,0.76,0.86,93.94,93.77,515.98,554.07,-8,-8,67,67,76.61,76.61,936.54,935.98,1058.5,1062.03,0.43,0.43,226.36,226.2,9.88,9.88,13.14,13.14,1042.91,1042.91,1.34,1.33,31.68,33.34,47.11,47.13,35.36,35.36,-57.88,-57.88,105.5,105.5,21265.36,21252.56,17897.46,17886.69,24806,24792,936.54,935.98,2.75,2.73,255.42,255.27,675500000000,665200000000,7123.9,7119.61,15.14,15.14,17.39,17.39
Etruriia,53,53,21.75,21.75,65.33,60,1.59,1.59,32.07,32.03,43,43,925.33,925.59,53.25,53.25,105.75,105.75,-9.7,-9.7,721.76,721.96,601.47,601.63,-7.48,-7.48,-6.32,-6.32,3923.42,3924.5,3331.2,3332.12,-11.42,-11.42,-2.45,-2.45,138.8,138.84,2220.8,2221.41,1688.73,1689.2,1989.47,1990.02,-10.68,-10.68,1202.93,1203.27,1166.73,1132.34,3932.67,3933.75,11.4,11.4,347,347.1,867.5,867.74,983.17,983.44,462.67,462.79,32.69,32.69,62.89,62.89,13.62,13.62,36.26,34.67,25.55,24.56,16.37,17.88,51,51,1,1,50.5,50.5,135,135,63.04,63.15,99.06,97.26,70.22,70.26,13.4,11.73,1098.83,1099.14,56.41,56.58,21.75,21.75,27.72,27.75,65.85,65.82,1.81,2.77,93.45,93.27,826.02,874.03,-8,-8,64,64,53.58,53.58,578.33,578.49,1029.74,1034.4,0.33,0.33,181.82,181.67,9.46,9.46,17.79,17.79,814.8,814.8,1.46,1.44,41.6,43.27,47.29,47.31,58.31,58.31,-45.83,-45.83,106.84,106.84,30675.64,30649.36,23998.72,23978.17,38163,38130,578.33,578.49,2.9,2.88,115.67,115.7,397000000000,393500000000,22178.48,22128.84,13.84,13.84,12.35,12.35
Nikolia,63.11,63.11,97.87,97.87,77.05,76.1,1.49,1.49,19.7,19.7,38.75,38.75,12658.32,12658.28,45.67,45.67,157.75,157.75,-21.4,-21.4,-12.26,-12.26,-13.18,-13.18,-12.92,-12.92,-17.37,-17.37,-13.83,-13.83,-17.83,-17.83,-25.51,-25.51,-14.7,-14.7,-24.04,-24.04,-23.83,-23.83,-16.97,-16.97,-16.06,-16.06,-24.06,-24.06,4049.89,4049.88,-9.75,-9.75,0,0,27.77,27.77,4541.53,4541.52,14687.51,14687.47,6087.59,6087.57,7053.87,7053.85,1698.53,1698.53,67.18,67.18,15.09,15.09,39.53,39.13,68.14,67.97,1.05,1.05,56.34,56.34,12.67,12.67,54.76,54.76,450,450,75.07,75.22,118.01,117.87,91.9,91.91,14.41,13.94,7247.13,7247.11,98.45,98.8,38.12,38.12,90.56,90.56,-141.7,-141.7,4.27,4.7,93.05,93,479.63,489.99,8,8,105,105,46.41,46.41,2319.08,2319.07,1367.05,1368.33,0.19,0.19,47.79,47.72,7.62,7.62,10.52,10.52,2808.4,2808.4,0.66,0.66,40.59,41.06,89.76,89.76,-126.09,-126.09,68.58,68.58,104.81,104.81,79552.21,79551.99,64463.02,64462.83,95958,95957,10822.38,10822.35,2.1,2.1,1739.31,1739.31,983400000000,972400000000,7477.91,7477.89,13.76,13.76,134.73,134.73
