Nation,s0,f0,s1,f1,s2,f2,s4,f4,s5,f5,s6,f6,s7,f7,s8,f8,s9,f9,s10,f10,s11,f11,s12,f12,s13,f13,s14,f14,s15,f15,s16,f16,s17,f17,s18,f18,s19,f19,s20,f20,s21,f21,s22,f22,s23,f23,s24,f24,s25,f25,s26,f26,s27,f27,s28,f28,s29,f29,s30,f30,s31,f31,s32,f32,s33,f33,s34,f34,s35,f35,s36,f36,s37,f37,s38,f38,s39,f39,s40,f40,s41,f41,s42,f42,s43,f43,s44,f44,s45,f45,s46,f46,s47,f47,s48,f48,s49,f49,s50,f50,s51,f51,s52,f52,s53,f53,s54,f54,s55,f55,s56,f56,s57,f57,s58,f58,s59,f59,s60,f60,s61,f61,s62,f62,s63,f63,s64,f64,s67,f67,s68,f68,s69,f69,s70,f70,s71,f71,s72,f72,s73,f73,s74,f74,s75,f75,s77,f77,s78,f78,s79,f79,s85,f85,s87,f87,s88,f88
Blandinatopia,90.67,91.33,73.33,68.89,25,25,8.37,6.07,32.07,31.62,44.83,44.83,-4.47,-4.47,9.33,8.67,204.75,207,393.21,382.79,1651.49,1607.73,-2.9,-2.9,-5.66,-5.66,4816.84,4689.21,-3.58,-3.58,983.03,956.98,1105.91,1076.6,-4.69,-4.69,3342.3,3253.73,393.21,382.79,3293.15,3205.89,884.73,861.28,4816.84,4689.21,2801.63,2727.4,-2.97,-2.97,1376.24,1339.77,8.54,8.54,2211.82,2153.21,983.03,956.98,614.39,598.11,0,0,1165.08,1165.08,11.95,16.49,17.36,17.36,41.52,39.42,26.99,27.11,13.77,13.5,51.62,51.62,1,1,53.38,53.38,110,110,55.48,56.28,37.49,42.5,70.22,70.74,28.78,26.78,860.15,837.36,41.71,42.75,69,62.33,15.24,15.81,92.73,91.02,13.35,13.35,92.19,92.19,360.83,399.35,0,0,67,67,71.03,70.1,122.88,119.62,494.87,531.96,1.48,1.39,362.57,369.09,12.91,12.33,12.75,12.75,541.72,541.72,2.38,2.25,26.22,28.22,57.48,56.31,25.1,25.1,-32.4,-32.4,98.83,98.83,46644.73,45408.74,14619.99,17094.17,122374,103681,1351.67,1315.85,12.09,11.12,-4.47,-4.47,6500000000,18900000000,39554.74,38234.16,2.06,2.02,20.75,18.63
Betelgeuse XII,72.11,72.33,75.05,74.19,74,74,1.55,1.53,19.92,19.91,48.04,48.04,14618.24,14618.28,32.83,32.5,209,209,-25.96,-25.96,-17.53,-17.53,-18.6,-18.6,-17.22,-17.22,-17.44,-17.44,-12.71,-12.71,-31.87,-31.87,-25.89,-25.89,-22.32,-22.32,-23.54,-23.54,-21.07,-21.07,-20.3,-20.3,-20.83,-20.83,-21.4,-21.4,-5.6,-5.6,-24.27,-24.27,0,0,30.69,30.69,11536.55,11536.59,15329.39,15329.44,6953.54,6953.56,1659.37,1659.37,32.69,32.69,64.53,65.51,19.27,19.27,37.46,36.92,94.14,94.17,0.82,0.82,60.56,60.56,9.3,9.3,52.91,52.91,424,424,82.25,82.29,131.67,131.82,91.75,91.76,16.04,16.58,2607.58,2607.58,143.31,143.32,41.57,40.29,77.79,77.81,-134.15,-134.36,0.52,0.52,95.2,95.2,398.88,405.17,6,6,108,108,42.68,42.58,1738.38,1738.39,1408,1407.9,0.13,0.13,112.32,112.32,8.31,8.3,17.79,17.79,3186.91,3186.91,0.62,0.62,38.96,38.42,75.8,75.58,-143.23,-143.23,68.69,68.69,106.51,106.51,74434.48,74434.7,59039.71,59516.01,91490,90846,15250.38,15250.42,1.92,1.92,1185.26,1185.27,847600000000,865900000000,16524.45,16524.5,0.44,0.44,136.22,136.07
Roulette 1,57.33,61.33,57.33,48.44,57.33,57.33,3.61,2.91,32.81,32.64,42,42,324.17,301.18,50,47,112.5,119.25,-8.37,-8.37,3047.21,2831.07,864.46,803.14,-3.16,-3.16,0,0,3522.66,3272.8,-4.47,-4.47,4365.51,4055.86,2593.37,2409.42,5186.74,4818.84,432.23,401.57,4322.29,4015.7,1728.91,1606.28,864.46,803.14,864.46,803.14,1383.13,1285.03,864.46,803.14,9.33,9.33,972.51,903.53,972.51,903.53,1296.69,1204.71,324.17,301.18,119.98,119.98,27.72,34.4,12,12,49.93,46.46,22.39,23.02,20.73,19.95,50,50,1,1,50,50,100,100,56.72,57.4,57.19,62.55,69.42,69.59,0.56,3.78,1296.69,1204.71,73.69,73.08,50,43.33,20.88,21.45,82.57,80.86,3.24,3.24,93.2,93.2,610.35,640.56,0,0,64,64,67.97,66.62,864.46,803.14,498.71,497.08,0.32,0.33,126.07,137.81,11.15,10.55,17.16,17.16,503.93,503.93,2.37,2.37,54.44,51.22,52.68,51.41,33.17,33.17,-10,-10,100.2,100.2,41602,38651.15,20904.49,21857.45,75425,63532,864.46,803.14,10.54,9.56,108.06,100.39,1200000000,2300000000,32907.18,30379.81,7.09,6.95,15.68,14.01
Bocchi175,57.33,61.33,57.33,48.44,57.33,57.33,3.61,2.91,32.79,32.61,42,42,302.36,281.68,50,47,112.5,119.25,1209.45,1126.72,4990.99,4649.58,0,0,806.3,751.14,0,0,-4.31,-4.31,2015.75,1877.86,-2.74,-2.74,3225.2,3004.58,-4.47,-4.47,-5.48,-5.48,-4.47,-4.47,4434.64,4131.29,3225.2,3004.58,3225.2,3004.58,6626.84,5921.89,3225.2,3004.58,9.33,9.33,907.09,845.04,907.09,845.04,1209.45,1126.72,302.36,281.68,119.98,119.98,27.72,34.4,12,12,49.93,46.46,24.1,24.7,18.54,17.68,50,50,1,1,50,50,100,100,56.72,57.4,57.19,62.55,69.44,69.62,0.56,3.78,1209.45,1126.72,65.27,64.7,50,43.33,17.96,18.66,85.44,83.59,3.24,3.24,93.2,93.2,610.35,640.56,0,0,64,64,68.15,66.83,806.3,751.14,565.19,563.45,0.33,0.33,126.07,137.81,11.5,10.91,17.16,17.16,522.02,522.02,2.15,2.16,54.44,51.22,52.69,51.42,-37.42,-37.42,37.42,37.42,100.2,100.2,44591.42,41289.5,22406.64,23349.45,80845,67869,806.3,751.14,10.54,9.56,100.79,93.89,116800000000,175900000000,36564.97,33568.37,7.09,6.95,13.7,12.24
Mystic Skull,39.88,40.61,96.71,96.61,28.76,28.76,2.27,2.19,23.02,22.95,28.47,28.47,6311.42,6311.85,63.09,62.55,31.25,31.5,-11.75,-11.75,-9.3,-9.3,-7.39,-7.39,-4.1,-4.1,-8.32,-8.32,-5.59,-5.59,1842.49,1842.62,-9.41,-9.41,686.51,686.55,-11.75,-11.75,-13.71,-13.71,-9.8,-9.8,-2.83,-2.83,-6.16,-6.16,4640.78,4641.09,1547.69,1547.8,1842.49,1842.62,23.28,23.28,0,0,5868.52,5868.92,9190.32,9190.94,6311.42,6311.85,44.99,44.99,43.98,45.72,1.23,1.23,47.52,46.4,42.14,42.23,1.69,1.69,51.62,51.62,8.7,8.7,48.04,48.04,233,233,77.85,77.93,97.14,98.78,90.08,90.1,15.56,14.47,9522.5,9523.15,71.72,71.9,61.17,58.43,83.65,83.7,-82.2,-82.66,51.28,51.28,87.67,87.67,815.19,835.94,-6,-6,83,83,52.84,52.21,3211.08,3211.29,1222.62,1223.82,0.18,0.18,80.87,81.74,9.1,9.07,17.66,17.66,1558,1558,0.87,0.87,39.44,40.53,82.18,81.52,-106.54,-106.54,88.99,88.99,108.45,108.45,68731.36,68736.04,44396.13,45335.5,100947,99165,7529.42,7529.93,2.02,2.02,2546.71,2546.89,320800000000,380500000000,11271.94,11203.97,19.06,19.04,105.67,104.63
Let mein,79.17,79.5,40.22,37.56,54.67,54.67,1.51,1.47,28.27,28.25,42,42,980.61,959.6,22.25,21.75,175.5,177.75,-6.93,-6.93,2918.29,2855.78,329.48,322.43,4000.89,3915.18,2667.26,2610.12,-3.9,-3.9,2431.91,2379.81,-9.41,-9.41,-7.75,-7.75,-9.9,-9.9,78.45,76.77,-9.38,-9.38,-5.29,-5.29,1647.42,1612.13,-6.63,-6.63,-8.76,-8.81,2761.4,2702.24,11.36,11.36,1274.79,1247.48,2451.52,2399,1372.85,1343.44,392.24,383.84,119.98,119.98,66.37,67.92,12,12,39.72,38.72,27.55,27.64,12.49,12.25,50,50,3.3,3.3,50,50,126,126,60.36,60.44,83.01,84.41,75.85,75.88,14.67,15.5,1372.85,1343.44,55.58,55.45,37.17,35.17,39.65,39.76,57.22,56.88,3.24,3.24,93.2,93.2,509.76,520.98,0,0,62,62,62.28,58.94,784.49,767.68,789.5,786.32,0.43,0.43,243.43,248.02,9.72,9.7,17.16,17.16,706.48,706.48,1.75,1.75,40.33,39.5,51.92,51.49,-70.57,-70.57,73.48,73.48,101.85,101.85,33219.14,32507.48,26746.09,26496.56,40297,39009,588.37,575.76,3.75,3.7,490.3,479.8,1537600000000,2272300000000,20064.36,19569.5,6.09,6.04,10.12,9.78
NPOs Fist,74,75.33,24.83,24.83,2,2,1.28,1.28,29.92,29.93,42,42,1531.02,1531.32,30,28,157.5,162,-13.49,-13.49,-11.03,-11.03,-10.1,-10.1,-4.38,-4.38,-7.43,-7.43,12789.63,12792.15,-11.05,-11.05,-16.93,-16.93,-12.57,-12.57,-7.87,-7.87,-7.87,-7.87,-7.21,-7.21,-12.73,-12.73,-12.73,-12.73,-13.42,-13.42,-11.21,-11.18,0,0,12.81,12.81,886.38,886.55,1692.18,1692.51,1531.02,1531.32,805.8,805.96,141.46,141.46,77.88,77.88,12,12,14.24,14.24,20.62,21.06,22.73,22.25,50,50,2.52,2.52,50,50,138,138,61.45,61.4,72.78,72.59,73.05,73.03,31.39,32.06,1047.54,1047.74,70.7,69.07,-75.17,-75.17,53.63,53.63,40.74,40.74,29.5,29.5,91.14,91.14,1403.81,1322.91,0,0,64,64,76.55,76.55,966.96,967.15,687.58,680.39,0.34,0.35,210.43,219,9.26,9.26,17.06,17.06,865.67,865.67,1.89,1.9,23.61,22.94,49.87,49.86,-74.43,-74.43,20.98,20.98,101.04,101.04,26004.72,26009.85,22791.86,22796.36,29264,29269,1611.6,1611.91,3.25,3.27,241.74,241.79,15385700000000,15493500000000,12066.19,12068.57,6.32,6.22,11.57,11.57
Clone Commander Wolffe,65.78,66.44,22.67,21.17,67.56,67.56,1.25,1.23,28.36,28.37,45.34,45.34,549.18,537.18,42.33,41.33,130.5,132.75,1405.91,1375.19,1941.47,1899.05,659.02,644.62,123.02,120.33,659.02,644.62,-1.55,-1.55,746.89,730.57,1818.02,1778.3,-9,-9,2723.95,2664.44,2064.93,2019.81,2218.7,2170.23,2064.93,2019.81,966.56,945.44,1845.26,1804.94,98.41,96.26,2811.82,2750.38,15.52,15.52,1482.8,1450.4,2086.9,2041.3,1537.71,1504.12,549.18,537.18,42.28,42.28,79.7,80.98,15.51,15.51,34.72,33.79,31.04,31.22,3.25,3.18,51,51,3.3,3.3,50.5,50.5,105,105,69.09,69.13,106.67,106.95,75.68,75.66,15.68,16.52,1702.47,1665.27,71.43,70.73,22.67,21.17,51.95,52.03,24.66,24.41,1.13,1.13,93.64,93.64,688.67,693,-4,-4,62,62,51.26,51.08,768.86,752.06,899.07,894.08,0.31,0.31,163.31,163.94,9.69,9.68,17.69,17.69,524.85,524.85,1.63,1.63,39.32,38.48,50.12,49.89,-5.48,-5.48,39.12,39.12,107.17,107.17,32878.98,32160.59,29171.23,28773.87,36599,35533,1153.29,1128.09,2.35,2.35,659.02,644.62,128500000000,150800000000,15814.79,15437.09,14.59,14.57,8.97,8.84
FeH Anna,78.56,79.22,79.5,78.5,65.11,65.11,20.31,13.7,32.21,31.44,37.37,37.37,441.68,442.04,23.17,22.17,173.25,175.5,2261.4,2263.25,6953.81,6959.5,4734.81,4738.69,4522.8,4526.51,3392.1,3394.88,5314.29,5318.64,-5.67,-5.67,1060.03,1060.9,2897.42,2899.79,-2.45,-2.45,2968.09,2970.52,5123.49,5127.68,1201.37,1202.35,3321.43,3324.15,8374.25,8381.11,424.01,424.36,6996.21,7001.94,7.87,7.87,-7.75,-7.75,1413.38,1414.53,883.36,884.08,265.01,265.22,9.01,9.01,4.92,7.3,8.98,8.98,68.6,66.14,34.78,34.94,2.32,2.3,53.09,53.09,3.3,3.3,51.48,51.48,122,122,48.09,49.55,27.23,30.81,70.06,70.96,22.32,20.99,971.7,972.49,40.74,41.26,81.75,76.75,6.04,6.19,121.18,119.85,1.56,1.56,93.51,93.51,194.84,213.67,0,0,64,64,74.91,74.35,353.34,353.63,454.85,481.47,1.44,1.39,281.1,281.92,11.27,10.82,26.56,26.56,644.76,644.76,2.56,2.44,32.68,34.01,59.12,59.19,-10,-10,82.46,82.46,94.38,94.38,70294.25,70351.79,13027.17,16537.92,264567,226548,530.02,530.45,17.05,16.42,-9.49,-9.49,376700000000,619500000000,66076.6,65989.98,1.63,1.62,32.84,30.39
Hiodoshi Ao,57.33,61.33,57.33,48.44,57.33,57.33,3.61,2.91,32.78,32.62,42,42,334.15,310.56,50,47,112.5,119.25,-7.75,-7.75,-6.86,-6.86,4900.82,4554.91,4455.29,4140.83,-7.75,-7.75,712.85,662.53,2673.18,2484.5,556.91,517.6,-6.32,-6.32,-7.75,-7.75,4900.82,4554.91,-3.16,-3.16,5791.88,5383.07,-3.16,-3.16,-6.32,-6.32,3564.23,3312.66,7574,7039.4,9.33,9.33,1002.44,931.69,1002.44,931.69,1336.59,1242.25,334.15,310.56,119.98,119.98,27.72,34.4,12,12,49.93,46.46,22.85,23.47,20.17,19.38,50,50,1,1,50,50,100,100,56.72,57.4,57.19,62.55,69.44,69.61,0.56,3.78,1336.59,1242.25,72.72,72.11,50,43.33,22.19,22.76,81.44,79.73,3.24,3.24,93.2,93.2,610.35,640.56,0,0,64,64,67.9,66.54,891.06,828.17,503.95,502.3,0.33,0.34,126.07,137.81,10.32,9.97,17.16,17.16,517.5,517.5,2.35,2.35,54.44,51.22,52.69,51.41,10,10,73.48,73.48,100.2,100.2,40364.96,37515.88,20282.89,21215.45,73182,61666,891.06,828.17,10.54,9.56,111.38,103.52,9800000000,18500000000,31403.94,28962.26,7.09,6.95,12.96,11.59
