Nation,s0,f0,s1,f1,s2,f2,s4,f4,s5,f5,s6,f6,s7,f7,s8,f8,s9,f9,s10,f10,s11,f11,s12,f12,s13,f13,s14,f14,s15,f15,s16,f16,s17,f17,s18,f18,s19,f19,s20,f20,s21,f21,s22,f22,s23,f23,s24,f24,s25,f25,s26,f26,s27,f27,s28,f28,s29,f29,s30,f30,s31,f31,s32,f32,s33,f33,s34,f34,s35,f35,s36,f36,s37,f37,s38,f38,s39,f39,s40,f40,s41,f41,s42,f42,s43,f43,s44,f44,s45,f45,s46,f46,s47,f47,s48,f48,s49,f49,s50,f50,s51,f51,s52,f52,s53,f53,s54,f54,s55,f55,s56,f56,s57,f57,s58,f58,s59,f59,s60,f60,s61,f61,s62,f62,s63,f63,s64,f64,s67,f67,s68,f68,s69,f69,s70,f70,s71,f71,s72,f72,s73,f73,s74,f74,s75,f75,s77,f77,s78,f78,s79,f79,s85,f85,s87,f87,s88,f88
Pinaplo 1,3,3,32,24.33,58.67,58.67,2,1.7,32.05,31.91,42,42,387.65,344.88,97,97,6.75,6.75,-7.75,-7.75,2735.27,2433.48,3411.33,3034.96,2791.09,2483.15,3101.21,2759.05,-5.04,-5.04,-7.07,-7.07,775.3,689.76,0,0,-8.94,-8.94,-5.48,-5.48,-6.32,-6.32,2170.85,1931.34,3411.33,3034.96,-4.47,-4.47,3354.38,2774.6,3411.33,3034.96,10.63,10.77,852.83,758.74,852.83,896.69,1085.42,965.67,387.65,344.88,130.47,130.47,49.93,58.76,12,12,40.09,36.14,11.78,11.78,29.91,29.91,50,50,1,1,50,50,100,100,60.97,61.6,84.23,88.6,70.24,70.4,22.91,25.13,1085.42,965.67,113.88,114.17,31,24.33,28.08,29.51,69.36,66.5,3,3,93.23,93.23,1971.62,2368.07,0,0,64,64,57.06,54.57,775.3,689.76,486.57,492.16,0.2,0.2,10.61,10.61,10.89,10.29,17.11,17.11,542.34,542.34,2.42,2.39,32.09,29.87,48.94,47.66,22.36,22.36,70.71,70.71,101.04,101.04,32682.54,29073.87,22601.36,21937.99,45268,37333,775.3,689.76,3.43,3.21,232.59,206.93,71200000000,150900000000,23498.75,20497.08,9.14,9.14,8.99,8.24
Falefon 61,57.33,57.33,57.33,57.33,57.33,57.33,3.61,3.61,32.73,32.73,40.78,40.78,303.99,303.99,50,50,112.5,112.5,-3.16,-3.16,2431.9,2431.9,-7.07,-7.07,-2.45,-2.45,2026.58,2026.58,6278.35,6278.35,-2.65,-2.65,2026.58,2026.58,4458.48,4458.48,1621.27,1621.27,-3.16,-3.16,-7.75,-7.75,405.32,405.32,405.32,405.32,4296.35,4296.35,0,0,0,0,9.33,9.33,911.96,911.96,911.96,911.96,1215.95,1215.95,303.99,303.99,119.98,119.98,27.72,27.72,10.55,10.55,50.54,50.54,25.74,25.74,16.06,16.06,50,50,1,1,50,50,106,106,56.57,56.57,56.33,56.33,69.5,69.5,0.56,0.56,1215.95,1215.95,65.23,65.23,50,50,18.18,18.18,85.2,85.2,3.24,3.24,93.2,93.2,610.35,610.35,0,0,64,64,68.14,68.14,810.63,810.63,706.98,706.98,0.33,0.33,125.96,125.96,9.94,9.94,17.16,17.16,583.77,583.77,1.86,1.86,54.44,54.44,53.11,53.11,-52.92,-52.92,17.32,17.32,100.2,100.2,44357.83,44357.83,22289.26,22289.26,80421,80421,810.63,810.63,10.75,10.75,101.33,101.33,42500000000,44000000000,36284.7,36284.7,7.09,7.09,15.99,15.99
Shadow Archangels 1,57.33,57.33,57.33,57.33,57.33,57.33,3.61,3.61,32.59,32.59,42,42,556.17,556.17,50,50,112.5,112.5,-4.47,-4.47,444.93,444.93,3707.77,3707.77,1112.33,1112.33,4671.8,4671.8,-5.29,-5.29,3337,3337,5561.66,5561.66,3707.77,3707.77,370.78,370.78,-13.04,-13.04,-8.37,-8.37,2224.66,2224.66,4449.33,4449.33,2224.66,2224.66,5723.94,5723.94,7044.77,7044.77,9.49,9.49,834.25,834.25,834.25,834.25,1112.33,1112.33,278.08,278.08,119.98,119.98,27.72,27.72,12,12,49.93,49.93,23.71,23.71,19.06,19.06,50,50,1,1,50,50,110,110,56.72,56.72,57.19,57.19,69.64,69.64,0.56,0.56,1112.33,1112.33,68.81,68.81,50,50,15.37,15.37,88.31,88.31,3.24,3.24,93.2,93.2,610.35,610.35,0,0,64,64,68.14,68.14,741.55,741.55,575.36,575.36,0.34,0.34,126.48,126.48,13.63,13.63,17.16,17.16,625.16,625.16,2.13,2.13,54.44,54.44,52.76,52.76,55.68,55.68,43.59,43.59,100.2,100.2,48474.57,48474.57,24357.87,24357.87,87885,87885,741.55,741.55,10.54,10.54,92.69,92.69,231900000000,233500000000,41009.49,41009.49,7.09,7.09,13.64,13.64
Tinell,75.83,75.83,17.75,17.5,75.33,75.33,1.33,1.32,30.98,30.81,44.83,44.83,402.27,401.47,27.25,27.25,164.25,164.25,464.85,463.92,-5.93,-5.93,2181.21,2176.83,400.49,399.68,1036.97,1034.89,2174.06,2169.7,1394.55,1391.75,3039.4,3033.29,947.58,945.67,643.64,642.34,2610.31,2605.06,2234.85,2230.36,464.85,463.92,1716.37,1712.92,-3.55,-3.55,808.12,806.5,4040.61,4032.49,14.32,14.42,1519.7,1516.65,804.55,892.14,446.97,446.07,581.06,579.89,1207.99,1207.99,75.47,75.67,17.36,17.36,34.86,34.65,34.02,34.02,2.44,2.44,51.62,51.62,1,1,53.38,53.38,120,120,67.44,67.45,100.75,100.83,71.55,71.78,27.61,27.69,804.55,802.93,65.41,65.43,-86.25,-86.5,37.91,38.45,43.97,42.93,0.76,0.76,93.94,93.94,543.14,545.06,-8,-8,67,67,76.34,76.33,491.67,490.68,992.4,992.19,0.42,0.42,245.3,245.3,9.77,9.76,12.56,12.56,666.01,666.01,1.55,1.55,27.39,27.31,47.63,47.71,61.07,61.07,48.68,48.68,108.45,108.45,31764.56,31834.57,27379.16,27479.1,36279,36313,938.64,936.75,2.45,2.45,357.58,356.86,139700000000,145400000000,19725.79,19578.26,12.68,12.68,12.18,12.18
Falefon 62,57.33,57.33,57.33,57.33,57.33,57.33,3.61,3.61,32.74,32.74,40.78,40.78,289.36,289.36,50,50,112.5,112.5,2700.73,2700.73,-4.9,-4.9,-7.07,-7.07,2623.56,2623.56,5015.64,5015.64,-4,-4,2469.24,2469.24,6099.79,6099.79,1929.09,1929.09,5015.64,5015.64,1929.09,1929.09,3858.18,3858.18,-5.48,-5.48,385.82,385.82,-8,-8,-4.82,-4.82,5169.96,5169.96,9.33,9.33,868.09,868.09,868.09,868.09,1157.45,1157.45,289.36,289.36,119.98,119.98,27.72,27.72,10.55,10.55,50.54,50.54,23.74,23.74,19.02,19.02,50,50,1,1,50,50,106,106,56.57,56.57,56.33,56.33,69.49,69.49,0.56,0.56,1157.45,1157.45,58.45,58.45,50,50,16.18,16.18,87.47,87.47,3.24,3.24,93.2,93.2,610.35,610.35,0,0,64,64,68.27,68.27,771.64,771.64,594.43,594.43,0.34,0.34,125.96,125.96,12.27,12.27,17.16,17.16,566.92,566.92,2.08,2.08,54.44,54.44,53.1,53.1,-80.62,-80.62,63.25,63.25,100.2,100.2,46591.41,46591.41,23411.6,23411.6,84471,84471,771.64,771.64,10.75,10.75,96.45,96.45,43000000000,44600000000,39043.6,39043.6,7.09,7.09,12.76,12.76
Puppet of The Holy Prussin States 1,51,51,49.67,43,10,10,3,2.56,30.19,30,46.76,46.76,248.77,231.04,54.75,54.75,103.5,103.5,2852.55,2649.27,3423.07,3179.13,2985.23,2772.49,4776.37,4435.99,-2,-2,1910.55,1774.4,371.5,345.02,1078,1001.18,2719.88,2526.05,-8,-8,862.4,800.94,-4.12,-4.12,3847.63,3573.44,-8.6,-8.6,-2.62,-2.62,2043.55,1713.08,6209.28,5766.79,10.86,11,2156,2002.36,995.08,1078.19,1326.77,1232.22,165.85,154.03,23.5,23.5,33.35,39.05,16.66,16.66,23.6,22.18,16.19,16.19,26.83,26.83,48.6,48.6,1,1,50.5,50.5,107,107,62.16,62.63,72.8,75.72,72.65,72.93,17.4,19.07,1160.92,1078.19,90.88,91.75,44.25,39.25,20.41,21.56,79.17,76.72,23.15,23.15,91.52,91.52,1296.82,1503.36,-8,-8,66,66,65.31,63.27,414.62,385.07,855.98,862.3,0.32,0.31,178.52,178.52,9.88,9.84,17.93,17.93,602.56,602.56,1.67,1.67,37.6,35.93,53.6,52.58,-60.42,-60.42,90.28,90.28,106.51,106.51,48424.1,45019.43,26922.36,27269.23,80737,69839,1243.85,1155.21,3.07,2.97,829.23,770.14,30200000000,34700000000,38545.59,35295.23,14.53,14.53,19.19,17.52
Rudiels,77.56,77.56,66,59.11,75.33,75.33,5.37,4.14,33.5,32.52,42,42,-5.48,-5.48,24.67,24.67,171,171,4779.64,4550.18,-4.38,-4.38,3641.63,3466.81,-1.55,-1.55,2276.02,2166.75,5199.19,4949.59,606.94,577.8,4553.56,4334.95,2731.22,2600.11,5158.98,4911.31,2503.62,2383.43,-2.28,-2.28,-6.63,-6.63,3262.3,3105.68,3869.23,3683.48,4734.12,4428.34,9028.21,8594.79,6.63,6.86,1043.18,993.1,569.01,722.25,284.5,270.84,-3.16,-3.16,19.47,19.47,18.61,24.17,13,13,67.13,62.91,34,34,2.45,2.45,51,51,1,1,50.5,50.5,107,107,55.89,56.7,53.36,59.16,68.73,69.72,19.65,17.43,1043.18,993.1,40.29,41.75,60,53.33,7.1,7.51,111.36,108.61,0.75,0.75,93.97,93.97,232.94,267.66,-8,-8,64,64,71.11,70.13,189.67,180.56,419.9,455.83,1.64,1.51,270.48,270.48,11.59,11,18.01,18.01,537.1,537.1,2.77,2.56,35.35,37.57,54.53,53.53,66.11,66.11,20.74,20.74,104.46,104.46,54802.78,52364.17,22084.7,24401.88,118651,100956,663.84,631.97,11.61,10.57,-6.32,-6.32,1400000000,1800000000,50911.78,48436.86,12.33,12.33,20.73,18.62
Kalevasi,57,57,60.44,51.56,8,8,3.98,3.12,31.34,30.87,42,42,0,0,50.25,50.25,112.5,112.5,3119.55,2882.82,3250.9,3004.2,-4.9,-4.9,-4,-4,492.56,455.18,1050.79,971.05,-3.74,-3.74,7262.8,6711.65,-6,-6,-3.74,-3.74,246.28,227.59,5582.35,5158.72,656.75,606.91,1477.68,1365.54,6649.56,6144.95,3152.38,2637.59,3119.55,2882.82,9.22,9.38,1436.63,1327.61,923.55,1043.12,1744.48,1612.1,513.08,474.15,12.84,12.84,25.11,32.04,12,12,25.3,23.65,18.6,18.6,24.74,24.74,50,50,1,1,50,50,106,106,58.17,58.93,54.94,60.39,71.09,71.69,15.43,16.09,1334.02,1232.78,56.58,58.49,52.33,45.67,16.55,17.97,87.59,84.64,24.66,24.66,91.43,91.43,978.42,1152.05,-4,-4,64,64,68.64,67.12,513.08,474.15,464.92,483.97,0.41,0.39,94.41,94.41,11.17,10.57,18.75,18.75,572.62,572.62,2.51,2.43,39.57,38.91,54.48,53.12,-33.17,-33.17,-10,-10,102.62,102.62,46835.9,43290.61,22291.71,23547.8,88763,73506,1026.17,948.29,8.3,6.79,-3.16,-3.16,1070400000000,1391600000000,39061.14,35498.3,13.61,13.61,18.96,16.68
Cosmo Kramerica,49.09,49.09,100.02,100.02,56.53,56.53,1.37,1.37,22.41,22.37,15.98,15.98,1071.86,1071.06,56.18,56.18,61,61,15128.52,15117.24,2351.96,2350.21,-2.05,-2.05,600.24,599.79,-4.5,-4.5,-10.7,-10.7,21008.44,20992.77,-12.73,-12.73,-3.67,-3.67,-13.27,-13.27,21253.43,21237.58,5732.91,5728.64,-5.1,-5.1,-15.65,-15.65,4262.94,4259.76,-9.62,-9.62,36136.96,36110.01,20.49,20.54,-16.12,-16.12,6048.35,6196.84,7120.21,7114.9,5359.29,5355.3,239.44,239.44,73.09,73.09,0.49,0.49,40.65,40.65,57.76,57.76,1.21,1.21,49.36,49.36,7.03,7.03,31.88,31.88,153,153,77.17,77.17,121.64,121.64,90.34,90.36,9.44,9.44,7885.82,7879.94,5.64,5.64,30.67,30.67,53.79,54.08,1.38,0.71,5.84,5.84,92.87,92.87,841.38,841.38,-8,-8,74,74,54.12,54.06,-17.61,-17.61,1143.57,1143.57,1.19,1.19,10.08,10.08,9.28,9.28,16.68,16.68,1339.87,1339.87,1.05,1.05,45.56,45.56,88.03,88.03,-116.12,-116.12,115.03,115.03,60.89,60.89,102494.22,102570.78,86856.62,86921.51,118836,118925,4670.24,4666.76,2.04,2.04,-16.73,-16.73,4305700000000,4312700000000,47352.33,47079.99,21.02,21.02,42.16,42.16
State Peace and Development Council,67.43,67.43,68.89,68.89,60,60,1.39,1.39,21.14,21.11,46.76,46.76,7361.78,7336.52,39.86,39.86,137.25,137.25,-9.49,-9.49,-6.32,-6.32,-5.92,-5.92,-9.17,-9.17,-12.8,-12.8,-11.31,-11.31,-14.7,-14.7,-17.96,-17.96,0,0,-14.49,-14.49,-17.32,-17.32,-9.75,-9.75,-7.07,-7.07,-20.25,-20.25,-3.83,-3.83,-14.89,-14.89,0,0,20.86,20.93,4127.06,4112.9,12938.88,13116.81,2565.47,2556.67,2230.84,2223.19,1052.22,1052.22,71.75,71.75,18.02,18.02,26.73,26.73,51.5,51.5,1.35,1.35,52.64,52.64,8.06,8.06,52.44,52.44,295,295,76.11,76.11,106.96,106.96,90.98,91,10.54,10.54,2677.01,2667.83,111.4,111.4,32.33,32.33,68.09,68.24,-28.68,-29.68,1.16,1.16,93.63,93.63,656.13,656.13,-8,-8,77,77,49.38,49.34,557.71,555.8,1253.04,1253.04,0.22,0.22,188.97,188.97,8.98,8.98,13.26,13.26,1879.69,1879.69,0.82,0.82,44.46,44.46,68.48,68.48,-68.92,-68.92,54.77,54.77,108.14,108.14,48520.8,48687.83,40715.63,40855.79,56749,56944,9146.45,9115.07,2.07,2.07,780.79,778.12,332400000000,333800000000,15478.14,15482.73,12.79,12.79,81.94,81.94
